seed,window,rate,H2,H3,dH,J2,J3
314,21,0.0005,-0.0,-0.0,0.0,0.0392,0.0392
314,22,0.0005,-0.0,-0.0,0.0,-0.5,-0.5
314,23,0.0005,1.2871,1.2871,0.0,0.7419,0.7419
314,24,0.0005,-0.0,0.7554,0.7554,-0.0452,0.5035
314,25,0.0005,1.2516,1.7925,0.5409,0.6885,1.0694
456,1,0.0005,0.6834,1.0336,0.3502,-0.4776,-0.2589
456,2,0.0005,0.4501,0.5499,0.0998,-0.6212,-0.5842
456,3,0.0005,1.2087,1.4473,0.2386,0.2904,0.416
456,4,0.0005,1.352,1.8811,0.5291,0.2608,0.7761
456,5,0.0005,1.1451,1.1451,0.0,0.0884,0.3021
456,6,0.0005,1.3568,1.6166,0.2598,0.2625,0.5027
456,7,0.0005,1.0613,1.7962,0.7349,0.2907,1.0139
456,8,0.0005,1.1995,1.5016,0.3021,0.596,0.8242
456,9,0.0005,0.8167,0.8167,0.0,-0.032,0.0614
456,10,0.0005,-0.0,0.5436,0.5436,-0.202,0.1335
456,11,0.0005,1.682,1.682,0.0,1.0393,1.0784
456,12,0.0005,0.6999,0.6999,0.0,0.0428,0.0428
456,13,0.0005,1.0975,1.0975,0.0,0.1111,0.1111
456,14,0.0005,-0.0,-0.0,0.0,-0.1519,-0.1519
456,15,0.0005,-0.0,-0.0,0.0,-0.5,-0.5
456,16,0.0005,1.0613,1.0613,0.0,0.4327,0.4327
456,17,0.0005,1.0409,1.0409,0.0,0.1129,0.1129
456,18,0.0005,1.0889,1.8262,0.7373,0.1624,1.1349
456,19,0.0005,1.6327,2.1115,0.4788,0.7092,1.0986
456,20,0.0005,0.6962,1.3294,0.6332,0.3437,0.7702
456,21,0.0005,1.8892,2.2892,0.4,1.2651,1.5621
456,22,0.0005,-0.0,-0.0,0.0,0.1291,0.281
456,23,0.0005,0.9056,1.2366,0.331,0.2343,0.4606
456,24,0.0005,-0.0,-0.0,0.0,-0.1713,-0.115
456,25,0.0005,0.5132,1.0534,0.5402,-0.2749,0.2363
789,1,0.0005,0.7025,0.7715,0.069,-0.4585,-0.521
789,2,0.0005,0.5346,1.0115,0.4769,-0.5615,-0.0791
789,3,0.0005,0.3816,0.804,0.4224,-0.4736,-0.209
789,4,0.0005,0.3534,1.2867,0.9333,-0.2974,0.6911
789,5,0.0005,-0.0,-0.0,0.0,-0.3152,0.0816
789,6,0.0005,0.3095,1.0529,0.7434,-0.3146,0.4468
789,7,0.0005,0.7219,0.7219,0.0,0.118,0.3086
789,8,0.0005,0.9864,0.9864,0.0,0.446,0.446
789,9,0.0005,0.9,1.4082,0.5082,-0.0745,0.4284
789,10,0.0005,1.1542,1.7723,0.6181,0.0899,0.6155
789,11,0.0005,1.4466,1.4466,0.0,0.3978,0.6145
789,12,0.0005,-0.0,0.2975,0.2975,-0.0631,-0.036
789,13,0.0005,-0.0,0.4537,0.4537,-0.5,-0.2692
789,14,0.0005,0.6402,0.6402,0.0,-0.1119,-0.0334
789,15,0.0005,1.6106,2.0742,0.4636,0.7764,1.242
789,16,0.0005,1.659,1.9254,0.2664,0.6008,0.7869
789,17,0.0005,0.8167,1.6258,0.8091,0.1227,0.8466
789,18,0.0005,1.1488,1.4838,0.335,0.4983,0.7605
