seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
2024,13,0.0,,0.5846,,,False,0.0
2024,14,0.0,,0.3592,,,False,0.0
2024,15,0.0,,0.3828,,,False,0.0
2024,16,0.0,,0.2741,,,False,0.0
2024,17,0.0,,0.328,,,False,0.0
2024,18,0.0,,0.4153,,,False,0.0
2024,19,0.0,,0.1269,,,False,0.0
2024,20,0.0,,0.2705,,,False,0.0
2024,21,0.0,,0.2852,,,False,0.0
2024,22,0.0,,0.2846,,,False,0.0
2024,23,0.0,,0.4983,,,False,0.0
2024,24,0.0,,0.3174,,,False,0.0
2024,25,0.0,,0.3657,,,False,0.0
7,2,0.0005,,0.2261,,,False,0.0
7,3,0.0005,,0.2493,,,False,0.0238
7,4,0.0005,,0.286,,,False,0.0
7,5,0.0005,,0.1553,,,False,0.0
7,6,0.0005,,0.2774,,,False,0.0435
7,7,0.0005,,0.4237,,,False,0.0
7,8,0.0005,,0.5302,,,False,0.1579
7,9,0.0005,0.6776,0.6221,0.0555,1.089,False,0.1667
7,10,0.0005,,0.7338,,,False,0.0
7,11,0.0005,,0.4197,,,False,0.1538
