window,link_id,age_r_current,max_age_r_so_far
20,"(963,2967)",0,0
20,"(303,1874)",0,0
20,"(408,1173)",0,0
20,"(2326,3399)",0,0
20,"(1495,2833)",0,0
20,"(1932,3588)",0,0
20,"(3627,4902)",0,0
20,"(3177,3799)",0,0
20,"(223,309)",0,0
20,"(1912,2483)",0,0
20,"(186,4857)",0,0
20,"(3608,3613)",0,0
20,"(324,2463)",0,0
20,"(132,4099)",0,0
20,"(1962,3243)",0,0
20,"(443,1108)",0,0
20,"(3897,4389)",0,0
20,"(1972,3781)",0,0
20,"(2400,4228)",0,0
20,"(104,595)",0,0
20,"(1153,1505)",0,0
20,"(1737,1970)",0,0
20,"(2142,3596)",0,0
20,"(874,1415)",0,0
20,"(359,3975)",0,0
20,"(343,3213)",0,0
20,"(365,671)",0,0
20,"(1097,4498)",0,0
20,"(742,4270)",0,0
20,"(72,2898)",0,0
20,"(1647,2161)",0,0
20,"(1111,2038)",0,0
20,"(3793,4165)",0,0
20,"(129,665)",0,0
20,"(1442,2811)",0,0
20,"(3273,3986)",0,0
20,"(908,2123)",0,0
20,"(3633,4149)",0,0
20,"(63,427)",0,0
20,"(932,2071)",0,0
20,"(217,256)",0,0
20,"(216,4461)",0,0
20,"(1619,4960)",0,0
20,"(259,2473)",0,0
20,"(1478,2626)",0,0
20,"(4249,4682)",0,0
20,"(47,4768)",0,0
20,"(3390,4692)",0,0
20,"(2052,2861)",0,0
20,"(647,4275)",0,0
20,"(2542,2725)",0,0
20,"(576,1362)",0,0
20,"(1426,3109)",0,0
20,"(819,4503)",0,10
20,"(394,4588)",0,0
20,"(634,2471)",0,0
20,"(2334,4129)",0,0
20,"(2303,4550)",0,0
20,"(272,843)",0,0
20,"(633,3823)",0,0
20,"(3378,4286)",0,0
20,"(2996,3955)",0,0
20,"(2145,4723)",0,0
20,"(3679,4808)",0,20
20,"(402,4191)",0,0
20,"(154,3946)",0,0
20,"(1039,4748)",0,0
20,"(2159,4025)",0,0
20,"(2078,2868)",0,0
20,"(2911,3480)",0,0
20,"(1131,4751)",0,0
20,"(1285,2594)",0,0
20,"(3170,4643)",0,0
20,"(2389,4832)",0,0
20,"(359,1727)",0,0
20,"(1513,4523)",0,0
20,"(398,635)",0,0
20,"(3909,4344)",0,0
20,"(601,3066)",0,0
20,"(1390,4983)",0,0
20,"(2158,4446)",0,0
20,"(726,4823)",0,0
20,"(1373,2535)",0,0
20,"(2754,4147)",0,0
20,"(3320,4824)",0,0
20,"(1601,1724)",0,0
20,"(767,1678)",0,0
20,"(2698,3205)",0,0
20,"(1779,2706)",0,0
20,"(2092,3166)",0,0
20,"(2694,4668)",0,0
20,"(1197,4650)",0,0
20,"(1554,2709)",0,0
20,"(1012,2389)",0,0
20,"(628,3446)",0,0
20,"(3433,4369)",0,0
20,"(3865,4780)",0,0
20,"(181,3171)",0,0
20,"(87,3738)",0,0
20,"(1657,2428)",0,0
20,"(489,520)",0,0
20,"(3585,4847)",0,0
20,"(2624,4989)",0,0
20,"(590,2408)",0,0
20,"(2039,3252)",0,0
20,"(292,2342)",0,0
20,"(1482,3600)",0,0
20,"(2360,2706)",0,0
20,"(1166,2460)",0,0
20,"(296,1000)",0,0
20,"(862,3626)",0,0
20,"(112,4217)",0,0
20,"(1400,4204)",0,0
20,"(1188,2335)",0,0
20,"(733,4155)",0,0
20,"(2163,2771)",0,0
20,"(2623,4104)",0,0
20,"(438,2108)",0,0
20,"(1678,2204)",0,0
20,"(2356,3839)",0,0
20,"(478,2589)",0,0
20,"(673,2419)",0,0
20,"(295,3636)",0,0
20,"(1999,2784)",0,0
20,"(64,2720)",0,0
20,"(507,2472)",0,0
20,"(2765,2997)",0,0
20,"(129,2706)",0,0
20,"(1039,3910)",0,0
20,"(1814,3906)",0,0
20,"(2337,3718)",0,0
20,"(14,3887)",0,0
20,"(4605,4665)",0,0
20,"(700,2414)",0,0
20,"(1330,1763)",0,0
20,"(190,4643)",0,0
20,"(159,1129)",0,0
20,"(123,1435)",0,0
20,"(711,3591)",0,0
20,"(610,3396)",0,0
20,"(2037,3318)",0,0
20,"(45,2949)",0,0
20,"(2347,3889)",0,0
20,"(543,4803)",0,0
20,"(1513,1591)",0,0
20,"(4200,4328)",0,0
20,"(486,2956)",0,0
20,"(1198,1701)",0,0
20,"(2944,3591)",0,0
20,"(2891,4253)",0,0
20,"(1121,1373)",0,0
20,"(1608,3792)",0,0
20,"(341,2430)",0,0
20,"(1598,2466)",0,0
20,"(3312,4288)",0,0
20,"(2587,4786)",0,0
20,"(3403,3997)",0,0
20,"(251,4464)",0,0
20,"(2628,4903)",0,0
20,"(110,4259)",0,0
20,"(1184,1779)",0,0
20,"(509,3941)",0,0
20,"(4440,4932)",0,0
20,"(658,802)",0,0
20,"(65,1340)",0,0
20,"(2698,3957)",0,0
20,"(2411,4272)",0,0
20,"(91,3729)",0,0
20,"(3682,4063)",0,0
20,"(316,3667)",0,0
20,"(1422,3534)",0,0
