seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
18,20,2959,19,19,0.5822,0.6671,0.864,16.3224,10,4,16,68,34,0.9267,0.2008,66.2,168
18,21,2836,15,15,0.7296,0.673,0.841,18.4837,14,1,15,75,13,0.9291,0.1543,133.7,105
18,22,2868,18,18,0.6556,0.6636,0.8338,15.7623,13,1,17,86,22,0.9259,0.1619,80.3,149
18,23,2849,17,17,0.7326,0.6735,0.8425,15.6152,14,0,14,97,20,0.8962,0.1908,107.7,136
18,24,2895,26,26,0.5026,0.6758,0.8448,19.0213,15,8,23,122,63,0.8401,0.2503,63.7,301
18,25,2817,24,24,0.5753,0.657,0.8227,17.0336,14,5,21,118,79,0.8382,0.2488,71.9,271
18,26,2908,23,23,0.6206,0.6673,0.8227,11.0901,15,3,13,128,68,0.8508,0.2363,71.5,246
18,27,2765,27,27,0.5628,0.6628,0.8256,13.0763,15,5,19,153,80,0.8433,0.2395,64.6,324
18,28,2853,22,22,0.7072,0.6711,0.8353,11.1163,16,1,14,145,45,0.8126,0.2707,86.8,228
18,29,2948,18,18,0.766,0.6763,0.8396,9.836,15,0,10,106,26,0.8261,0.2514,110.6,152
19,20,2960,24,24,0.3411,0.675,0.8474,14.3742,8,11,16,40,45,0.9368,0.1327,20.3,214
19,21,2893,27,27,0.3205,0.6688,0.8214,19.5145,8,12,24,65,65,0.8553,0.2312,26.2,292
19,22,2938,19,19,0.4288,0.6646,0.8203,11.707,8,7,13,59,35,0.8111,0.2536,37.6,161
19,23,2927,17,17,0.5112,0.6664,0.8305,10.0735,8,3,9,66,34,0.7627,0.2892,59.5,129
19,24,2963,20,20,0.485,0.6688,0.818,9.5912,9,4,11,69,52,0.806,0.2762,45.6,181
19,25,2948,30,30,0.3467,0.6671,0.8229,21.354,9,13,23,95,98,0.8679,0.2159,30.3,390
19,26,2867,34,34,0.366,0.6681,0.8189,13.8093,10,12,23,136,124,0.8484,0.2457,32.6,493
19,27,2979,31,31,0.4285,0.6662,0.8146,10.6703,12,5,17,138,115,0.8334,0.2474,35.7,426
19,28,2909,29,29,0.4784,0.6667,0.8115,8.7953,12,2,14,153,103,0.794,0.2782,45.2,367
19,29,2894,29,29,0.4914,0.6696,0.8327,12.3426,13,4,14,155,94,0.7843,0.2822,59.7,375
2,20,2834,24,24,0.4649,0.6678,0.8603,16.1856,11,3,21,75,51,0.9023,0.1795,31.1,248
2,21,2865,31,31,0.4205,0.6723,0.8239,15.0841,14,10,26,121,101,0.7833,0.2741,37.0,431
2,22,2895,34,34,0.4697,0.6767,0.8189,12.3043,15,8,23,166,126,0.7903,0.2748,38.9,511
2,23,2795,35,35,0.4821,0.6649,0.8232,13.0131,16,6,25,186,138,0.8301,0.2489,42.9,544
2,24,2871,30,30,0.5802,0.6678,0.8235,12.9727,18,6,20,187,95,0.7952,0.2702,57.1,414
2,25,2843,27,27,0.6305,0.6647,0.831,10.6625,18,2,16,200,70,0.8021,0.2699,73.1,344
2,26,2852,26,26,0.6513,0.668,0.8292,9.4688,19,3,12,185,71,0.8186,0.252,77.0,322
2,27,2766,26,26,0.6218,0.6653,0.8323,12.1245,18,4,14,181,54,0.8358,0.2376,72.3,318
2,28,2838,38,38,0.4874,0.6686,0.8246,13.2105,19,16,25,221,140,0.8225,0.2649,41.8,626
2,29,2816,32,32,0.5756,0.6671,0.8218,11.3722,19,5,19,224,112,0.8205,0.2563,60.4,464
20,20,2998,28,28,0.2425,0.6674,0.8557,17.2429,4,12,24,42,39,0.9025,0.2003,11.3,273
20,21,3000,27,27,0.359,0.6693,0.8127,15.8138,6,6,24,80,63,0.8592,0.2224,23.7,313
20,22,2911,43,43,0.2687,0.674,0.8159,16.7975,10,24,28,122,136,0.8158,0.2774,14.4,697
20,23,2907,34,34,0.3592,0.6697,0.803,12.6074,11,14,22,123,121,0.8214,0.2735,25.6,481
20,24,2897,41,41,0.3316,0.6682,0.8109,12.5004,11,18,22,166,172,0.8428,0.2581,22.4,699
20,25,2875,31,31,0.4082,0.6696,0.8058,7.9795,10,9,6,130,112,0.833,0.2487,25.0,419
20,26,2892,33,33,0.3956,0.6641,0.8082,7.2577,11,8,7,143,104,0.7862,0.2896,21.7,466
20,27,2812,37,37,0.3741,0.665,0.8114,8.5249,11,8,10,160,139,0.8229,0.254,23.6,567
20,28,2850,34,34,0.3838,0.6764,0.8067,10.487,11,9,11,150,111,0.7777,0.2919,29.5,492
20,29,2833,36,36,0.3837,0.6735,0.8173,11.2584,13,11,15,158,132,0.791,0.2821,29.4,551
21,20,2883,22,22,0.4139,0.6758,0.8564,13.8705,9,7,18,56,52,0.9057,0.1841,25.4,221
21,21,2869,23,23,0.5066,0.6662,0.8268,14.6938,11,6,16,94,50,0.8098,0.2802,45.5,242
21,22,2884,21,21,0.5774,0.6674,0.8222,9.8489,12,3,11,96,47,0.7949,0.287,48.4,206
21,23,2972,24,24,0.5417,0.673,0.825,12.9625,13,5,14,110,69,0.8138,0.2564,46.5,268
21,24,2856,31,31,0.4618,0.6768,0.8267,14.6647,14,10,21,137,113,0.821,0.252,41.3,434
21,25,2921,28,28,0.5122,0.6686,0.8218,13.747,14,5,15,139,97,0.8215,0.2461,49.7,360
21,26,2951,26,26,0.5769,0.6673,0.8255,10.5043,16,2,16,166,70,0.8047,0.2672,56.8,317
21,27,2935,30,30,0.4992,0.6562,0.8276,14.2462,14,6,19,175,100,0.7864,0.2936,55.0,415
21,28,2956,29,29,0.5525,0.6754,0.8252,11.8961,18,7,19,169,102,0.7588,0.2843,57.5,393
21,29,2819,29,29,0.5533,0.6739,0.8338,10.9222,17,6,16,175,90,0.8007,0.2528,64.2,394
22,20,2944,20,20,0.4786,0.6747,0.855,15.7177,10,6,16,47,30,0.9191,0.1711,28.8,173
22,21,2925,21,21,0.5214,0.6642,0.8294,14.8976,12,2,16,78,45,0.8805,0.2148,47.4,201
22,22,2831,31,31,0.3931,0.6668,0.8166,17.4902,12,14,26,99,78,0.8543,0.2283,27.2,391
22,23,2841,24,24,0.4637,0.6814,0.8081,11.0676,11,5,13,89,63,0.8245,0.2695,37.4,255
22,24,2956,23,23,0.477,0.6737,0.8059,15.0176,12,7,13,87,56,0.769,0.281,42.9,230
22,25,2817,24,24,0.4764,0.6671,0.8147,9.7127,12,8,11,96,61,0.7775,0.2652,45.0,257
22,26,2904,24,24,0.5281,0.6682,0.8366,9.2738,13,6,9,115,58,0.766,0.301,54.1,261
22,27,2825,32,32,0.4167,0.6697,0.8282,14.2383,13,14,20,150,101,0.7879,0.2814,40.3,448
22,28,2893,35,35,0.4233,0.6658,0.8217,13.9018,16,16,20,165,124,0.8351,0.2356,35.3,533
22,29,2776,39,39,0.4279,0.6681,0.8151,11.2173,16,14,17,209,136,0.8369,0.2309,29.4,647
23,20,2926,20,20,0.4036,0.6702,0.8537,13.4855,7,9,14,40,33,0.9009,0.2111,26.5,169
23,21,2943,23,23,0.472,0.6743,0.8302,14.7071,11,5,21,73,57,0.8509,0.2216,40.7,228
23,22,2998,21,21,0.504,0.6731,0.8272,14.3529,10,4,14,68,58,0.8335,0.2367,46.6,191
23,23,2984,21,21,0.5238,0.6877,0.807,13.7797,10,3,14,76,56,0.7521,0.3018,47.5,201
23,24,2951,22,22,0.4517,0.6719,0.8206,10.4929,9,7,8,74,53,0.7964,0.2583,34.9,208
