window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
11,5000,2952,0,0,3,1.9812,1,32.9,4,2948,4.27,0.9388,3144.5,4,1.0,25,0,2,460,0.010449,0.0935,30.303,10,6.6,0.046,0.0182,0,0
12,5000,3092,0,0,3,1.9558,1,33.6,1,3091,4.38,0.9858,3136.4,1,1.0,22,1,4,445,0.010899,0.082,0.0,11,7.5,0.0484,0.0166,0,0
13,5000,3112,0,0,3,1.9035,1,34.7,0,3112,4.59,0.9933,3132.9,0,1.0,14,0,8,403,0.012822,0.1064,0.0,12,8.4,0.0612,0.0184,0,2
14,5000,3047,2,5,1,1.8702,1,36.1,7,3040,4.39,0.9761,3121.5,7,1.0,13,2,3,326,0.015792,0.1099,57.4713,13,8.1,0.0769,0.0208,1,0
15,5000,3041,4,5,3,1.9395,1,35.7,5,3016,4.48,0.9774,3111.4,25,1.0,18,9,4,389,0.012401,0.1333,200.0,14,5.6,0.0633,0.0298,4,2
16,5000,3164,1,5,3,1.947,2,38.8,3145,0,4.52,1.0149,3117.6,19,1.0,17,5,6,411,0.012586,0.0976,56.6577,15,6.1,0.0599,0.0191,1,1
17,5000,3032,0,0,3,1.864,2,39.1,3,3020,4.44,0.9755,3108.1,12,1.0,18,3,2,373,0.013032,0.1028,107.8431,16,6.2,0.0542,0.0221,0,1
18,5000,3156,0,0,3,1.8758,1,37.3,3156,0,4.53,1.0138,3113.1,0,1.0,14,0,4,349,0.015453,0.1,0.0,17,7.9,0.0747,0.0187,0,1
19,5000,3025,0,0,3,1.864,1,39.8,5,3020,4.39,0.9745,3104.3,5,1.0,15,5,4,326,0.015617,0.1,59.5238,18,7.4,0.0716,0.0244,0,0
20,5000,3055,1,4,3,1.6664,1,40.0,5,3046,4.45,0.9856,3099.6,9,1.0,15,2,2,326,0.016748,0.1222,108.4337,19,8.2,0.0679,0.0224,0,0
21,5000,3044,2,5,3,1.9049,1,40.4,3,3037,4.45,0.9837,3094.3,7,1.0,14,2,3,353,0.015001,0.1176,88.6076,20,7.1,0.0641,0.0267,1,1
22,5000,3057,1,3,3,1.9656,2,40.5,3,3054,4.45,0.9891,3090.8,3,1.0,15,2,1,317,0.015664,0.1124,36.1446,21,7.2,0.0744,0.0256,0,1
23,5000,3132,0,0,3,1.9219,2,40.7,3123,0,4.49,1.0121,3094.7,9,1.0,17,6,4,324,0.013966,0.1188,96.7742,22,7.0,0.0606,0.0265,0,0
24,4999,3044,0,0,3,1.9174,1,42.1,5,3039,4.46,0.9852,3089.9,5,1.0,14,2,5,319,0.014895,0.1047,39.4737,23,7.9,0.0714,0.0219,0,1
25,4999,3069,0,0,3,1.8097,1,41.7,3,3066,4.49,0.9939,3087.9,3,1.0,10,0,4,242,0.020446,0.1311,54.5455,24,11.0,0.0847,0.0277,0,1
26,4999,3013,1,3,1,1.7647,1,41.2,0,3009,4.39,0.978,3080.7,4,1.0,9,3,4,242,0.018906,0.1562,68.9655,25,11.3,0.0938,0.0404,0,1
27,4999,3067,0,0,1,1.7763,1,42.5,0,3067,4.43,0.996,3079.4,0,1.0,8,0,1,198,0.029333,0.22,0.0,26,13.0,0.12,0.0592,0,0
28,4999,3046,1,4,3,1.7177,1,42.3,9,3037,4.46,0.9902,3076.3,9,1.0,12,6,2,235,0.020248,0.1562,131.1475,27,9.3,0.0969,0.0338,0,0
29,4999,3176,1,5,3,1.819,1,43.2,3175,0,4.59,1.0313,3086.4,8,1.0,11,1,2,249,0.021127,0.1705,98.7654,28,9.8,0.0909,0.037,1,1
30,4999,3076,0,0,3,1.8911,2,44.3,3,3073,4.44,0.9969,3085.4,3,1.0,7,1,5,230,0.023373,0.2258,0.0,29,11.0,0.1613,0.053,0,2
31,4998,3086,0,0,3,1.9387,1,44.0,3086,0,4.4,1.0002,3085.5,0,1.0,4,0,3,150,0.038733,0.3611,0.0,30,18.5,0.2639,0.0856,0,1
32,4998,3116,2,3,3,1.9899,1,44.1,3113,0,4.48,1.0089,3088.4,3,1.0,6,2,0,131,0.039132,0.2,85.7143,31,13.0,0.1714,0.0347,0,0
33,4998,3107,1,5,3,1.9852,1,44.4,3099,0,4.52,1.0054,3090.2,8,1.0,6,1,1,156,0.033638,0.2069,145.4545,32,13.2,0.1437,0.045,1,0
34,4998,3178,1,5,3,1.9649,2,44.2,3173,0,4.51,1.0265,3098.8,8,1.0,7,1,0,160,0.034201,0.2034,135.5932,33,12.1,0.1568,0.0433,1,0
35,4998,3144,1,3,3,1.9269,2,44.1,3136,0,4.53,1.0132,3103.1,8,1.0,10,4,1,183,0.025983,0.1515,126.9841,34,9.2,0.1174,0.0396,0,0
36,4998,3054,2,5,3,1.9553,2,43.9,3,3036,4.48,0.9857,3098.4,18,1.0,11,2,1,231,0.021068,0.1299,257.1429,35,8.9,0.0909,0.0193,2,0
37,4997,3064,1,3,3,1.962,2,45.3,5,3056,4.4,0.9899,3095.2,8,1.0,10,4,5,260,0.01965,0.1486,45.4242,36,8.5,0.1108,0.0332,0,1
38,4997,3137,0,0,3,1.9569,2,45.4,3138,0,4.48,1.0125,3099.2,0,1.0,9,0,1,195,0.029968,0.1964,0.0,37,10.2,0.1143,0.0419,0,0
39,4996,3055,0,0,3,1.944,1,45.4,2,3053,4.42,0.9871,3095.0,2,1.0,9,2,2,200,0.026812,0.1333,45.4545,38,11.0,0.1067,0.0221,0,0
40,4993,3144,3,5,3,1.9895,1,46.3,3128,0,4.53,1.0143,3099.7,16,1.0,11,7,5,277,0.017461,0.1507,203.125,39,8.7,0.0959,0.0341,2,1
41,4993,3045,0,0,3,1.9733,1,45.5,10,3030,4.42,0.984,3094.5,15,1.0,14,7,4,257,0.017535,0.1358,178.0822,40,7.6,0.07,0.0271,0,0
42,4992,3076,1,4,1,1.9727,1,46.3,12,3059,4.43,0.9946,3092.7,17,1.0,13,2,3,268,0.017851,0.1573,202.5316,41,8.3,0.0918,0.034,0,0
43,4991,3083,1,5,1,1.9267,1,46.0,5,3073,4.47,0.9972,3091.8,10,1.0,11,1,3,256,0.020046,0.1429,158.7302,42,9.6,0.0952,0.0313,1,1
44,4986,3070,1,3,0,1.9086,2,46.5,3,3062,4.46,0.9936,3089.7,8,1.0,10,1,2,236,0.022876,0.1719,133.3333,43,11.1,0.0964,0.0383,0,0
45,4985,3109,1,5,0,1.9252,2,47.0,3091,0,4.57,1.0056,3091.6,18,1.0,12,6,4,272,0.0181,0.1975,223.6842,44,9.8,0.0935,0.0405,1,0
46,4984,3064,2,4,3,1.8649,2,45.6,7,3043,4.47,0.9919,3088.9,21,1.0,17,6,1,303,0.015794,0.102,233.3333,45,7.6,0.07,0.0173,0,0
47,4979,3151,0,0,3,1.8727,2,45.5,3134,0,4.54,1.0181,3094.8,17,1.0,15,0,2,302,0.015564,0.1111,175.2577,46,8.9,0.0679,0.02,0,1
48,4977,3057,1,5,3,1.876,1,46.3,2,3040,4.41,0.9889,3091.2,17,1.0,14,3,4,299,0.01557,0.1122,193.1818,47,10.1,0.0802,0.0269,1,0
49,4976,2996,0,0,3,1.9749,1,45.3,0,2996,4.37,0.972,3082.2,0,1.0,11,0,3,262,0.020881,0.1507,0.0,48,13.3,0.0939,0.0346,0,0
50,4975,3138,0,0,3,1.9152,1,45.4,3138,0,4.44,1.0164,3087.5,0,1.0,9,0,2,243,0.024777,0.1493,0.0,49,16.3,0.1023,0.031,0,0
51,4974,3061,1,5,3,1.9528,1,44.0,0,3057,4.47,0.9922,3085.0,4,1.0,9,1,1,233,0.02239,0.1667,75.4717,50,17.0,0.1134,0.0354,1,0
52,4974,3176,0,0,3,1.9884,1,40.4,3177,0,4.55,1.0269,3093.7,0,1.0,9,0,0,223,0.027344,0.2154,0.0,51,18.0,0.0981,0.048,0,0
53,4972,3069,0,0,3,1.966,1,41.3,0,3069,4.45,0.9928,3091.4,0,1.0,8,0,1,223,0.024811,0.1935,0.0,52,19.2,0.1221,0.0442,0,1
54,4971,3022,1,4,1,1.7566,1,40.5,4,3018,4.43,0.9797,3084.8,4,1.0,9,1,0,219,0.025123,0.1667,60.6061,53,18.0,0.0996,0.035,0,0
55,4970,3093,0,0,1,1.6933,1,39.9,3093,0,4.45,1.0024,3085.6,0,1.0,8,0,1,219,0.026996,0.1818,0.0,54,15.2,0.0985,0.0464,0,1
