window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
158,4777,2908,0,0,3,1.9363,1,15.1,0,2903,4.44,0.9919,2931.7,5,1.0,38,0,6,867,0.001466,0.0506,21.097,152,64.6,0.0272,0.0091,0,1,0,0,0.097276,0.015625,36,0.8394,7.7628,0.4119
159,4777,2946,1,3,1,1.9347,1,15.2,2936,0,4.46,1.0044,2933.1,10,1.0,41,6,3,823,0.001563,0.0437,42.1941,153,60.5,0.0247,0.0096,0,0,0,0,0.095238,0.015625,34,0.8359,7.8024,0.4116
160,4777,2942,1,5,3,1.882,1,15.5,2931,0,4.49,1.0027,2934.0,11,1.0,41,2,2,831,0.00148,0.0539,47.8261,154,61.4,0.0252,0.0118,1,0,0,0,0.082988,0.015625,33,0.8117,7.8522,0.4115
161,4775,2957,0,0,3,1.93,2,19.7,2952,0,4.5,1.0071,2936.1,5,1.0,39,0,2,806,0.001605,0.0467,23.8095,155,65.1,0.0267,0.0114,0,0,0,0,0.11215,0.015625,32,0.8607,7.8943,0.4113
162,4775,2936,0,0,3,1.9797,1,15.4,5,2927,4.51,1.0,2936.1,9,1.0,38,5,6,816,0.001404,0.0522,20.7597,156,65.2,0.0256,0.0122,0,1,0,0,0.108209,0.015625,34,0.8556,7.9353,0.4109
163,4774,2924,0,0,3,1.9772,1,15.6,0,2924,4.43,0.9963,2935.0,0,1.0,37,0,1,779,0.001561,0.0644,0.0,157,67.8,0.0261,0.0124,0,0,0,0,0.111588,0.015625,31,0.86,7.9868,0.4107
164,4774,2917,0,0,3,1.9656,1,16.5,0,2917,4.48,0.9945,2933.3,0,1.0,34,0,3,769,0.001303,0.0633,0.0,158,74.7,0.0294,0.0125,0,1,0,0,0.117647,0.015625,30,0.8672,8.023,0.411
165,4773,2948,1,5,1,1.9689,1,15.1,2943,0,4.51,1.0045,2934.7,5,1.0,35,1,0,764,0.00141,0.0628,24.5098,159,73.5,0.0272,0.0119,1,0,0,0,0.144928,0.015625,30,0.8922,8.052,0.411
166,4773,2973,3,5,1,1.9314,1,15.1,2960,0,4.54,1.0118,2938.3,13,1.0,37,3,1,818,0.001811,0.0591,56.5217,160,69.7,0.0277,0.0123,2,1,0,0,0.080169,0.015625,32,0.8051,8.0858,0.4107
167,4773,2915,1,5,1,1.8944,2,15.1,0,2910,4.37,0.9928,2936.1,5,1.0,37,1,1,815,0.002006,0.0586,20.0803,161,70.6,0.0262,0.0118,1,1,0,0,0.101562,0.015625,32,0.8462,8.1287,0.4105
