window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
127,4889,3079,1,5,3,1.8841,1,175.4,3074,0,4.52,1.0204,3018.3,6,1.0,12,2,2,283,0.018824,0.1413,55.5556,85,17.5,0.0924,0.0286,1,0
128,4889,3003,1,4,3,1.9701,2,167.5,7,2996,4.41,0.9954,3016.8,7,1.0,13,4,3,301,0.016225,0.12,41.2624,86,17.1,0.0725,0.0239,0,0
129,4887,2955,1,3,3,1.9713,2,176.5,4,2946,4.42,0.9814,3011.0,9,1.0,12,4,5,286,0.016773,0.119,121.6216,56,10.4,0.0935,0.0305,0,1
130,4883,3086,0,0,3,1.983,2,165.9,3082,0,4.54,1.0225,3018.1,4,1.0,10,0,2,232,0.02111,0.1509,81.6327,57,13.5,0.0943,0.0338,0,0
131,4882,2990,1,4,3,1.9687,1,169.7,5,2985,4.42,0.9916,3015.4,5,1.0,9,2,3,246,0.020826,0.1538,65.5738,58,14.8,0.1099,0.0269,0,0
132,4882,2990,3,5,3,1.9875,1,166.6,12,2973,4.51,0.9924,3013.0,17,1.0,12,6,3,265,0.016978,0.1463,220.7792,59,10.2,0.0749,0.0275,1,1
133,4878,3031,1,4,3,1.9564,2,174.2,3019,0,4.48,1.0054,3014.7,12,1.0,12,1,1,254,0.017981,0.1233,176.4706,60,9.7,0.0799,0.0213,0,1
134,4877,2954,1,4,3,1.9299,2,167.6,14,2940,4.46,0.9817,3008.9,14,1.0,13,5,4,263,0.015485,0.1071,181.8182,61,9.5,0.0714,0.0214,0,1
135,4875,3011,2,5,3,1.8985,2,170.8,2995,0,4.48,1.0006,3009.1,16,1.0,14,2,1,271,0.016991,0.1124,188.2353,62,9.6,0.0693,0.0206,1,0
136,4875,3032,0,0,3,1.8854,2,170.9,3016,0,4.5,1.0069,3011.3,16,1.0,10,0,4,256,0.019329,0.1647,200.0,63,12.6,0.0894,0.0377,0,1
137,4874,2970,1,5,3,1.956,1,166.3,5,2955,4.36,0.9876,3007.4,15,1.0,10,2,2,226,0.023784,0.1714,215.3846,64,11.0,0.1143,0.0344,1,1
138,4874,2950,4,5,3,1.9984,1,173.3,10,2926,4.45,0.9827,3001.9,24,1.0,14,10,6,295,0.01507,0.1075,258.8235,65,8.1,0.0735,0.023,1,0
139,4873,2985,0,0,3,1.9668,2,167.6,4,2976,4.46,0.9949,3000.3,9,1.0,13,0,1,259,0.019063,0.1758,102.2727,66,9.8,0.0897,0.0366,0,0
140,4871,2973,0,0,0,1.9641,1,175.7,6,2962,4.5,0.9918,2997.7,11,1.0,12,2,3,258,0.019324,0.1447,142.8571,67,11.0,0.0987,0.0329,0,0
141,4867,2978,2,5,3,1.9344,1,166.4,11,2962,4.4,0.9941,2995.8,16,1.0,13,5,4,294,0.015769,0.1089,175.8242,68,9.8,0.0792,0.0256,1,1
142,4861,3053,1,5,3,1.9672,1,176.1,3031,0,4.64,1.0172,3001.3,22,1.0,12,2,3,271,0.018377,0.1364,210.0,69,11.0,0.087,0.0261,1,0
143,4856,2980,0,0,3,1.9598,2,166.2,12,2963,4.45,0.9936,2999.2,17,1.0,11,0,1,241,0.020735,0.1429,188.8889,70,12.6,0.0989,0.0347,0,0
144,4852,3080,1,3,3,1.8789,1,173.7,3061,0,4.55,1.0243,3006.9,19,1.0,14,7,4,275,0.015718,0.1124,204.8193,71,10.7,0.0722,0.0251,0,0
145,4849,2965,2,3,1,1.9781,1,169.6,9,2956,4.44,0.9874,3002.9,9,1.0,14,2,2,277,0.017012,0.1216,125.0,72,11.1,0.0753,0.0247,0,0
146,4840,2906,0,0,3,1.9575,2,165.5,3,2903,4.42,0.9707,2993.7,3,1.0,12,0,2,254,0.018435,0.1053,42.2535,73,11.8,0.0811,0.0228,0,1
147,4837,3022,1,3,3,1.9687,1,174.8,3012,0,4.47,1.0085,2996.4,10,1.0,14,6,4,267,0.017465,0.1125,123.2877,74,10.6,0.0813,0.0225,0,0
148,4836,2986,2,4,1,1.9839,1,166.0,6,2970,4.5,0.9969,2995.4,16,1.0,16,6,4,304,0.015184,0.1212,155.5556,75,10.1,0.069,0.0206,0,0
149,4830,2987,2,5,3,1.9587,2,176.6,6,2961,4.51,0.9975,2994.6,26,1.0,15,4,5,337,0.014117,0.1212,277.7778,76,11.2,0.0543,0.0263,2,0
150,4828,2948,2,5,3,1.9641,2,167.4,9,2919,4.52,0.9859,2990.2,29,1.0,16,5,4,320,0.014186,0.0938,239.6694,17,4.6,0.0692,0.0206,1,2
151,4822,3013,0,0,3,1.9472,2,175.9,2998,0,4.49,1.0069,2992.3,15,1.0,14,0,2,276,0.018656,0.1395,185.1852,14,5.1,0.0748,0.0263,0,0
152,4822,2956,1,5,3,1.9437,1,167.3,1,2945,4.47,0.989,2988.9,11,1.0,14,2,2,289,0.017174,0.1461,117.6471,15,5.9,0.0871,0.0295,1,0
153,4821,2947,0,0,3,1.9717,1,174.0,0,2942,4.36,0.9873,2984.9,5,1.0,11,0,3,264,0.018434,0.186,61.7284,16,7.2,0.0988,0.0428,0,0
154,4820,2906,2,5,1,1.9512,1,170.4,3,2888,4.43,0.976,2977.4,18,1.0,13,5,3,307,0.014601,0.1358,207.7922,17,6.5,0.0823,0.0272,2,1
155,4818,2974,2,5,3,1.922,1,169.4,0,2964,4.41,0.999,2977.1,10,1.0,11,2,4,313,0.016605,0.1373,107.5269,18,6.5,0.0853,0.0227,2,1
156,4817,2964,2,5,1,1.9493,2,174.6,5,2949,4.48,0.996,2975.8,15,1.0,11,2,2,299,0.017767,0.1754,141.5094,19,6.5,0.086,0.0341,2,2
157,4813,2960,0,0,3,1.9344,2,168.1,0,2950,4.47,0.9952,2974.3,10,1.0,13,5,3,275,0.018296,0.1443,112.3596,20,4.9,0.0836,0.0286,0,1
