seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
42,6,0.0,4,4,1.2375,0.2186,0.2951,1.2375,0.2186,-1.161,3
42,7,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,7,0.0,1,2,0.6292,0.0239,-0.1394,0.6292,0.0239,-0.7925,3
42,7,0.0,2,3,1.2155,0.0774,0.2929,1.2155,0.0774,-1.0,3
42,7,0.0,3,4,1.8248,0.2726,0.9364,1.8248,0.2726,-1.161,3
42,7,0.0,4,4,1.8248,0.2726,0.9364,1.8248,0.2726,-1.161,3
42,8,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,8,0.0,1,1,-0.0,0.2895,-0.2105,-0.0,0.2895,-0.5,3
42,8,0.0,2,1,-0.0,0.4235,-0.0765,-0.0,0.4235,-0.5,3
42,8,0.0,3,2,0.5665,0.4543,0.2283,0.5665,0.4543,-0.7925,3
42,8,0.0,4,2,0.5665,0.4543,0.2283,0.5665,0.4543,-0.7925,3
42,9,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,9,0.0,1,2,0.5917,0.2746,0.0738,0.5917,0.2746,-0.7925,3
42,9,0.0,2,3,1.1488,0.4001,0.5489,1.1488,0.4001,-1.0,3
42,9,0.0,3,4,1.4838,0.4022,0.725,1.4838,0.4022,-1.161,3
42,9,0.0,4,4,1.4838,0.4022,0.725,1.4838,0.4022,-1.161,3
42,10,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,10,0.0,1,1,-0.0,0.2746,-0.2254,-0.0,0.2746,-0.5,3
42,10,0.0,2,1,-0.0,0.4001,-0.0999,-0.0,0.4001,-0.5,3
42,10,0.0,3,2,0.2975,0.4063,-0.0887,0.2975,0.4063,-0.7925,3
42,10,0.0,4,2,0.2975,0.4063,-0.0887,0.2975,0.4063,-0.7925,3
42,11,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,11,0.0,1,3,0.6396,0.2505,-0.1099,0.6396,0.2505,-1.0,3
42,11,0.0,2,4,1.0263,0.3287,0.194,1.0263,0.3287,-1.161,3
42,11,0.0,3,5,1.4015,0.3366,0.4456,1.4015,0.3366,-1.2925,3
42,11,0.0,4,5,1.4015,0.3366,0.4456,1.4015,0.3366,-1.2925,3
42,12,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,12,0.0,1,2,0.5746,0.2452,0.0273,0.5746,0.2452,-0.7925,3
42,12,0.0,2,3,1.1181,0.2582,0.3763,1.1181,0.2582,-1.0,3
42,12,0.0,3,4,1.5134,0.2599,0.6123,1.5134,0.2599,-1.161,3
42,12,0.0,4,4,1.5134,0.2599,0.6123,1.5134,0.2599,-1.161,3
42,13,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,13,0.0,1,2,0.4262,0.0669,-0.2994,0.4262,0.0669,-0.7925,3
42,13,0.0,2,3,0.8405,0.1011,-0.0584,0.8405,0.1011,-1.0,3
42,13,0.0,3,4,1.3603,0.1071,0.3064,1.3603,0.1071,-1.161,3
42,13,0.0,4,4,1.3603,0.1071,0.3064,1.3603,0.1071,-1.161,3
42,14,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,14,0.0,1,2,0.3712,0.0244,-0.3969,0.3712,0.0244,-0.7925,3
42,14,0.0,2,3,0.7345,0.0361,-0.2294,0.7345,0.0361,-1.0,3
42,14,0.0,3,4,1.0892,0.0969,0.0251,1.0892,0.0969,-1.161,3
42,14,0.0,4,4,1.0892,0.0969,0.0251,1.0892,0.0969,-1.161,3
42,15,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,15,0.0,1,3,0.9913,0.2871,0.2784,0.9913,0.2871,-1.0,3
42,15,0.0,2,4,1.5466,0.3202,0.7058,1.5466,0.3202,-1.161,3
42,15,0.0,3,5,2.0458,0.6089,1.3622,2.0458,0.6089,-1.2925,3
42,15,0.0,4,5,2.0458,0.6089,1.3622,2.0458,0.6089,-1.2925,3
42,16,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,16,0.0,1,2,0.5436,0.289,0.0401,0.5436,0.289,-0.7925,3
42,16,0.0,2,3,1.0613,0.2949,0.3562,1.0613,0.2949,-1.0,3
42,16,0.0,3,3,1.0613,0.6837,0.745,1.0613,0.6837,-1.0,3
42,16,0.0,4,3,1.0613,0.6837,0.745,1.0613,0.6837,-1.0,3
