seed,window,rate,k_star,J,tc,H
314,17,0.0005,3,0.8431,4,1.7652
314,18,0.0005,3,0.2353,3,0.7345
314,19,0.0005,3,0.3224,4,1.1451
314,20,0.0005,3,0.9267,4,1.6574
314,21,0.0005,2,0.0392,1,-0.0
314,22,0.0005,0,-0.5,1,-0.0
314,23,0.0005,2,0.7419,3,1.2871
314,24,0.0005,3,0.5035,2,0.7554
314,25,0.0005,4,1.0909,5,1.9455
456,1,0.0005,3,-0.2589,5,1.0336
456,2,0.0005,0,-0.5,1,-0.0
456,3,0.0005,3,0.416,5,1.4473
456,4,0.0005,3,0.7761,5,1.8811
456,5,0.0005,4,0.4392,4,1.1451
456,6,0.0005,4,0.6694,5,1.6166
456,7,0.0005,4,1.0492,5,1.9212
456,8,0.0005,4,0.8629,4,1.5016
456,9,0.0005,4,0.7411,4,1.4183
456,10,0.0005,4,0.4483,3,1.0613
456,11,0.0005,4,1.1191,4,1.682
456,12,0.0005,4,0.1473,3,0.6999
456,13,0.0005,4,0.2205,4,1.0975
456,14,0.0005,2,-0.1519,1,-0.0
456,15,0.0005,0,-0.5,1,-0.0
456,16,0.0005,2,0.4327,3,1.0613
456,17,0.0005,2,0.1129,3,1.0409
456,18,0.0005,4,1.142,5,1.946
456,19,0.0005,4,1.1441,5,2.1115
456,20,0.0005,3,0.7702,3,1.3294
456,21,0.0005,3,1.5621,5,2.2892
456,22,0.0005,3,0.281,1,-0.0
456,23,0.0005,3,0.4606,4,1.2366
456,24,0.0005,3,-0.115,1,-0.0
456,25,0.0005,3,0.2363,4,1.0534
789,1,0.0005,2,-0.4585,4,0.7025
789,2,0.0005,3,-0.0791,5,1.0115
789,3,0.0005,4,0.0461,5,1.1128
789,4,0.0005,4,0.714,3,1.2867
789,5,0.0005,3,0.0816,1,-0.0
789,6,0.0005,3,0.4468,3,1.0529
789,7,0.0005,3,0.3086,2,0.7219
789,8,0.0005,2,0.446,3,0.9864
789,9,0.0005,3,0.4284,5,1.4082
789,10,0.0005,3,0.6155,5,1.7723
789,11,0.0005,3,0.6145,4,1.4466
789,12,0.0005,3,-0.036,2,0.2975
789,13,0.0005,3,-0.2692,2,0.4537
789,14,0.0005,3,-0.0334,3,0.6402
789,15,0.0005,3,1.242,5,2.0742
789,16,0.0005,3,0.7869,5,1.9254
789,17,0.0005,3,0.8466,4,1.6258
789,18,0.0005,3,0.7605,4,1.4838
789,19,0.0005,4,0.5709,5,1.5059
789,20,0.0005,4,0.3923,4,1.2075
789,21,0.0005,3,0.6111,4,1.6184
789,22,0.0005,3,0.0399,2,0.4138
789,23,0.0005,3,0.6908,5,1.6137
789,24,0.0005,3,-0.0769,2,0.3373
789,25,0.0005,3,1.3472,4,1.9183
999,1,0.0005,3,-0.4454,4,0.7156
999,2,0.0005,3,0.6527,5,1.6145
999,3,0.0005,3,0.1635,3,0.8842
999,4,0.0005,3,0.6393,4,1.3716
999,5,0.0005,4,0.6275,5,1.6806
999,6,0.0005,4,0.3735,4,1.352
999,7,0.0005,3,-0.0473,2,0.4395
999,8,0.0005,3,0.6099,3,1.1568
999,9,0.0005,3,1.3865,5,2.1451
999,10,0.0005,3,0.73,4,1.4911
999,11,0.0005,3,0.0803,2,0.5436
999,12,0.0005,2,1.2075,2,1.0
999,13,0.0005,2,1.06,3,1.1982
999,14,0.0005,3,0.436,2,0.7219
999,15,0.0005,3,0.9735,3,1.361
999,16,0.0005,2,0.8342,3,1.585
999,17,0.0005,3,0.7837,5,1.6267
999,18,0.0005,3,0.0221,2,0.4138
999,19,0.0005,3,-0.2927,1,-0.0
999,20,0.0005,3,1.39,4,1.9219
999,21,0.0005,3,1.1065,4,1.8424
