window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
108,4836,3098,1,5,1,1.9737,1,14.3,3088,0,4.58,1.001,3094.8,10,1.0,66,1,0,1246,0.000961,0.0309,24.5098,107,53.0,0.0164,0.0067,1,0,0,0,0.061758,0.015625,40,0.747,5.3482,0.4087,24,2,40,755,1242,493,0.0003,0.9997,563.5,4.3,0.0505,0,0.003107,0.0,0.9,0
109,4835,2974,3,5,1,1.9657,1,14.2,0,2964,4.49,0.9662,3078.0,10,1.0,68,3,1,1289,0.000954,0.0339,24.8139,108,51.1,0.0158,0.006,2,0,0,0,0.060533,0.015625,39,0.7419,5.4039,0.4083,25,1,42,765,1178,437,0.0011,0.9989,550.4,4.0,0.0503,0.0,0.002811,0.0,0.9,0
110,4828,3068,1,4,1,1.9591,2,14.2,4,3064,4.54,0.9943,3085.7,4,1.0,67,1,2,1303,0.001005,0.0323,10.3359,109,52.6,0.0159,0.0069,0,1,0,0,0.064516,0.015625,39,0.7578,5.4684,0.4081,25,1,41,772,1186,521,0.0007,0.9993,586.2,4.1,0.0503,0.004963,0.003016,1.6454,1.0645,0
111,4825,3094,2,5,3,1.9463,2,14.2,3092,0,4.56,1.005,3085.6,9,1.0,69,2,0,1310,0.001123,0.0281,22.0588,110,52.1,0.0157,0.0052,1,0,0,0,0.0726,0.015625,39,0.7848,5.541,0.4081,25,1,43,744,1257,506,0.0008,0.9992,572.1,4.1,0.0507,0,0.002729,0.0,0.9,0
112,4821,3152,2,5,3,1.9657,2,14.1,3161,0,4.66,1.0255,3100.1,18,1.0,71,3,1,1357,0.000967,0.031,31.4815,111,51.6,0.0149,0.0063,1,0,0,0,0.064302,0.015625,41,0.757,5.6053,0.4079,25,2,44,780,1268,507,0.0011,0.9989,557.0,4.1,0.0507,0.006652,0.003102,2.1441,1.1144,0
113,4819,3109,1,5,1,1.9661,2,14.2,3101,0,4.59,1.0033,3109.8,19,1.0,72,1,0,1365,0.001239,0.0316,44.289,112,51.8,0.0151,0.0065,1,0,0,0,0.051919,0.015625,40,0.699,5.6414,0.4077,25,2,45,819,1200,486,0.0008,0.9992,606.0,4.0,0.0507,0,0.002807,0.0,0.9,0
114,4817,3110,0,0,3,1.9865,2,14.1,3111,0,4.57,1.0054,3103.3,9,1.0,72,0,0,1364,0.000915,0.0267,20.8333,113,52.8,0.0152,0.0061,0,0,0,0,0.055679,0.015625,40,0.7194,5.6926,0.4073,25,2,45,831,1205,497,0.001,0.999,624.7,4.1,0.0507,0,0.00254,0.0,0.9,0
115,4816,3138,3,5,3,1.9948,1,14.2,3139,0,4.7,1.0185,3100.5,19,1.0,77,8,3,1427,0.000962,0.0329,42.9864,114,50.3,0.0136,0.0061,3,0,0,0,0.059211,0.015625,43,0.7361,5.7518,0.4068,27,5,45,798,1285,486,0.0008,0.9992,576.7,4.0,0.0505,0.008772,0.003133,2.7997,1.18,0
116,4815,3077,2,5,3,1.9958,1,14.2,1,3068,4.66,0.9907,3105.8,9,1.0,77,2,2,1443,0.001163,0.0263,18.2648,115,51.3,0.014,0.0056,1,0,0,0,0.059211,0.015625,42,0.7361,5.811,0.4067,27,4,46,782,1213,488,0.001,0.999,570.7,4.0,0.0502,0.004386,0.003253,1.3485,1.0348,0
117,4811,3050,1,3,3,1.9639,2,14.2,5,3045,4.61,0.9855,3095.0,5,1.0,77,4,4,1450,0.001024,0.03,6.6815,116,51.1,0.0139,0.0057,0,0,0,0,0.051392,0.015625,44,0.696,5.8474,0.4061,28,4,45,790,1188,489,0.0011,0.9989,537.2,4.0,0.051,0.008565,0.003759,2.2789,1.1279,0
118,4804,3096,1,5,2,1.9749,2,14.1,3086,0,4.66,1.0021,3093.6,14,1.0,82,10,5,1461,0.001111,0.0288,28.2258,117,48.8,0.0126,0.005,1,0,0,0,0.053743,0.015625,47,0.7093,5.8935,0.4057,31,3,48,756,1245,508,0.0005,0.9995,561.2,3.9,0.051,0.005758,0.003949,1.4581,1.0458,0
119,4798,3091,2,5,1,1.9699,2,14.1,3088,0,4.53,1.0083,3076.4,14,1.0,79,2,5,1481,0.000947,0.0263,32.2581,118,51.4,0.0135,0.0056,1,1,0,0,0.052632,0.015625,45,0.7031,5.9461,0.4053,29,4,46,800,1242,492,0.0007,0.9993,544.2,4.1,0.0512,0.013158,0.004826,2.7265,1.1726,0
120,4794,3107,0,0,3,1.9634,2,14.0,3120,0,4.64,1.0227,3064.3,14,1.0,82,5,2,1443,0.001058,0.0281,31.8182,119,50.5,0.0128,0.0053,0,0,0,0,0.062635,0.015625,47,0.7505,5.9785,0.4049,31,4,47,850,1210,500,0.0012,0.9988,590.4,3.9,0.0512,0.00432,0.004778,0.9041,0.9904,0
121,4791,3073,0,0,3,1.9918,1,14.1,3067,0,4.59,1.0014,3071.7,9,1.0,79,0,3,1441,0.000905,0.0249,19.1847,120,53.2,0.0131,0.0053,0,1,0,0,0.054299,0.015625,46,0.7122,6.0328,0.4043,30,4,45,771,1250,496,0.0015,0.9985,595.5,3.9,0.0512,0.00905,0.005185,1.7455,1.0746,0
122,4788,3070,2,3,2,1.9778,1,13.9,3065,0,4.53,1.0035,3066.3,12,1.0,81,6,4,1435,0.000866,0.0221,23.3051,121,52.5,0.0133,0.0047,0,1,0,0,0.05835,0.015625,44,0.7322,6.0912,0.4042,30,4,47,813,1209,500,0.0012,0.9988,639.3,3.7,0.0516,0.002012,0.004882,0.4121,0.9412,0
123,4783,3070,0,0,1,1.9794,1,14.0,3076,0,4.64,1.0063,3063.6,7,1.0,81,2,2,1441,0.000777,0.039,13.9211,122,53.5,0.0134,0.0061,0,0,0,0,0.067245,0.015625,45,0.7676,6.1367,0.4042,30,4,47,756,1273,475,0.0005,0.9995,616.5,3.9,0.0515,0.008677,0.005244,1.6547,1.0655,0
124,4770,3006,0,0,3,1.9853,1,14.0,3,2994,4.57,0.9854,3050.4,12,1.0,82,8,7,1443,0.000907,0.0294,26.9663,123,52.4,0.0129,0.0058,0,0,0,0,0.048319,0.015625,47,0.6766,6.1851,0.4038,29,4,49,767,1212,484,0.0015,0.9985,599.2,3.8,0.0515,0.006303,0.005345,1.1792,1.0179,0
125,4764,3044,0,0,3,1.9408,1,13.9,3042,0,4.58,1.0026,3042.2,8,1.0,80,0,2,1432,0.000798,0.0254,19.4175,124,54.7,0.0132,0.0051,0,0,0,0,0.057737,0.015625,45,0.7294,6.2428,0.4036,29,4,47,781,1194,518,0.0006,0.9994,570.7,4.0,0.0519,0.006928,0.005496,1.2607,1.0261,0
126,4761,3041,1,5,3,1.9345,1,13.9,3027,0,4.57,1.0012,3038.3,15,1.0,81,3,2,1440,0.000802,0.0256,33.7079,125,54.9,0.0133,0.0054,1,0,0,0,0.057692,0.015625,45,0.7292,6.2941,0.4037,30,4,47,819,1221,490,0.0009,0.9991,572.0,3.9,0.0519,0.002137,0.005176,0.4128,0.9413,0
127,4759,3016,1,3,3,1.9076,1,13.9,3,3008,4.53,0.994,3034.1,8,1.0,78,0,3,1434,0.000733,0.0266,18.6047,126,57.8,0.0136,0.0053,0,0,0,0,0.05765,0.015625,45,0.729,6.3517,0.4037,29,4,45,789,1162,499,0.0008,0.9992,577.3,4.0,0.0521,0.011086,0.005739,1.9319,1.0932,0
