seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
21,79,129,20,3,unformed,,0.181818,-0.018182,0.0,0.0,0.764549,-0.021307,0.0,0.0,0.923839,-0.008354,0.0,0.0,7.771084,-0.818152,0.0,0.0,33.592103,0.421769,0.139535,0.216947,0.355178,0.975418,0.285287,cold_start,17,0.016999,0.562162,-1.615014
21,80,130,20,3,unformed,,0.090909,-0.009091,0.0,0.0,0.757681,-0.0147,0.0,0.0,0.935617,-0.001489,0.0,0.0,33.673325,4.527302,0.0,0.0,18.191806,0.527022,0.151163,0.461262,0.937889,0.557776,0.214173,cold_start,16,0.030062,0.033102,-1.875751
21,83,133,20,3,unformed,,0.545455,0.045455,0.0,0.0,0.669883,0.005555,0.0,0.0,0.924901,-0.00488,0.0,0.0,11.246362,3.885457,0.0,0.0,33.316058,0.537014,0.662791,0.326949,0.41108,0.747236,0.208423,cold_start,62,0.02882,0.302794,-0.630882
21,84,134,20,3,unformed,,0.090909,-0.009091,0.0,0.0,0.617152,-0.05244,0.0,0.0,0.925415,-0.006171,0.0,0.0,4.620505,-0.486454,0.0,0.0,19.180211,0.479437,0.011628,0.458103,0.468892,0.979126,0.243814,cold_start,4,0.01356,0.804333,-0.053186
21,36,136,20,3,unformed,,0.636364,0.136364,0.0,0.0,0.699187,0.007347,0.0,0.0,0.941164,0.009374,0.0,0.0,10.335782,-0.429775,0.0,0.0,25.65611,0.544465,0.55814,0.366882,0.67977,0.573069,0.204235,cold_start,52,0.031342,0.176286,-2.653186
21,86,136,20,3,unformed,,0.181818,-0.018182,0.0,0.0,0.722231,-0.061186,0.0,0.0,0.91479,-0.01382,0.0,0.0,26.652619,2.760546,0.0,0.0,12.175672,0.344369,0.116279,0.009818,0.385061,0.866316,0.352248,cold_start,12,0.029431,0.525922,-0.875634
21,87,137,20,3,unformed,,0.0,0.0,0.0,0.0,0.770649,-0.005155,0.0,0.0,0.934457,-0.00067,0.0,0.0,0.0,0.0,0.0,0.0,12.83727,0.361904,0.046512,0.011797,0.730411,0.658896,0.335818,cold_start,6,0.020376,0.178019,1.008811
21,88,138,20,3,unformed,,0.090909,-0.009091,0.0,0.0,0.629157,-0.067229,0.0,0.0,0.941559,-0.00571,0.0,0.0,27.697665,-2.916054,0.0,0.0,12.519017,0.222747,0.0,0.017575,0.075141,0.798272,0.490601,cold_start,2,0.0,0.997898,2.760747
21,44,144,20,3,unformed,,0.727273,0.227273,0.0,0.0,0.606908,0.007095,0.0,0.0,0.948606,-0.004203,0.0,0.0,7.696515,-3.532486,0.0,0.0,33.126103,0.540414,0.430233,0.37815,0.598287,0.754986,0.206501,cold_start,42,0.028182,0.106677,-2.968405
21,49,149,20,3,unformed,,0.0,0.0,0.0,0.0,0.714706,-0.018516,0.0,0.0,0.912474,0.000675,0.0,0.0,0.0,0.0,0.0,0.0,11.728084,0.230146,0.05814,0.076272,0.531948,0.254223,0.480813,cold_start,7,0.02367,0.465291,2.623812
21,0,150,20,4,MAD_DT_Normal,gain_social,0.363636,0.181818,0.121212,1.499988,0.793701,0.02144,0.10464,0.204895,0.944375,0.005031,0.021896,0.229777,19.38442,-6.061528,10.502492,-0.577151,18.676,0.399488,0.267442,0.245616,0.67305,0.411845,0.303138,FALSE,26,0.025124,0.313269,-0.401671
21,55,155,20,4,none,,0.75,-0.068182,0.128788,-0.529408,0.756536,-0.021175,0.023157,-0.914359,0.944508,-0.000891,0.004112,-0.21662,17.933459,0.184927,4.648481,0.039782,34.581941,0.4437,0.372093,0.258435,0.311406,0.832867,0.268743,FALSE,37,0.028922,0.114927,-0.807885
21,57,157,20,4,MAD_DT_Normal,gain_social|gain_familiarity,0.083333,0.083333,0.027778,2.999892,0.687959,0.014062,0.113388,0.124012,0.952265,0.006066,0.035943,0.168756,31.992206,31.992206,10.664069,3.0,11.951868,0.453418,0.116279,0.03384,0.969786,0.693764,0.261723,FALSE,12,0.025729,0.029947,-2.854553
21,9,159,20,4,none,,0.083333,-0.007576,0.138889,-0.054545,0.692123,0.018496,0.093161,0.19854,0.908066,-0.014398,0.019236,-0.748447,7.339658,-0.772731,0.85694,-0.901731,19.515039,0.332182,0.023256,0.275424,0.530494,0.499555,0.364137,TRUE,5,0.016846,0.877908,2.981644
21,71,171,20,4,none,,0.0,0.0,0.0,0.0,0.682322,-0.000397,0.045435,-0.008732,0.898428,-0.006432,0.019218,-0.334671,0.0,0.0,0.0,0.0,18.769951,0.230649,0.174419,0.246758,0.486432,0.014986,0.480155,TRUE,18,0.025102,0.452984,-2.108789
21,72,172,20,4,MAD_DT_Normal,loss_stability,0.0,0.0,0.0,0.0,0.670049,-0.065438,0.052486,-1.246766,0.93149,-0.01204,0.016763,-0.718238,0.0,0.0,0.0,0.0,18.411011,0.253739,0.023256,0.384158,0.092945,0.514595,0.450884,FALSE,5,0.02867,0.842254,0.350163
21,24,174,20,4,MAD_DT_Normal,loss_spread,0.583333,-0.05303,0.129798,-0.408557,0.653692,-0.035812,0.055274,-0.647877,0.937945,-0.005586,0.003861,-1.446133,8.333561,0.421296,1.964819,0.21442,33.290005,0.337657,0.337209,0.296597,0.604397,0.112425,0.358747,FALSE,34,0.025453,0.141153,-1.991188
21,74,174,20,4,none,,0.083333,-0.007576,0.032828,-0.230762,0.75391,0.016257,0.025553,0.636186,0.928819,-0.006694,0.017951,-0.372853,38.373825,-1.028017,13.47662,-0.076282,18.846453,0.228924,0.116279,0.373246,0.32409,0.102083,0.482415,TRUE,13,0.022429,0.266946,2.856965
21,76,176,20,4,none,,0.083333,-0.007576,0.032828,-0.230762,0.80195,-0.003121,0.02567,-0.121562,0.927671,-0.001142,0.010669,-0.107008,38.220483,-3.021909,14.754767,-0.204809,12.030516,0.228587,0.104651,0.022812,0.630252,0.156631,0.482859,FALSE,11,0.027224,0.369633,0.576026
21,27,177,20,4,none,,1.0,0.0,0.0,0.0,0.762082,-0.007994,0.015262,-0.523786,0.92973,-0.00287,0.007029,-0.408183,24.650701,2.285157,3.257653,0.701473,32.850024,0.413191,0.616279,0.451353,0.471224,0.113907,0.292032,FALSE,58,0.025701,0.185719,-2.355795
21,77,177,20,4,MAD_DT_Normal,gain_social|gain_familiarity,0.833333,0.19697,0.111111,1.772711,0.640366,-0.029183,0.077854,-0.374832,0.944548,-0.000319,0.007796,-0.040908,12.73082,3.715655,3.457051,1.074804,26.338735,0.485395,0.476744,0.444088,0.255368,0.765381,0.239889,FALSE,45,0.024062,0.185108,2.963321
21,28,178,20,4,MAD_DT_Normal,gain_social|loss_spread,0.583333,0.219697,0.127778,1.719354,0.662552,-0.002057,0.072734,-0.028276,0.930409,-0.011253,0.009396,-1.197477,14.497915,-1.952207,3.937215,-0.495834,32.926766,0.463304,0.697674,0.326403,0.715963,0.113175,0.254768,TRUE,65,0.028325,0.129344,1.331421
21,79,179,20,4,MAD_DT_Normal,gain_social,0.666667,0.484848,0.167677,2.891549,0.775387,0.010838,0.02145,0.505247,0.923058,-0.000781,0.008203,-0.095209,6.538272,-1.232812,1.636837,-0.753167,33.592103,0.546767,0.430233,0.208874,0.750285,0.797678,0.202958,FALSE,42,0.025073,0.167054,-2.173399
21,80,180,20,4,none,,0.083333,-0.007576,0.038889,-0.1948,0.748089,-0.009592,0.010073,-0.95221,0.934195,-0.001422,0.020489,-0.069403,30.465833,-3.207491,12.293605,-0.260907,18.191806,0.455806,0.104651,0.461665,0.84641,0.410497,0.260026,FALSE,12,0.02966,0.124581,-2.338442
21,83,183,20,4,MAD_DT_Normal,gain_social,0.833333,0.287879,0.144444,1.992993,0.673163,0.00328,0.056353,0.058204,0.930411,0.00551,0.009443,0.583505,10.759339,-0.487023,2.190528,-0.222331,33.316058,0.511691,0.755814,0.331036,0.339035,0.620877,0.223307,TRUE,70,0.024733,0.374838,-2.616012
21,84,184,20,4,none,,0.083333,-0.007576,0.038889,-0.1948,0.559352,-0.0578,0.114076,-0.506673,0.921999,-0.003415,0.003896,-0.876442,4.180387,-0.440118,0.48808,-0.901731,19.180211,0.405519,0.034884,0.432583,0.240149,0.914461,0.298199,FALSE,6,0.03908,0.57559,0.281119
21,36,186,20,4,MAD_DT_Normal,gain_familiarity,0.583333,-0.05303,0.163131,-0.325075,0.671207,-0.02798,0.031339,-0.892807,0.932817,-0.008347,0.014027,-0.595001,13.077336,2.741554,2.075073,1.321183,25.65611,0.550827,0.430233,0.368381,0.706101,0.698594,0.200726,FALSE,41,0.029843,0.149955,-3.047536
21,86,186,20,4,none,,0.166667,-0.015152,0.077778,-0.194803,0.718175,-0.004056,0.047809,-0.084829,0.921162,0.006372,0.007123,0.894411,24.113872,-2.538747,9.730455,-0.260907,12.175672,0.331049,0.069767,0.015559,0.537552,0.701318,0.365263,FALSE,8,0.02369,0.373431,-2.233952
