seed,from,to,familiarity
28,186,72,14.8168
28,186,50,20.9331
28,186,193,2.6277
28,186,64,14.9375
28,186,54,1.6418
28,186,194,2.2282
28,186,173,35.6613
28,186,18,7.9571
28,186,181,7.6438
28,186,171,34.2385
28,186,168,32.3918
28,186,108,24.0961
28,186,3,16.3551
28,186,73,7.6445
28,186,89,12.2303
28,186,42,7.4172
28,186,100,21.3547
28,186,184,7.6392
28,186,27,7.2676
28,186,140,0.8186
28,186,195,6.685
28,187,193,15.6317
28,187,173,0.5618
28,187,42,1.9061
28,187,181,3.2878
28,187,100,8.4305
28,187,108,14.2098
28,187,72,16.0306
28,187,89,46.8143
28,187,18,29.4916
28,187,64,23.8243
28,188,194,3.8937
28,188,190,6.0712
28,188,172,10.0947
28,188,27,14.2656
28,190,194,3.8937
28,190,188,4.324
28,190,172,10.0947
28,190,89,1.7832
28,64,72,21.194
28,64,3,15.5635
28,64,89,17.2463
28,64,18,13.026
28,64,140,23.5826
28,64,100,18.2736
28,64,54,19.6164
28,64,108,27.0414
28,64,50,19.2767
28,64,73,18.9094
28,64,27,4.8393
28,64,42,0.6168
28,64,154,0.7733
28,64,157,0.8713
28,64,163,4.4494
28,64,171,43.0946
28,64,168,4.0407
28,64,165,3.2591
28,64,172,37.1751
28,64,173,30.6707
28,64,160,0.7469
28,64,175,0.6035
28,64,184,29.9434
28,64,190,0.8666
28,64,193,0.7509
28,64,187,25.5985
28,64,186,14.9375
28,64,194,10.9236
28,64,181,13.6474
28,64,200,1.2812
28,64,197,1.2812
28,64,199,12.6842
28,64,178,0.6438
28,193,187,15.6317
28,193,42,1.9061
28,193,54,15.4323
28,195,194,25.2628
28,195,73,21.568
28,195,72,23.7337
28,195,199,23.9774
28,195,100,18.8715
28,195,171,26.3616
28,72,64,21.194
28,72,89,66.5548
28,72,27,6.2766
28,72,18,26.7545
28,72,3,4.6035
28,72,140,15.941
28,72,100,1.2696
28,72,73,6.7076
28,72,108,7.2423
28,72,79,18.7824
28,72,54,17.5832
28,72,42,15.0161
28,72,50,31.8246
28,72,148,1.1271
28,72,165,0.688
28,72,160,0.5554
28,72,168,32.417
28,72,171,25.4913
28,72,175,1.4508
28,72,172,3.3179
28,72,173,7.3127
28,72,178,1.1672
28,72,181,10.8064
28,72,186,14.8168
28,72,193,6.8762
28,72,190,15.5844
28,72,184,6.7495
28,72,187,33.5516
28,72,188,2.8634
28,72,195,24.8904
28,72,197,18.1852
28,72,200,2.8251
28,73,108,9.2922
28,73,50,39.4747
28,73,3,8.3757
28,73,27,24.1104
28,73,42,1.0585
28,73,72,6.7076
28,73,89,7.1271
28,73,54,25.4992
28,73,64,18.9094
28,73,18,3.2569
28,73,140,14.0218
28,73,100,7.9273
28,73,79,2.2038
28,73,157,0.5104
28,73,168,1.8418
28,73,171,15.4643
28,73,160,2.1874
28,73,173,44.5127
28,73,178,3.1423
28,73,175,0.9183
28,73,172,18.9908
28,73,194,24.9031
28,73,186,7.6445
28,73,187,12.416
28,73,195,21.568
28,73,190,4.2624
28,73,200,1.3096
28,73,181,10.7703
28,73,199,6.592
28,79,3,10.3414
28,79,50,2.972
28,79,165,3.1938
28,79,154,1.7866
28,79,73,1.9668
28,79,173,10.4742
28,79,200,8.6936
28,89,3,14.6911
28,89,72,66.5548
28,89,64,17.2463
28,89,79,0.6588
28,89,50,4.5767
28,89,73,7.1271
28,89,140,72.0871
28,89,100,1.1879
28,89,108,49.7599
28,89,54,2.1004
28,89,18,1.8412
28,89,42,5.6986
28,89,27,2.6927
28,89,163,1.3932
28,89,171,15.3623
28,89,168,0.7624
28,89,172,12.4171
28,89,178,8.0163
28,89,173,3.8881
28,89,175,3.5423
28,89,187,49.8283
28,89,190,21.7655
28,89,184,3.7818
28,89,186,12.2303
28,89,193,1.7832
28,89,194,1.4863
28,89,181,3.0694
28,89,200,5.0791
28,89,195,4.6298
28,100,27,2.6558
28,100,73,3.4824
28,100,173,1.4654
28,100,168,2.4654
28,100,181,3.5852
28,100,187,8.4305
28,100,171,10.4476
28,100,195,18.8715
28,108,73,9.2922
28,108,27,4.4222
28,108,140,15.4419
28,108,42,0.9764
28,108,64,27.0414
28,108,50,15.3284
28,108,100,6.4231
28,108,89,49.7599
28,108,79,1.7481
28,108,72,7.2423
28,108,54,3.1291
28,108,3,1.2897
28,108,18,37.1009
28,108,163,5.2842
28,108,171,16.5193
28,108,160,0.8912
