seed,rate,window,H3_base,H3_probe,dH_probe,J3_base,J3_probe,tc3_base,tc3_probe,dH32_base,dH32_probe
1337,0.0,14,1.3355,1.3355,0.0,0.8129,0.8129,4,4,0.7211,0.7211
1337,0.0,15,1.2075,1.2075,0.0,0.4448,0.4448,4,4,0.0,0.0
1337,0.0,16,1.7048,1.7048,0.0,0.923,0.923,4,4,0.2302,0.2302
1337,0.0,17,1.9329,1.9329,0.0,1.3491,1.3491,4,4,0.5946,0.5946
1337,0.0,18,1.3784,1.3784,0.0,0.5338,0.5338,4,4,0.7382,0.7382
1337,0.0,19,0.8905,0.8905,0.0,0.3487,0.3487,2,2,0.8905,0.8905
1337,0.0,20,1.2776,1.2776,0.0,0.4856,0.4856,4,4,0.4117,0.4117
1337,0.0,21,0.7345,0.7345,0.0,0.0969,0.0969,3,3,0.0,0.0
1337,0.0,22,2.1133,2.1133,0.0,1.5467,1.5467,5,5,0.2222,0.2222
1337,0.0,23,1.2752,1.2752,0.0,0.7674,0.7674,4,4,0.4721,0.4721
1337,0.0,24,0.7732,0.7732,0.0,0.1661,0.1661,3,3,0.0,0.0
1337,0.0,25,1.7899,1.7899,0.0,1.0491,1.0491,4,4,0.0,0.0
2024,0.0,1,1.2885,1.2885,0.0,-0.0039,-0.0039,5,5,0.3607,0.3607
2024,0.0,2,1.0781,1.0781,0.0,-0.1416,-0.1416,5,5,0.3,0.3
2024,0.0,3,1.2332,1.2332,0.0,0.2449,0.2449,4,4,0.6188,0.6188
2024,0.0,4,0.6723,0.6723,0.0,0.1207,0.1207,2,2,0.6723,0.6723
2024,0.0,5,1.7689,1.7689,0.0,0.8396,0.8396,5,5,0.6714,0.6714
2024,0.0,6,1.2752,1.2752,0.0,0.365,0.365,4,4,0.4721,0.4721
2024,0.0,7,0.4855,0.4855,0.0,-0.0069,-0.0069,2,2,0.4855,0.4855
2024,0.0,8,0.3621,0.3621,0.0,-0.3756,-0.3756,2,2,0.3621,0.3621
2024,0.0,9,1.8395,1.8395,0.0,1.2008,1.2008,4,4,0.4868,0.4868
2024,0.0,10,1.7056,1.7056,0.0,0.6601,0.6601,5,5,0.4969,0.4969
2024,0.0,11,1.1033,1.1033,0.0,0.4641,0.4641,3,3,0.0,0.0
2024,0.0,12,0.469,0.469,0.0,0.1118,0.1118,2,2,0.469,0.469
2024,0.0,13,1.7783,1.7783,0.0,1.202,1.202,4,4,0.0,0.0
2024,0.0,14,0.8167,0.8167,0.0,0.1759,0.1759,3,3,0.0,0.0
2024,0.0,15,1.8943,1.8943,0.0,0.9846,0.9846,5,5,0.5727,0.5727
2024,0.0,16,1.2772,1.2772,0.0,0.3903,0.3903,4,4,0.637,0.637
2024,0.0,17,1.7034,1.7034,0.0,0.8704,0.8704,4,4,0.681,0.681
2024,0.0,18,1.4047,1.4047,0.0,0.659,0.659,4,4,0.4602,0.4602
2024,0.0,19,1.6729,1.6729,0.0,0.6388,0.6388,4,4,0.6199,0.6199
2024,0.0,20,1.0092,1.0092,0.0,0.1187,0.1187,4,4,0.6094,0.6094
2024,0.0,21,1.4473,1.4473,0.0,0.44,0.44,5,5,0.2386,0.2386
2024,0.0,22,1.614,1.614,0.0,0.7376,0.7376,4,4,0.3624,0.3624
2024,0.0,23,-0.0,-0.0,0.0,-0.0017,-0.0017,1,1,0.0,0.0
2024,0.0,24,0.9934,1.3113,0.3179,0.1498,0.3902,4,5,0.0,0.3179
2024,0.0,25,1.4911,1.4911,0.0,0.6959,0.7309,4,4,0.6252,0.6252
7,0.0005,1,0.4148,0.4148,0.0,-0.7461,-0.7461,4,4,0.2655,0.2655
7,0.0005,2,1.135,1.135,0.0,0.0687,0.0687,5,5,0.4544,0.4544
7,0.0005,3,1.9369,1.9369,0.0,0.9063,0.9063,5,5,0.4997,0.4997
7,0.0005,4,1.4838,1.4838,0.0,0.6066,0.6066,4,4,0.0,0.0
7,0.0005,5,1.0583,1.0583,0.0,0.0526,0.0526,4,4,0.0,0.0
7,0.0005,6,1.0144,1.0144,0.0,-0.0986,-0.0986,5,5,0.249,0.249
7,0.0005,7,0.971,0.971,0.0,0.6227,0.6227,2,2,0.971,0.971
7,0.0005,8,0.7742,0.7742,0.0,0.3161,0.3161,3,3,0.0,0.0
7,0.0005,9,1.4591,1.4591,0.0,1.0601,1.0601,3,3,0.0,0.0
7,0.0005,10,1.4183,1.7807,0.3624,0.9981,1.2385,4,5,0.3774,0.7398
7,0.0005,11,1.1451,1.1451,0.0,0.3371,0.3999,4,4,0.3719,0.3719
7,0.0005,12,2.1887,2.1887,0.0,1.4464,1.4464,5,5,0.3333,0.3333
7,0.0005,13,1.1401,1.1401,0.0,0.5445,0.5445,4,4,0.0,0.0
7,0.0005,14,1.9477,1.9477,0.0,0.9894,0.9894,5,5,0.5065,0.5065
7,0.0005,15,0.5436,1.0613,0.5177,0.2128,0.5677,2,3,0.0,0.5177
7,0.0005,16,0.8167,0.8167,0.0,0.029,0.1465,3,3,0.0,0.0
7,0.0005,17,1.8074,1.8074,0.0,0.8767,0.8767,5,5,0.5157,0.5157
7,0.0005,18,-0.0,-0.0,0.0,0.0069,0.0069,1,1,0.0,0.0
7,0.0005,19,2.1029,2.1029,0.0,1.4246,1.4246,5,5,0.3799,0.3799
7,0.0005,20,0.5917,0.5917,0.0,0.3411,0.3411,2,2,0.5917,0.5917
7,0.0005,21,1.7272,1.7272,0.0,0.9911,0.9911,4,4,0.529,0.529
7,0.0005,22,1.0389,1.0389,0.0,0.1165,0.1165,4,4,0.3391,0.3391
7,0.0005,23,0.469,0.469,0.0,-0.0566,-0.0566,2,2,0.0,0.0
7,0.0005,24,2.1887,2.4591,0.2704,1.4705,1.6994,5,6,0.4591,0.7295
7,0.0005,25,1.1488,1.1488,0.0,0.6644,0.7323,3,3,0.0,0.0
42,0.0005,1,0.509,0.509,0.0,-0.652,-0.652,4,4,0.2128,0.2128
42,0.0005,2,1.1983,1.1983,0.0,0.1363,0.1363,5,5,0.3207,0.3207
42,0.0005,3,1.0389,1.0389,0.0,-0.0083,-0.0083,4,4,0.3391,0.3391
42,0.0005,4,1.1863,1.1863,0.0,0.2931,0.2931,4,4,0.5177,0.5177
42,0.0005,5,1.4789,1.4789,0.0,0.4597,0.4597,4,4,0.4249,0.4249
42,0.0005,6,0.6292,0.6292,0.0,0.2092,0.2092,2,2,0.6292,0.6292
42,0.0005,7,0.8524,0.8524,0.0,0.1839,0.1839,2,2,0.8524,0.8524
42,0.0005,8,0.5907,0.5907,0.0,0.0359,0.0359,3,3,0.0,0.0
42,0.0005,9,1.2075,1.2075,0.0,0.2731,0.2731,4,4,0.0,0.0
42,0.0005,10,1.2244,1.2244,0.0,0.669,0.669,3,3,0.7211,0.7211
42,0.0005,11,1.4466,1.4466,0.0,0.5487,0.5487,4,4,0.4602,0.4602
42,0.0005,12,0.5033,0.5033,0.0,0.0609,0.0609,2,2,0.5033,0.5033
42,0.0005,13,0.8659,0.8659,0.0,0.25,0.25,3,3,0.0,0.0
42,0.0005,14,2.0458,2.0458,0.0,1.1578,1.1578,5,5,0.4992,0.4992
42,0.0005,15,1.3863,1.3863,0.0,0.3372,0.3372,5,5,0.2888,0.2888
42,0.0005,16,2.0649,2.0649,0.0,1.0103,1.0103,5,5,0.4437,0.4437
42,0.0005,17,0.7642,0.7642,0.0,0.472,0.472,2,2,0.7642,0.7642
42,0.0005,18,1.668,1.668,0.0,0.766,0.766,5,5,0.436,0.436
42,0.0005,19,1.523,1.523,0.0,0.5356,0.5356,4,4,0.57,0.57
42,0.0005,20,1.1033,1.1033,0.0,0.3933,0.3933,3,3,0.0,0.0
42,0.0005,21,1.8366,1.8366,0.0,0.988,0.988,4,4,0.0,0.0
42,0.0005,22,0.9183,0.9183,0.0,0.8045,0.8045,2,2,0.9183,0.9183
42,0.0005,23,1.6858,2.0404,0.3546,1.156,1.4217,4,5,0.0,0.3546
42,0.0005,24,0.6194,0.6194,0.0,0.3995,0.4537,2,2,0.6194,0.6194
42,0.0005,25,0.9864,0.9864,0.0,0.4212,0.4212,3,3,0.0,0.0
55,0.0005,1,0.7628,0.7628,0.0,-0.5297,-0.5297,5,5,0.2496,0.2496
