seed,rate,window,J3,H3,tc3,drift3,none_ratio,weak_ratio,mid_strong_ratio,n_C
789,0.0,6,1.139,1.8911,4,0.4089,0.6667,0.0,0.3333,9
789,0.0,9,1.2561,1.9698,5,0.5788,0.7059,0.0588,0.2353,17
789,0.0,10,0.5914,1.4466,4,0.3057,0.7778,0.1111,0.1111,9
789,0.0,11,0.6737,1.4961,4,0.3386,0.7647,0.1176,0.1176,17
789,0.0,12,0.2993,1.0409,3,0.2584,0.8333,0.0,0.1667,12
789,0.0,13,0.7157,1.4183,4,0.4584,0.75,0.1667,0.0833,12
789,0.0,14,1.3674,2.2464,5,0.4134,0.5,0.2,0.3,10
789,0.0,15,0.2832,1.1387,5,0.437,0.875,0.0417,0.0833,24
789,0.0,16,0.1643,1.1542,4,0.171,0.8571,0.0,0.1429,21
789,0.0,17,0.4197,1.2116,4,0.3691,0.7692,0.1538,0.0769,26
789,0.0,18,-0.0412,0.6686,3,0.2902,0.9375,0.0,0.0625,16
789,0.0,19,1.6269,2.2855,5,0.6339,0.45,0.15,0.4,20
789,0.0,20,0.9371,1.8289,5,0.4007,0.5556,0.2778,0.1667,18
789,0.0,21,0.2951,1.1401,4,0.316,0.8235,0.1176,0.0588,17
789,0.0,22,0.6027,1.6235,5,0.2717,0.76,0.04,0.2,25
789,0.0,23,0.5366,1.6738,5,0.1553,0.6875,0.125,0.1875,16
789,0.0,24,1.0237,1.7882,4,0.3964,0.6667,0.0,0.3333,18
999,0.0,1,-0.1841,1.1084,5,,0.8679,0.0472,0.0849,106
999,0.0,2,0.6915,1.7642,5,0.2198,0.7468,0.0633,0.1899,79
999,0.0,3,0.3394,1.4486,5,0.1833,0.8,0.1,0.1,30
999,0.0,4,0.7724,1.8521,5,0.2128,0.6923,0.1154,0.1923,26
999,0.0,5,0.7991,1.614,4,0.3461,0.6667,0.1667,0.1667,12
999,0.0,6,-0.0638,0.569,3,0.3672,0.95,0.0,0.05,20
999,0.0,7,0.949,1.6172,4,0.4928,0.6364,0.2727,0.0909,11
999,0.0,8,1.0149,1.7925,4,0.3834,0.6667,0.1667,0.1667,6
999,0.0,9,0.9774,1.9751,5,0.2948,0.6429,0.1429,0.2143,14
999,0.0,10,1.133,1.871,4,0.4229,0.5789,0.0,0.4211,19
999,0.0,11,0.8983,1.6714,5,0.5194,0.7308,0.1538,0.1154,26
999,0.0,12,0.303,1.0141,3,0.2889,0.75,0.1875,0.0625,16
999,0.0,13,0.9396,1.574,4,0.5266,0.7647,0.0,0.2353,17
999,0.0,14,0.0064,0.7654,4,0.402,0.913,0.0435,0.0435,23
999,0.0,15,-0.0882,0.6402,3,0.2716,0.9412,0.0,0.0588,17
999,0.0,16,0.2838,0.9445,3,0.3393,0.7778,0.1667,0.0556,18
999,0.0,17,0.2684,1.2495,5,0.3114,0.8571,0.0476,0.0952,21
999,0.0,18,-0.135,0.3373,2,0.3202,0.9375,0.0625,0.0,16
999,0.0,19,-0.3212,-0.0,1,0.1788,1.0,0.0,0.0,15
999,0.0,21,0.3609,0.7919,2,0.3615,0.7619,0.2381,0.0,21
999,0.0,22,0.9003,1.771,5,0.4218,0.7,0.1,0.2,10
999,0.0,23,-0.0137,-0.0,1,0.4863,1.0,0.0,0.0,11
999,0.0,24,1.0638,1.838,5,0.5183,0.7222,0.1111,0.1667,18
999,0.0,25,0.5005,0.8454,2,0.4476,0.7273,0.2727,0.0,11
1337,0.0,1,0.0909,1.3833,5,,0.8261,0.0348,0.1391,115
1337,0.0,2,-0.0956,0.905,4,0.1603,0.9111,0.0,0.0889,90
1337,0.0,3,0.1337,0.9701,4,0.3246,0.8235,0.1471,0.0294,34
1337,0.0,4,1.1309,1.9595,5,0.4639,0.6667,0.0333,0.3,30
1337,0.0,5,0.0816,-0.0,1,0.5816,1.0,0.0,0.0,13
1337,0.0,6,0.0714,0.9274,4,0.3049,0.8696,0.087,0.0435,23
1337,0.0,7,0.2174,1.2087,4,0.1697,0.8261,0.0435,0.1304,23
1337,0.0,8,-0.1197,-0.0,1,0.3803,1.0,0.0,0.0,11
1337,0.0,10,0.5363,1.2366,4,0.4606,0.8,0.0667,0.1333,15
1337,0.0,11,-0.115,-0.0,1,0.385,1.0,0.0,0.0,13
1337,0.0,12,0.2067,1.0389,4,0.3287,0.8667,0.0667,0.0667,15
1337,0.0,13,1.164,1.5683,3,0.5957,0.6316,0.0,0.3684,19
1337,0.0,14,0.8129,1.3355,4,0.6384,0.7222,0.2222,0.0556,18
1337,0.0,15,0.4448,1.2075,4,0.3982,0.8333,0.0,0.1667,12
1337,0.0,16,0.923,1.7048,4,0.3792,0.7143,0.0476,0.2381,21
1337,0.0,17,1.3491,1.9329,4,0.5771,0.4667,0.2667,0.2667,15
1337,0.0,18,0.5338,1.3784,4,0.3163,0.7059,0.2353,0.0588,17
1337,0.0,19,0.3487,0.8905,2,0.2507,0.6923,0.3077,0.0,13
1337,0.0,20,0.4856,1.2776,4,0.369,0.8182,0.0909,0.0909,22
1337,0.0,21,0.0969,0.7345,3,0.3624,0.9286,0.0,0.0714,14
1337,0.0,22,1.5467,2.1133,5,0.7259,0.4444,0.1111,0.4444,9
1337,0.0,23,0.7674,1.2752,4,0.6532,0.7778,0.1111,0.1111,18
1337,0.0,24,0.1661,0.7732,3,0.3929,0.9231,0.0,0.0769,13
2024,0.0,1,-0.0039,1.2885,5,,0.8182,0.0744,0.1074,121
2024,0.0,2,-0.1416,1.0781,5,0.0727,0.8732,0.0563,0.0704,71
2024,0.0,3,0.2449,1.2332,4,0.1726,0.7778,0.1667,0.0556,18
2024,0.0,4,0.1207,0.6723,2,0.2409,0.8235,0.1765,0.0,17
2024,0.0,5,0.8396,1.7689,5,0.3632,0.6667,0.2222,0.1111,18
2024,0.0,6,0.365,1.2752,4,0.2508,0.7778,0.1111,0.1111,18
2024,0.0,7,-0.0069,0.4855,2,0.3001,0.8947,0.1053,0.0,19
2024,0.0,8,-0.3756,0.3621,2,0.0548,0.931,0.069,0.0,29
2024,0.0,9,1.2008,1.8395,4,0.5223,0.6,0.15,0.25,20
2024,0.0,10,0.6601,1.7056,5,0.247,0.7391,0.1304,0.1304,23
2024,0.0,11,0.4641,1.1033,3,0.3608,0.8667,0.0,0.1333,15
2024,0.0,12,0.1118,0.469,2,0.4353,0.9,0.1,0.0,20
2024,0.0,13,1.202,1.7783,4,0.5846,0.7143,0.0,0.2857,14
2024,0.0,15,0.9846,1.8943,5,0.3828,0.6471,0.1765,0.1765,17
2024,0.0,16,0.3903,1.2772,4,0.2741,0.7647,0.1765,0.0588,17
2024,0.0,17,0.8704,1.7034,4,0.328,0.6471,0.2353,0.1176,17
2024,0.0,18,0.659,1.4047,4,0.4153,0.7222,0.1111,0.1667,18
2024,0.0,19,0.6388,1.6729,4,0.1269,0.6,0.2,0.2,15
2024,0.0,20,0.1187,1.0092,4,0.2705,0.8125,0.1562,0.0312,32
2024,0.0,21,0.44,1.4473,5,0.2852,0.8261,0.0435,0.1304,23
2024,0.0,22,0.7376,1.614,4,0.2846,0.75,0.0833,0.1667,12
2024,0.0,23,-0.0017,-0.0,1,0.4983,1.0,0.0,0.0,7
2024,0.0,25,0.6959,1.4911,4,0.3657,0.7273,0.1818,0.0909,11
7,0.0005,2,0.0687,1.135,5,0.2261,0.8261,0.1014,0.0725,69
7,0.0005,3,0.9063,1.9369,5,0.2619,0.6667,0.1429,0.1905,42
7,0.0005,7,0.6227,0.971,2,0.4442,0.6,0.4,0.0,10
7,0.0005,14,0.9894,1.9477,5,0.3342,0.65,0.15,0.2,20
7,0.0005,15,0.2128,0.5436,2,0.4617,0.875,0.0,0.125,16
7,0.0005,17,0.8767,1.8074,5,0.3618,0.7143,0.1429,0.1429,14
7,0.0005,18,0.0069,-0.0,1,0.5069,1.0,0.0,0.0,14
7,0.0005,19,1.4246,2.1029,5,0.6141,0.6316,0.1053,0.2632,19
7,0.0005,20,0.3411,0.5917,2,0.5419,0.8571,0.1429,0.0,7
7,0.0005,21,0.9911,1.7272,4,0.4248,0.6923,0.1538,0.1538,13
7,0.0005,22,0.1165,1.0389,4,0.2385,0.8667,0.0667,0.0667,15
7,0.0005,23,-0.0566,0.469,2,0.2669,0.9,0.0,0.1,10
7,0.0005,24,1.4705,2.1887,5,0.5743,0.5,0.1667,0.3333,12
7,0.0005,25,0.6644,1.1488,3,0.5156,0.8571,0.0,0.1429,14
42,0.0005,3,-0.0083,1.0389,4,0.1137,0.8667,0.0667,0.0667,30
42,0.0005,4,0.2931,1.1863,4,0.2678,0.8125,0.125,0.0625,16
42,0.0005,5,0.4597,1.4789,4,0.1418,0.75,0.1,0.15,20
42,0.0005,6,0.2092,0.6292,2,0.3724,0.8421,0.1579,0.0,19
42,0.0005,7,0.1839,0.8524,2,0.124,0.7222,0.2778,0.0,18
42,0.0005,8,0.0359,0.5907,3,0.4452,0.9474,0.0,0.0526,19
42,0.0005,10,0.669,1.2244,3,0.4446,0.6667,0.2222,0.1111,9
42,0.0005,11,0.5487,1.4466,4,0.263,0.7778,0.1111,0.1111,9
42,0.0005,12,0.0609,0.5033,2,0.3501,0.8889,0.1111,0.0,9
42,0.0005,13,0.25,0.8659,3,0.3841,0.9091,0.0,0.0909,11
42,0.0005,17,0.472,0.7642,2,0.5003,0.7778,0.2222,0.0,18
42,0.0005,18,0.766,1.668,5,0.3905,0.7368,0.1053,0.1579,19
42,0.0005,24,0.3995,0.6194,2,0.5726,0.8462,0.1538,0.0,13
42,0.0005,25,0.4212,0.9864,3,0.4348,0.8889,0.0,0.1111,9
55,0.0005,3,0.5742,1.658,5,0.2086,0.7667,0.1,0.1333,30
55,0.0005,4,-0.0382,-0.0,1,0.4618,1.0,0.0,0.0,12
55,0.0005,6,0.6564,1.1982,3,0.4582,0.6923,0.1538,0.1538,13
55,0.0005,9,0.7178,1.371,3,0.3468,0.8,0.0,0.2,10
55,0.0005,11,0.7319,1.4288,4,0.4641,0.6316,0.3158,0.0526,19
55,0.0005,12,0.8666,1.8323,4,0.1953,0.5333,0.3333,0.1333,15
55,0.0005,13,0.2883,0.8031,3,0.4852,0.8889,0.0,0.1111,18
55,0.0005,15,0.3156,1.2754,5,0.3327,0.8065,0.129,0.0645,31
55,0.0005,16,0.0737,0.7732,3,0.3005,0.9231,0.0,0.0769,13
55,0.0005,20,0.1283,0.5665,2,0.3543,0.8667,0.1333,0.0,15
55,0.0005,21,-0.2604,0.5033,2,0.0288,0.8889,0.1111,0.0,18
55,0.0005,25,1.1894,1.7925,4,0.5579,0.6667,0.1667,0.1667,12
123,0.0005,1,-0.0835,1.0775,4,,0.8475,0.0678,0.0847,118
123,0.0005,2,0.6699,1.4667,4,0.3641,0.7838,0.0676,0.1486,74
123,0.0005,3,0.7637,1.5284,4,0.3963,0.7083,0.1667,0.125,24
123,0.0005,4,1.0811,2.0182,5,0.3554,0.6842,0.0526,0.2632,19
123,0.0005,5,0.1141,-0.0,1,0.6141,1.0,0.0,0.0,13
123,0.0005,6,0.8293,1.5104,4,0.4799,0.7826,0.0435,0.1739,23
123,0.0005,7,0.0587,0.9934,4,0.2263,0.875,0.0625,0.0625,16
123,0.0005,8,1.1534,1.8323,4,0.4821,0.5333,0.3333,0.1333,15
123,0.0005,9,0.4656,0.8454,2,0.4127,0.7273,0.2727,0.0,11
123,0.0005,10,1.3216,2.0226,5,0.5915,0.6,0.0667,0.3333,15
123,0.0005,13,0.9541,1.6135,4,0.5015,0.6842,0.2105,0.1053,19
123,0.0005,14,0.0015,-0.0,1,0.5015,1.0,0.0,0.0,12
123,0.0005,15,1.106,1.6767,4,0.5902,0.5455,0.3636,0.0909,11
123,0.0005,18,-0.1492,0.7196,4,0.2922,0.92,0.04,0.04,25
123,0.0005,19,-0.0787,0.7476,3,0.1737,0.85,0.1,0.05,20
123,0.0005,20,-0.0452,0.6686,3,0.2862,0.9375,0.0,0.0625,16
123,0.0005,22,0.3799,-0.0,1,0.8799,1.0,0.0,0.0,4
123,0.0005,23,1.1261,1.8776,5,0.541,0.7143,0.0476,0.2381,21
123,0.0005,24,0.4285,1.2332,4,0.3562,0.7778,0.1667,0.0556,18
123,0.0005,25,0.0631,0.5033,2,0.3523,0.8889,0.0,0.1111,9
314,0.0005,1,0.3323,1.6248,5,,0.7476,0.1068,0.1456,103
