N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,999,0.008,0.0005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 24}",0.0112,92.0,1.24,2.52,0.8091,20.5,26.5
200,123,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.48,5,5.0,False,3,4,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 10, ""4"": 12}",0.0387,80.0,0.84,1.96,0.855,22.2,26.6
200,1337,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.8,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 4, ""4"": 20}",0.1637,52.0,0.96,2.16,0.8416,20.8,26.8
200,2024,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.68,5,5.0,False,3,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 5, ""4"": 17}",0.0524,64.0,1.12,2.12,0.8422,21.5,26.4
200,314,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.76,2,2.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 5, ""4"": 19}",0.0652,68.0,1.08,2.28,0.8562,19.4,27.2
200,42,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.88,2,2.0,True,4,4,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 0, ""4"": 22}",0.1418,28.0,1.04,1.92,0.8567,20.5,26.8
200,456,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.68,3,3.0,False,3,4,"{""0"": 0, ""1"": 2, ""2"": 0, ""3"": 6, ""4"": 17}",0.025,84.0,1.16,2.12,0.8246,18.0,26.6
200,55,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.0329,60.0,1.36,2.64,0.7875,22.2,26.7
200,7,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 23}",0.1066,48.0,1.52,2.32,0.8335,21.4,26.2
200,789,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.8,5,5.0,True,4,4,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 4, ""4"": 20}",0.0466,64.0,1.32,2.72,0.809,25.8,26.9
200,999,0.008,0.001,5000,25,hyst_0.01,0.01,4,0.76,5,5.0,True,4,4,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 3, ""4"": 19}",0.0261,64.0,1.52,2.96,0.8607,19.2,26.9
200,123,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.76,5,5.0,True,4,4,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 3, ""4"": 19}",0.0499,68.0,0.96,2.2,0.8115,22.0,26.6
200,1337,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.96,2,2.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 1, ""4"": 24}",0.0631,40.0,1.28,2.04,0.811,21.1,26.2
