seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,38,216,2,0.25567,0.903687,0.000225,2808,-11.3816,11.3816,0.462091
0,38,218,2,0.232754,0.938147,0.000225,2808,-11.4061,11.4061,0.436714
0,38,220,2,0.106774,0.912559,0.000225,2808,-11.7565,11.7565,0.194875
0,38,221,2,0.162548,0.923976,0.000225,2808,-11.5686,11.5686,0.300381
0,39,222,3,0.388089,0.833407,0.000225,2807,-18.5961,18.5961,0.97031
0,40,225,2,0.040156,0.989771,0.000227,2838,-12.1413,12.1413,0.079491
0,40,227,2,0.042548,0.948418,0.000227,2838,-12.1348,12.1348,0.080706
0,40,229,2,0.035779,0.99981,0.000227,2838,-12.1871,12.1871,0.071544
0,40,230,2,0.08859,0.945493,0.000227,2838,-11.8176,11.8176,0.167523
0,40,232,2,0.11303,0.992001,0.000227,2838,-11.6909,11.6909,0.224251
0,41,233,2,0.311671,0.996875,0.000225,2806,-11.2532,11.2532,0.621395
0,41,234,2,0.081061,0.981914,0.000225,2806,-11.8447,11.8447,0.15919
0,41,235,2,0.010148,0.911878,0.000225,2806,-12.7792,12.7792,0.018507
0,41,238,2,0.156925,0.995,0.000225,2806,-11.552,11.552,0.31228
0,41,240,2,0.011123,0.956704,0.000225,2806,-12.7186,12.7186,0.021284
0,42,241,4,0.335024,0.615051,0.000216,2704,-26.4676,26.4676,0.824228
0,42,245,2,0.027284,0.951277,0.000216,2704,-12.3474,12.3474,0.051909
0,42,246,2,0.04801,0.986823,0.000216,2704,-12.0861,12.0861,0.094755
0,42,248,2,0.046076,0.87497,0.000216,2704,-12.1562,12.1562,0.08063
0,42,249,2,0.018315,0.975028,0.000216,2704,-12.5098,12.5098,0.035716
0,42,250,2,0.080746,0.914479,0.000216,2704,-11.8933,11.8933,0.147681
0,43,251,4,0.280923,0.627511,0.000224,2803,-26.6241,26.6241,0.705129
0,43,252,2,0.079209,0.994347,0.000224,2803,-11.8497,11.8497,0.157522
0,43,253,2,0.04205,0.887586,0.000224,2803,-12.174,12.174,0.074645
0,43,254,2,0.195299,0.990963,0.000224,2803,-11.4593,11.4593,0.387069
0,44,257,3,0.459534,0.97343,0.000219,2735,-18.337,18.337,1.341974
0,44,258,5,0.298287,0.687858,0.000219,2735,-33.8057,33.8057,1.025896
0,44,259,2,0.024703,0.999829,0.000219,2735,-12.364,12.364,0.049397
0,44,260,2,0.041337,0.947805,0.000219,2735,-12.1636,12.1636,0.078359
0,44,263,2,0.099155,0.902849,0.000219,2735,-11.8048,11.8048,0.179045
0,45,264,4,0.298972,0.857476,0.000219,2742,-26.1649,26.1649,1.025445
0,45,267,2,0.016467,0.999998,0.000219,2742,-12.539,12.539,0.032935
0,45,270,2,0.032064,0.989034,0.000219,2742,-12.2543,12.2543,0.063425
0,45,271,2,0.146851,0.969651,0.000219,2742,-11.6021,11.6021,0.284789
0,45,272,2,0.0169,0.986586,0.000219,2742,-12.5336,12.5336,0.033347
0,45,273,2,0.141725,0.999824,0.000219,2742,-11.6042,11.6042,0.283399
0,45,274,2,0.137929,0.983246,0.000219,2742,-11.6233,11.6233,0.271236
0,46,276,5,0.372218,0.719689,0.000218,2721,-33.3514,33.3514,1.339406
0,46,277,3,0.338904,0.353131,0.000218,2721,-19.4867,19.4867,0.359032
0,47,278,5,0.285016,0.79031,0.000207,2588,-33.7396,33.7396,1.126256
0,47,279,3,0.228625,0.994466,0.000207,2588,-18.9728,18.9728,0.682078
0,47,280,3,0.431296,0.914592,0.000207,2588,-18.4942,18.4942,1.18338
0,47,281,2,0.019715,0.929901,0.000207,2588,-12.5174,12.5174,0.036666
0,47,284,2,0.026415,0.964288,0.000207,2588,-12.3746,12.3746,0.050943
0,47,287,2,0.07194,0.868699,0.000207,2588,-11.9848,11.9848,0.124988
0,48,289,2,0.046955,0.846404,0.000216,2700,-12.163,12.163,0.079485
0,48,290,2,0.023644,0.934343,0.000216,2700,-12.4181,12.4181,0.044184
0,48,291,2,0.031046,0.575062,0.000216,2700,-12.5106,12.5106,0.035707
0,50,296,2,0.542162,0.293817,0.000208,2601,-11.5763,11.5763,0.318593
0,52,297,4,0.301702,0.475467,0.000211,2642,-26.9697,26.9697,0.573797
0,52,298,4,0.304788,0.928601,0.000211,2642,-26.0843,26.0843,1.132107
0,52,301,2,0.045272,0.997532,0.000211,2642,-12.117,12.117,0.09032
0,52,302,2,0.203659,0.956926,0.000211,2642,-11.4819,11.4819,0.389774
0,52,303,2,0.084555,0.999952,0.000211,2642,-11.8446,11.8446,0.169102
0,52,304,2,0.012602,0.313326,0.000211,2642,-13.1753,13.1753,0.007897
0,53,305,2,0.028193,0.999909,0.000222,2778,-12.2998,12.2998,0.056381
0,53,306,2,0.013012,0.947495,0.000222,2778,-12.659,12.659,0.024658
0,53,310,2,0.172278,0.999306,0.000222,2778,-11.514,11.514,0.344317
0,53,311,2,0.008593,0.99383,0.000222,2778,-12.8185,12.8185,0.01708
0,54,314,2,0.024937,0.992568,0.000209,2615,-12.3826,12.3826,0.049504
0,54,317,2,0.020531,0.865307,0.000209,2615,-12.5266,12.5266,0.035532
0,54,318,2,0.011693,0.399482,0.000209,2615,-13.1068,13.1068,0.009342
0,54,319,2,0.05993,0.948969,0.000209,2615,-12.0213,12.0213,0.113743
0,55,320,2,0.148207,0.939841,0.00021,2623,-11.6309,11.6309,0.278583
0,55,321,2,0.174456,0.936101,0.00021,2623,-11.5618,11.5618,0.326617
0,55,324,2,0.05518,0.962583,0.00021,2623,-12.0496,12.0496,0.106231
0,57,325,5,0.274034,0.374973,0.000211,2633,-35.0731,35.0731,0.513777
0,57,326,4,0.344118,0.751898,0.000211,2633,-26.2057,26.2057,1.034966
0,57,327,2,0.167296,0.801792,0.000211,2633,-11.6456,11.6456,0.268273
0,57,328,2,0.061311,0.965823,0.000211,2633,-12.0008,12.0008,0.118431
0,57,329,2,0.092073,0.802505,0.000211,2633,-11.9046,11.9046,0.147778
0,57,330,2,0.19809,0.894439,0.000211,2633,-11.5248,11.5248,0.354358
0,57,331,2,0.135916,0.998467,0.000211,2633,-11.6406,11.6406,0.271415
0,57,333,2,0.238083,0.999882,0.000211,2633,-11.3965,11.3965,0.47611
0,57,334,2,0.115891,0.821023,0.000211,2633,-11.7948,11.7948,0.190298
0,57,335,2,0.086383,0.764152,0.000211,2633,-11.9536,11.9536,0.13202
0,58,336,4,0.252253,0.698475,0.000217,2717,-26.6654,26.6654,0.704771
0,58,339,2,0.013068,0.898221,0.000217,2717,-12.69,12.69,0.023476
