seed,window,phase,lid,n_core,s_avg,r_core,b_gen,phase_sig,links_total
0,66,tracking,413,2,0.675287,0.89766,1.212356,-2.754716,2497
0,67,tracking,418,3,0.342835,0.942771,0.969645,-1.796974,2575
0,67,tracking,419,2,0.020635,0.99328,0.040993,0.564313,2575
0,67,tracking,420,2,0.011417,0.91787,0.020959,1.09337,2575
0,67,tracking,423,2,0.123527,0.965395,0.238506,-1.620037,2575
0,68,tracking,424,4,0.402743,0.901774,1.452731,-0.502406,2431
0,68,tracking,425,5,0.352114,0.73358,1.291517,-0.36941,2431
0,68,tracking,426,2,0.516614,0.998307,1.031478,-1.163818,2431
0,68,tracking,427,2,0.647803,0.989922,1.282549,-0.768155,2431
0,68,tracking,429,2,0.324957,0.993887,0.645942,-0.843719,2431
0,68,tracking,431,2,0.120161,0.763039,0.183376,3.102133,2431
0,68,tracking,432,2,0.384451,0.962588,0.740137,-2.190337,2431
0,68,tracking,434,2,0.094959,0.991747,0.188351,-1.085057,2431
1,0,maturation,0,4,0.388278,0.654689,1.016806,-0.92791,3119
1,0,maturation,1,4,0.467544,0.929655,1.738617,2.261036,3119
1,0,maturation,2,2,0.189752,0.329637,0.125099,1.571667,3119
1,0,maturation,4,2,0.044128,0.999276,0.088192,1.465061,3119
1,0,maturation,6,2,0.032897,0.691042,0.045466,-1.275921,3119
1,0,maturation,8,2,0.064873,0.762285,0.098904,-2.986444,3119
1,0,maturation,10,2,0.014493,0.761821,0.022083,-2.063338,3119
1,0,maturation,11,2,0.166241,0.995789,0.331081,0.168491,3119
1,0,maturation,12,2,0.06235,0.995645,0.124156,1.600386,3119
1,0,maturation,13,2,0.446221,0.939584,0.838524,-0.076802,3119
1,0,maturation,14,2,0.012492,0.396354,0.009902,2.29009,3119
1,1,maturation,17,2,0.038407,0.665873,0.051148,2.350862,3015
1,1,maturation,18,2,0.049274,0.811041,0.079926,0.833992,3015
1,1,maturation,15,2,0.037281,0.91289,0.068066,-0.234967,3015
1,2,maturation,19,4,0.371829,0.986238,1.466847,-2.714394,3077
1,2,maturation,20,2,0.036618,0.881163,0.064533,-3.031489,3077
1,2,maturation,22,2,0.024708,0.984381,0.048644,2.571184,3077
1,5,maturation,27,2,0.013653,0.98462,0.026886,-2.405652,3081
1,5,maturation,29,2,0.018256,0.849526,0.031017,1.136544,3081
1,5,maturation,30,2,0.095033,0.979062,0.186085,-1.356435,3081
1,5,maturation,23,4,0.354651,0.967248,1.372143,-1.196699,3081
1,6,maturation,32,5,0.335027,0.806456,1.35092,2.498985,3018
1,7,maturation,34,2,0.007911,0.996199,0.015762,-1.603584,3044
1,7,maturation,36,2,0.223757,0.945689,0.423209,1.38273,3044
1,7,maturation,38,2,0.013922,0.986726,0.027475,-2.635915,3044
1,7,maturation,41,2,0.109344,0.967517,0.211584,-1.486125,3044
1,7,maturation,42,2,0.06928,0.998639,0.138371,1.772805,3044
1,7,maturation,43,2,0.015777,0.960242,0.0303,-1.219354,3044
1,7,maturation,44,2,0.097024,0.942025,0.182797,1.113574,3044
1,7,maturation,45,2,0.148596,0.967634,0.287573,1.202751,3044
1,8,maturation,48,2,0.019436,0.979236,0.038065,0.331099,3000
1,8,maturation,47,2,0.027985,0.999546,0.055944,-2.129001,3000
1,10,maturation,54,2,0.021333,0.999916,0.042662,2.532415,2917
1,10,maturation,55,2,0.162648,0.999756,0.325216,-2.23511,2917
1,10,maturation,57,2,0.273434,0.938528,0.51325,-2.617925,2917
1,10,maturation,58,2,0.046505,0.982371,0.09137,2.32697,2917
1,10,maturation,59,2,0.085555,0.951307,0.162778,-1.089135,2917
1,10,maturation,60,2,0.044128,0.991973,0.087547,0.571797,2917
1,10,maturation,61,2,0.119408,0.997935,0.238323,0.634086,2917
1,11,maturation,67,2,0.863288,0.999718,1.726089,-2.699436,2960
1,11,maturation,69,2,0.030534,0.786804,0.048048,-2.134759,2960
1,11,maturation,62,2,0.019648,0.999931,0.039292,0.876057,2960
1,11,maturation,63,2,0.056651,0.999921,0.113293,0.876388,2960
1,12,maturation,73,2,0.036632,0.873799,0.064017,2.782873,2936
1,12,maturation,70,2,0.02108,0.999574,0.042143,2.29615,2936
1,12,maturation,71,2,0.026834,0.999961,0.053667,2.562676,2936
1,13,maturation,74,3,0.445779,0.96042,1.284407,-0.191511,3018
1,13,maturation,75,3,0.468088,0.838779,1.177867,-3.063656,3018
1,13,maturation,77,2,0.616015,0.90643,1.116749,2.307596,3018
1,13,maturation,78,2,0.041955,0.979004,0.082148,-0.956229,3018
1,13,maturation,79,2,0.080543,0.864479,0.139256,-0.629664,3018
1,13,maturation,80,2,0.061674,0.860762,0.106173,-2.637258,3018
1,14,maturation,84,3,0.498991,0.964323,1.443567,2.155857,3038
1,14,maturation,85,2,0.533012,0.905846,0.965653,0.482818,3038
1,14,maturation,87,2,0.112893,0.999968,0.225778,-2.414782,3038
1,14,maturation,88,2,0.172956,0.97296,0.336559,-2.204138,3038
1,14,maturation,89,2,0.141967,0.816903,0.231947,-3.04708,3038
1,14,maturation,90,2,0.020529,0.744782,0.030579,-1.216811,3038
1,15,maturation,92,5,0.286937,0.924785,1.326775,0.699434,3103
1,15,maturation,93,5,0.284731,0.540676,0.769734,2.471715,3103
1,16,maturation,98,2,0.108276,0.34825,0.075414,0.614332,2979
1,16,maturation,99,2,0.088119,0.996032,0.175539,0.590884,2979
1,16,maturation,100,2,0.071086,0.993347,0.141226,1.198146,2979
1,16,maturation,95,2,0.033078,0.993656,0.065736,1.963744,2979
1,17,maturation,104,2,0.095887,0.99223,0.190283,-1.634153,3075
1,17,maturation,105,2,0.074846,0.999243,0.149579,-1.558921,3075
1,17,maturation,102,2,0.117345,0.986125,0.231433,-1.429743,3075
1,17,maturation,103,2,0.158623,0.919199,0.291613,-2.178087,3075
1,18,maturation,106,5,0.385425,0.713544,1.375086,2.185839,2815
1,18,maturation,107,4,0.473398,0.917618,1.737593,1.660035,2815
1,18,maturation,108,2,0.017411,0.976102,0.03399,0.10213,2815
1,18,maturation,109,2,0.03046,0.985306,0.060026,-0.512587,2815
1,18,maturation,110,2,0.106272,0.993044,0.211066,-0.456516,2815
1,18,maturation,111,2,0.031773,0.97322,0.061845,-0.808162,2815
1,18,maturation,114,2,0.010439,0.195824,0.004088,-1.510773,2815
1,18,maturation,115,2,0.04552,0.959003,0.087308,-1.334987,2815
1,19,maturation,116,5,0.377919,0.277011,0.523439,-1.649234,2878
1,19,maturation,118,2,0.007003,0.998588,0.013985,1.517006,2878
1,19,maturation,119,2,0.019755,0.84339,0.033322,0.888552,2878
1,20,tracking,128,2,0.153591,0.999582,0.307053,-1.531483,2907
1,20,tracking,130,2,0.081865,0.994754,0.162871,1.204213,2907
1,20,tracking,131,2,0.055112,0.981994,0.10824,2.175663,2907
1,20,tracking,132,2,0.223913,0.987297,0.442137,2.536054,2907
1,20,tracking,133,2,0.144975,0.997438,0.289208,1.171439,2907
1,20,tracking,134,2,0.183224,0.980915,0.359455,-1.709518,2907
1,20,tracking,135,2,0.047917,0.983102,0.094215,-1.123533,2907
1,20,tracking,136,2,0.137178,0.985206,0.270297,-1.133944,2907
1,20,tracking,137,2,0.27407,0.642487,0.352173,-2.442452,2907
1,20,tracking,120,5,0.232177,0.998308,1.158923,2.324762,2907
1,20,tracking,122,2,0.516183,0.931841,0.962001,-1.912206,2907
1,20,tracking,123,2,0.035649,0.992645,0.070773,1.367662,2907
1,20,tracking,125,2,0.062636,0.957707,0.119973,1.783438,2907
1,20,tracking,126,2,0.048686,0.89469,0.087118,2.44073,2907
1,20,tracking,127,2,0.198957,0.848912,0.337794,-2.809861,2907
1,22,tracking,138,3,0.472915,0.618068,0.87688,-1.472369,2922
1,22,tracking,139,2,0.488852,0.969174,0.947566,-3.068493,2922
1,22,tracking,141,2,0.067618,0.998845,0.135079,-2.89466,2922
1,23,tracking,142,4,0.419955,0.764261,1.283822,-0.636634,2779
1,23,tracking,143,2,0.025355,0.999562,0.050687,-2.885707,2779
1,23,tracking,144,2,0.020096,0.937117,0.037664,-2.60723,2779
1,23,tracking,145,2,0.018503,0.62829,0.023251,-0.144116,2779
1,23,tracking,147,2,0.032099,0.884041,0.056754,2.873737,2779
1,23,tracking,149,2,0.017125,0.825388,0.02827,-1.642795,2779
1,24,tracking,153,2,0.011992,0.979613,0.023496,-1.285976,2970
1,24,tracking,155,2,0.023529,0.986588,0.046426,1.180082,2970
1,24,tracking,151,3,0.434945,0.082491,0.107637,-2.433576,2970
1,27,tracking,160,2,0.028158,0.90365,0.050891,-0.908753,2779
1,27,tracking,162,2,0.167107,0.953221,0.318581,-2.004471,2779
1,27,tracking,156,5,0.421821,0.573932,1.210482,-0.984329,2779
1,27,tracking,157,4,0.355095,0.184015,0.261371,-0.446918,2779
1,27,tracking,159,2,0.139872,0.391979,0.109654,-1.091706,2779
