seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
4,99,5,34.5442,119,7449,34,0.649071,1.662791,0.411699,0.213878,0.307915,0.153596,1,148,0.039665,0.064647,-0.345104
4,99,5,34.5442,120,7499,34,0.369891,0.55814,0.407851,0.222642,0.29093,0.328591,1,53,0.043514,0.055883,-0.398465
4,99,5,34.5442,121,7549,35,0.285899,0.302326,0.421728,0.029843,0.3897,0.413065,0,31,0.029637,0.308368,-0.088171
4,99,5,34.5442,122,7599,35,0.739712,1.523256,0.425135,0.227567,0.782891,0.119991,0,136,0.02623,0.050958,2.511213
4,99,5,34.5442,123,7649,35,0.314447,0.511628,0.421188,0.141208,0.183765,0.38216,0,49,0.030177,0.137317,-1.889765
4,99,5,34.5442,124,7699,35,0.394781,0.511628,0.425462,0.036105,0.605929,0.30705,0,49,0.025902,0.314629,3.067155
4,99,5,34.5442,125,7749,35,0.363245,0.44186,0.424238,0.016094,0.570789,0.334593,1,43,0.027127,0.294619,0.48074
4,99,5,34.5442,126,7799,35,0.304893,0.523256,0.430089,0.034253,0.231974,0.392237,0,50,0.021275,0.244272,-2.041217
4,99,5,34.5442,127,7849,35,0.590791,0.906977,0.422345,0.1875,0.84634,0.180022,0,83,0.029019,0.091024,1.346407
4,99,5,34.5442,128,7899,35,0.342937,0.604651,0.418532,0.163795,0.18477,0.353624,0,57,0.032833,0.11473,-0.731976
4,99,5,34.5442,129,7949,35,0.410236,0.767442,0.427593,0.238079,0.207829,0.294392,1,71,0.023772,0.040446,-0.659533
4,99,5,34.5442,130,7999,35,0.486131,0.5,0.426173,0.112962,0.905388,0.239409,1,48,0.025192,0.165563,2.126376
4,99,5,34.5442,131,8049,36,0.35038,0.360465,0.427047,0.144742,0.469265,0.346527,0,36,0.024318,0.423266,-2.786687
4,99,5,34.5442,132,8099,36,0.525721,0.906977,0.425597,0.230425,0.539884,0.214934,1,83,0.025768,0.0481,-3.008544
4,99,5,34.5442,133,8149,36,0.260588,0.453488,0.427915,0.02479,0.136157,0.44255,0,44,0.023449,0.253735,-1.740198
4,99,5,34.5442,134,8199,36,0.352845,0.593023,0.419085,0.256097,0.143175,0.344207,1,56,0.03228,0.022427,-0.86265
4,99,5,34.5442,135,8249,36,0.462519,0.430233,0.43016,0.141977,0.847708,0.255314,0,42,0.021205,0.136548,2.307585
4,99,5,34.5442,136,8299,36,0.300078,0.395349,0.420536,0.141031,0.243395,0.397416,0,39,0.030828,0.137494,-2.077095
4,99,5,34.5442,137,8349,36,0.388655,0.069767,0.424019,0.336325,0.724509,0.312217,0,11,0.027345,0.61485,2.694624
4,99,5,34.5442,138,8399,36,0.389756,0.488372,0.423835,0.251116,0.395702,0.311282,0,47,0.02753,0.027409,-0.069315
4,99,5,34.5442,139,8449,36,0.226122,0.348837,0.428104,0.088326,0.03922,0.486112,1,35,0.02326,0.366851,-1.189234
4,99,5,34.5442,140,8499,36,0.408745,0.813953,0.424092,0.038451,0.358485,0.29559,1,75,0.027273,0.240074,-2.438661
4,99,5,34.5442,141,8549,37,0.305312,0.651163,0.425664,0.140567,0.003855,0.391789,0,61,0.025701,0.137958,-1.300336
4,99,5,34.5442,142,8599,37,0.57269,0.953488,0.42191,0.109247,0.806115,0.189121,0,87,0.029455,0.169278,1.220037
4,99,5,34.5442,143,8649,37,0.328927,0.325581,0.421697,0.066825,0.501603,0.367381,0,33,0.029668,0.34535,0.263384
4,99,5,34.5442,144,8699,37,0.277503,0.453488,0.383745,0.034921,0.23786,0.422621,1,44,0.06762,0.313445,-2.059707
4,99,5,34.5442,145,8749,37,0.40852,0.395349,0.422525,0.013626,0.802579,0.295771,0,39,0.02884,0.292151,1.208929
4,99,5,34.5442,146,8799,37,0.301108,0.511628,0.426888,0.045324,0.220593,0.396302,0,49,0.024477,0.233201,-0.619434
4,99,5,34.5442,147,8849,37,0.305884,0.383721,0.422872,0.102359,0.314582,0.39118,1,38,0.028492,0.176166,-0.324159
4,99,5,34.5442,148,8899,37,0.524899,0.662791,0.424019,0.091131,0.921655,0.215416,0,62,0.027346,0.187394,1.583018
4,99,5,34.5442,149,8949,37,0.407581,0.813953,0.425632,0.163975,0.226765,0.296528,0,75,0.025733,0.114549,-2.024852
4,99,5,34.5442,150,8999,37,0.548447,0.930233,0.422602,0.206775,0.634177,0.202032,0,85,0.028763,0.07175,2.978412
4,99,5,34.5442,151,9049,38,0.399297,0.662791,0.426489,0.022682,0.485226,0.303296,1,62,0.024876,0.301207,0.211933
4,99,5,34.5442,152,9099,38,0.53306,0.686047,0.42254,0.151722,0.871931,0.21068,1,64,0.028825,0.126803,2.231485
4,99,5,34.5442,153,9149,38,0.438007,0.77907,0.423791,0.183075,0.366091,0.272943,1,72,0.027574,0.09545,-0.162339
4,99,5,34.5442,154,9199,38,0.3715,0.906977,0.424857,0.109763,0.044402,0.327153,0,83,0.026507,0.168762,-1.451943
4,99,5,34.5442,155,9249,38,0.268342,0.44186,0.392005,0.061162,0.178342,0.4333,1,43,0.059359,0.217363,-1.872725
4,99,5,34.5442,156,9299,38,0.607068,1.034884,0.425086,0.098431,0.869871,0.172215,0,94,0.026278,0.180094,1.420331
4,99,5,34.5442,157,9349,38,0.348667,0.383721,0.417959,0.263133,0.329853,0.348148,1,38,0.033405,0.015391,-0.276184
4,99,5,34.5442,158,9399,38,0.435722,0.476744,0.426194,0.186116,0.653834,0.274647,0,46,0.02517,0.092409,0.741631
