window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
115,4908,3034,0,0,1,1.9341,2,12.7,3031,0,4.48,1.0024,3026.7,3,1.0,51,0,2,1036,0.001315,0.0374,9.7087,114,49.3,0.0219,0.0076,0,0,0,0,0.071651,0.015625,40,0.7819,4.7964,0.4352,0,0,0
116,4907,2994,2,4,1,1.9252,1,12.9,5,2986,4.43,0.9902,3023.6,8,1.0,55,5,1,1049,0.001353,0.0387,26.4901,115,46.6,0.0197,0.0084,0,0,0,0,0.090323,0.015625,38,0.827,4.819,0.4347,0,0,0
117,4907,3076,0,0,1,1.9153,1,12.1,3076,0,4.48,1.0157,3028.6,0,1.0,55,0,0,1049,0.001239,0.0407,0.0,116,47.6,0.0201,0.008,0,0,0,0,0.061017,0.015625,38,0.7439,4.8394,0.4339,0,0,0
118,4907,2955,2,5,3,1.944,1,12.1,0,2945,4.44,0.978,3021.6,10,1.0,55,5,5,1083,0.001297,0.0392,34.2466,117,48.4,0.0197,0.0084,1,0,0,0,0.052288,0.015625,40,0.7012,4.8655,0.4334,0,0,0
119,4905,2944,0,0,3,1.9242,1,12.2,0,2934,4.43,0.9767,3014.2,10,1.0,54,0,1,1071,0.001281,0.0404,31.8471,118,50.3,0.0212,0.0084,0,0,0,0,0.071429,0.015625,39,0.7812,4.8779,0.4324,0,0,0
120,4904,3065,1,5,3,1.9561,1,12.2,3050,0,4.47,1.0152,3019.0,15,1.0,55,1,0,1083,0.001317,0.0448,53.0035,119,50.3,0.0191,0.0088,1,0,0,0,0.075862,0.015625,40,0.794,4.8917,0.4318,0,0,0
121,4904,2988,1,5,3,1.9855,1,12.2,5,2974,4.49,0.9907,3016.1,14,1.0,53,1,3,1085,0.001198,0.0329,46.9799,120,52.9,0.0204,0.0084,1,0,0,0,0.059211,0.015625,39,0.7361,4.9082,0.4312,0,0,0
122,4903,3064,1,5,3,1.9926,2,12.2,3059,0,4.52,1.0144,3020.6,5,1.0,52,1,2,1062,0.001285,0.0447,16.3934,121,54.7,0.0199,0.0092,1,1,0,0,0.086262,0.015625,38,0.8189,4.9369,0.4306,0,0,0
123,4902,2990,0,0,3,1.9803,2,12.4,5,2985,4.45,0.9908,3017.7,5,1.0,52,0,0,1042,0.001275,0.0408,16.2866,122,55.7,0.0207,0.0081,0,0,0,0,0.068966,0.015625,37,0.7734,4.9683,0.4302,0,0,0
124,4901,2951,0,0,3,1.9726,1,12.4,0,2951,4.37,0.98,3011.4,0,1.0,51,0,1,1024,0.001174,0.0411,0.0,123,57.6,0.0208,0.0076,0,0,0,0,0.066456,0.015625,36,0.7649,4.9999,0.4299,0,0,0
125,4900,3003,0,0,3,1.9708,1,12.8,0,3003,4.43,0.9975,3010.6,0,1.0,51,0,0,1024,0.001,0.0441,0.0,124,58.6,0.0215,0.009,0,0,0,0,0.080882,0.015625,36,0.8068,5.0109,0.4299,0,0,0
126,4899,2995,0,0,3,1.9788,1,12.8,0,2995,4.41,0.9953,3009.1,0,1.0,50,0,1,1024,0.000982,0.0421,0.0,125,60.6,0.0215,0.0087,0,1,0,0,0.080702,0.015625,36,0.8064,5.0215,0.43,0,0,0
127,4896,2968,1,5,3,1.9649,1,13.0,0,2963,4.36,0.9876,3005.2,5,1.0,51,1,0,1021,0.001241,0.0686,18.5874,126,60.4,0.0219,0.0114,1,0,0,0,0.075812,0.015625,36,0.7939,5.0431,0.4295,0,0,0
128,4896,3088,1,4,3,1.9803,1,14.2,3088,0,4.53,1.0261,3013.4,4,1.0,51,1,1,1017,0.00107,0.0379,14.0351,127,60.2,0.0201,0.0065,0,1,0,0,0.062069,0.015625,36,0.7483,5.0604,0.4293,0,0,0
129,4895,3129,0,0,3,1.9737,2,12.5,3183,0,4.68,1.0533,3030.5,9,1.0,54,5,2,1035,0.001109,0.0364,30.9278,128,57.8,0.0198,0.0076,0,0,0,0,0.066225,0.015625,38,0.7641,5.0802,0.4291,0,0,0
130,4895,3005,1,5,3,1.9709,1,12.4,0,2996,4.46,0.9924,3028.0,9,1.0,54,1,1,1048,0.001221,0.0453,32.491,129,58.8,0.0199,0.0093,1,0,0,0,0.066202,0.015625,39,0.764,5.0837,0.4284,0,0,0
131,4895,3036,3,5,1,1.9685,1,12.9,3021,0,4.41,1.0024,3028.8,15,1.0,57,3,0,1090,0.001364,0.0389,46.0123,130,56.6,0.0188,0.0073,2,0,0,0,0.107784,0.015625,40,0.855,5.1017,0.428,0,0,0
132,4894,2951,0,0,3,1.9839,2,13.3,1,2950,4.47,0.9767,3021.4,1,1.0,55,1,3,1099,0.00126,0.0409,0.0,131,59.6,0.019,0.0091,0,0,0,0,0.062893,0.015625,40,0.7516,5.108,0.4273,0,0,0
133,4893,3021,4,5,3,1.9758,1,14.8,13,3003,4.51,0.9999,3021.3,18,1.0,63,12,4,1168,0.001322,0.0417,49.2754,132,52.7,0.0174,0.0077,1,1,0,0,0.086111,0.015625,41,0.8185,5.1413,0.4267,0,0,0
