window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
104,4826,3043,0,0,3,1.9351,1,15.0,0,3039,4.5,0.99,3073.8,4,1.0,59,4,2,1141,0.001701,0.0346,13.0719,103,56.8,0.0178,0.0073,0,0,0,0,0.084906,0.015625,40,0.816,6.0448,0.4333,20,3,36,786,1211,484,0.0005,0.9995,586.7,4.0,0.0526,0.003145,0.007832,0.4015,1.2992,0
105,4825,3097,0,0,3,1.9633,1,14.9,3109,0,4.61,1.0118,3077.6,5,1.0,62,5,2,1157,0.001274,0.0299,15.4321,104,55.0,0.0163,0.0061,0,0,0,0,0.059701,0.015625,41,0.7383,6.1045,0.4336,20,4,38,831,1193,502,0.0011,0.9989,587.7,3.9,0.0519,0.0,0.007086,0.0,1.5,0
106,4825,3044,1,5,3,1.9585,1,15.0,8,3031,4.56,0.9901,3074.4,13,1.0,63,4,3,1195,0.001457,0.0342,38.9222,105,54.9,0.018,0.0071,1,2,0,0,0.082621,0.015625,44,0.8109,6.1871,0.4339,21,4,38,787,1182,504,0.0009,0.9991,577.6,3.9,0.0514,0.005698,0.006954,0.8194,1.0903,0
107,4824,3099,0,0,3,1.9543,1,14.9,3106,0,4.71,1.0108,3077.9,5,1.0,60,0,3,1147,0.001139,0.0364,14.6199,106,58.0,0.0187,0.0083,0,2,0,0,0.064426,0.015625,43,0.7575,6.246,0.4338,20,3,37,789,1211,533,0.0004,0.9996,589.0,3.9,0.0515,0.005602,0.006825,0.8208,1.0896,0
108,4823,3037,1,5,3,1.9395,1,15.0,0,3032,4.58,0.988,3074.0,5,1.0,58,1,3,1134,0.001097,0.0346,14.881,107,60.8,0.0186,0.0071,1,0,0,0,0.07781,0.015625,44,0.7992,6.3238,0.4337,20,2,36,779,1225,466,0.0014,0.9986,633.4,3.9,0.0522,0.011527,0.007273,1.5849,0.7075,0
109,4822,3022,1,5,1,1.969,1,15.0,5,3012,4.44,0.9847,3069.0,10,1.0,59,1,0,1130,0.000689,0.0348,29.4985,108,60.8,0.0186,0.0077,1,0,0,0,0.086957,0.015625,42,0.8203,6.4107,0.434,20,2,37,775,1201,495,0.0008,0.9992,613.5,4.0,0.0521,0,0.00658,0.0,1.5,0
110,4821,2988,2,5,1,1.971,2,15.0,0,2973,4.45,0.9761,3061.3,15,1.0,61,5,3,1167,0.001662,0.03,36.2694,109,59.8,0.0177,0.0059,1,0,0,0,0.06,0.015625,42,0.7396,6.4682,0.4338,20,3,38,797,1189,470,0.0009,0.9991,616.6,3.8,0.0519,0.015,0.007382,2.0319,0.5,0
111,4821,3006,1,3,1,1.7798,2,15.0,0,2997,4.57,0.9836,3056.0,9,1.0,63,3,1,1184,0.00048,0.0317,24.024,110,58.7,0.0181,0.0074,0,0,0,0,0.072046,0.015625,43,0.7831,6.5403,0.4334,21,3,39,811,1195,489,0.0014,0.9986,641.4,3.8,0.052,0.002882,0.006954,0.4144,1.2928,0
112,4819,3095,1,5,1,1.7861,2,15.0,3134,0,4.69,1.0269,3064.7,13,1.0,62,4,5,1208,0.001351,0.0318,25.3241,111,60.6,0.0179,0.0073,1,0,0,0,0.082228,0.015625,43,0.81,6.6225,0.4329,20,3,39,820,1217,462,0.0011,0.9989,700.6,3.7,0.0517,0.013263,0.007555,1.7556,0.6222,0
113,4815,3026,0,0,3,1.8671,2,14.9,4,3022,4.57,0.9886,3061.0,4,1.0,62,0,0,1182,0.000632,0.0302,11.3314,112,61.6,0.0172,0.0064,0,0,0,0,0.057692,0.015625,43,0.7292,6.672,0.4324,20,3,39,734,1262,485,0.0007,0.9993,680.3,4.0,0.0517,0,0.006835,0.0,1.5,0
