window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
66,4912,3031,1,5,3,1.9716,1,40.8,0,3022,4.45,0.9948,3046.7,9,1.0,12,1,1,239,0.02178,0.1447,123.2877,30,7.8,0.0877,0.0326,1,0,0,0
67,4910,3008,0,0,3,1.9591,2,39.4,0,3003,4.55,0.9885,3043.0,5,1.0,7,0,5,216,0.02309,0.1833,92.5926,31,11.4,0.1361,0.0422,0,0,0,0
68,4907,3096,0,0,3,1.9457,1,41.4,3082,0,4.51,1.0157,3048.1,14,1.0,14,10,3,230,0.02045,0.1719,203.3898,32,6.2,0.1016,0.0441,0,0,0,0
69,4903,3047,1,3,3,1.9518,1,40.0,4,3040,4.51,0.9997,3048.0,7,1.0,14,2,2,235,0.021554,0.1282,80.0,33,7.1,0.0919,0.0269,0,0,0,0
70,4902,3069,0,0,3,1.9652,1,40.5,3065,0,4.51,1.0062,3050.0,4,1.0,10,0,4,225,0.022435,0.1613,76.9231,34,10.6,0.1075,0.0422,0,0,0,0
71,4899,3030,1,4,3,1.9725,1,40.8,8,3022,4.51,0.9941,3048.1,8,1.0,9,1,2,205,0.026115,0.1667,106.0606,35,12.0,0.1028,0.0359,0,1,0,0
72,4898,2917,3,5,3,1.9975,1,40.5,8,2899,4.36,0.9609,3035.6,18,1.0,9,5,5,239,0.020501,0.1867,260.8696,36,9.8,0.1111,0.0391,2,1,0,0
73,4895,3041,0,0,3,1.9926,2,40.9,3033,0,4.55,1.0016,3036.1,8,1.0,8,0,1,182,0.029649,0.1846,129.0323,37,12.0,0.1333,0.0427,0,0,0,0
74,4894,3061,1,5,3,1.966,1,40.6,3056,0,4.48,1.0074,3038.5,5,1.0,8,1,1,202,0.029078,0.1944,70.4225,38,12.6,0.131,0.0389,1,0,0,0
75,4890,3045,1,5,3,1.9742,1,41.6,3035,0,4.54,1.0019,3039.1,10,1.0,8,1,1,208,0.027637,0.2167,175.4386,27,8.8,0.1262,0.0467,1,1,0,0
76,4885,3052,0,0,3,1.9841,2,40.6,3047,0,4.41,1.0038,3040.3,5,1.0,8,0,0,184,0.02621,0.1746,80.6452,28,9.8,0.1247,0.035,0,0,0,0
77,4883,2961,0,0,3,1.9574,1,40.4,0,2956,4.35,0.9763,3032.8,5,1.0,7,0,1,184,0.029647,0.2745,100.0,29,11.6,0.1401,0.0714,0,0,0,0
78,4883,2970,0,0,3,1.8956,1,41.3,0,2967,4.44,0.9812,3026.8,3,1.0,9,3,1,195,0.027407,0.18,61.2245,30,9.8,0.1171,0.0423,0,0,0,0
79,4882,2988,2,5,3,1.8973,1,40.3,5,2978,4.42,0.9884,3023.1,10,1.0,11,4,2,238,0.020589,0.1667,144.9275,31,7.5,0.1012,0.0403,1,1,0,0
80,4882,3025,0,0,3,1.9146,1,41.4,3015,0,4.52,1.0006,3023.3,10,1.0,9,0,2,214,0.023306,0.1714,156.25,32,10.1,0.102,0.0312,0,0,0,0
81,4881,3029,0,0,3,1.9463,1,40.3,3024,0,4.51,1.0017,3023.8,5,1.0,9,0,0,200,0.0285,0.2206,73.5294,33,11.1,0.0966,0.0528,0,0,0,0
82,4878,2986,0,0,3,1.9431,1,41.1,4,2982,4.47,0.9887,3020.2,4,1.0,6,0,3,200,0.028584,0.25,81.6327,34,14.2,0.1643,0.0748,0,2,0,0
83,4875,2908,2,5,1,1.9419,1,40.3,3,2900,4.32,0.9663,3009.5,8,1.0,8,2,0,182,0.030037,0.1754,140.3509,35,11.4,0.117,0.0309,1,0,0,0
84,4875,3003,1,5,1,1.9056,1,40.4,0,2998,4.45,0.998,3008.9,5,1.0,8,1,1,206,0.026867,0.1714,74.6269,36,8.4,0.1238,0.0285,1,1,0,0
85,4873,3052,1,5,1,1.8424,2,40.8,3045,0,4.51,1.0129,3013.0,7,1.0,8,3,3,228,0.021984,0.2027,88.2353,37,8.9,0.1171,0.0514,1,1,0,0
86,4873,2968,0,0,1,1.9328,2,40.6,0,2968,4.39,0.9865,3008.7,0,1.0,6,0,2,175,0.03137,0.2308,0.0,38,11.8,0.1496,0.0522,0,0,0,0
87,4872,2962,1,4,1,1.8262,1,41.0,7,2955,4.4,0.9859,3004.3,7,1.0,9,5,2,182,0.028102,0.1739,159.0909,39,8.6,0.1123,0.026,0,0,0,0
88,4871,2969,1,5,1,1.9035,1,40.4,4,2960,4.42,0.9894,3000.9,9,1.0,10,1,0,204,0.027072,0.14,187.5,40,8.6,0.0943,0.0335,1,0,0,0
89,4871,3020,1,4,1,1.8956,2,41.4,3006,0,4.41,1.0058,3002.7,14,1.0,11,3,2,228,0.020391,0.1918,218.75,15,4.5,0.1151,0.0383,0,2,0,0
90,4870,3041,0,0,1,1.8911,2,39.7,3025,0,4.47,1.0115,3006.4,16,1.0,10,2,3,195,0.025011,0.1549,250.0,16,4.5,0.1303,0.038,0,1,0,0
