window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
23,57,12,4,149,4,0.2819,0.9241,0.04,social,0.9803,1.0
23,76,8,4,152,0,0.2105,0.9253,0.04,isolated,1.0,1.0
23,83,7,3,66,1,0.3182,0.8305,0.02,neutral,1.0,0.0
23,87,6,5,283,6,0.3251,0.8475,0.08,social|wide,1.0,0.75
23,101,5,2,25,1,0.48,0.8821,0.02,local,1.0,1.0
23,112,3,5,285,1,0.2561,0.9845,0.04,wide,0.9965,0.0
23,114,2,5,253,6,0.2727,0.9204,0.09,social|wide,1.0,1.0
23,118,1,3,67,1,0.1791,0.8079,0.04,alien,1.0,1.0
23,121,1,2,25,0,0.2,0.7007,0.03,isolated|local,1.0,1.0
23,126,0,5,286,4,0.2552,0.9653,0.07,social|wide,1.0,0.4
23,129,0,2,26,0,0.3846,0.7586,0.02,isolated|local,1.0,1.0
23,131,-1,2,26,0,0.4615,0.7099,0.03,isolated|local,,
23,132,-1,2,25,0,0.32,0.9036,0.02,isolated|local,,
23,134,-1,2,24,0,0.4167,0.6936,0.05,isolated|local,,
23,135,-1,2,24,0,0.4583,0.7047,0.02,isolated|local,,
23,136,-1,2,23,0,0.2174,0.7776,0.04,isolated|local,,
24,3,20,5,244,4,0.2541,0.8978,0.083333,social|wide,0.9683,0.75
24,5,20,4,153,2,0.451,0.9237,0.037037,neutral,1.0,1.0
24,16,19,5,260,4,0.2769,0.9573,0.046296,social|wide,1.0,0.8
24,33,16,4,147,2,0.2177,0.8754,0.046296,neutral,0.98,0.5
24,48,14,3,68,1,0.3971,0.8357,0.009259,neutral,0.9444,1.0
24,57,13,4,147,6,0.2041,0.9247,0.046296,social,0.9866,0.6667
24,76,9,4,152,0,0.2566,0.8955,0.074074,isolated,1.0,1.0
24,83,8,3,66,1,0.303,0.8872,0.037037,neutral,1.0,1.0
24,87,7,5,281,8,0.2883,0.9257,0.055556,social|wide,0.9929,0.75
24,101,6,2,23,1,0.5652,0.7467,0.018519,familiar|local,0.92,1.0
24,112,4,5,285,1,0.2526,0.9365,0.074074,wide,1.0,1.0
24,114,3,5,252,6,0.2421,0.9825,0.046296,social|wide,0.996,1.0
24,118,2,3,67,1,0.2836,0.8387,0.027778,neutral,1.0,1.0
24,121,2,2,25,0,0.4,0.7622,0.018519,isolated|local,1.0,1.0
24,126,1,5,285,3,0.2667,0.9414,0.027778,social|wide,0.9965,0.75
24,129,1,2,26,0,0.1538,0.9567,0.018519,isolated|alien|local,1.0,1.0
24,132,0,2,25,0,0.2,0.8415,0.027778,isolated|local,1.0,1.0
24,134,0,2,24,0,0.375,0.7105,0.027778,isolated|local,1.0,1.0
24,137,-1,4,144,2,0.2639,0.942,0.083333,neutral,,
24,138,-1,2,23,1,0.3913,0.8682,0.027778,local,,
24,139,-1,2,26,1,0.5385,0.7304,0.055556,familiar|local,,
24,141,-1,2,26,0,0.2692,0.7565,0.027778,isolated|local,,
24,144,-1,2,22,0,0.3636,0.8501,0.064815,isolated|local,,
25,3,21,5,244,4,0.209,0.8924,0.084906,social|wide,1.0,1.0
25,5,21,4,153,2,0.5359,0.92,0.066038,familiar,1.0,1.0
25,16,20,5,260,4,0.25,0.9743,0.056604,social|wide,1.0,1.0
25,33,17,4,147,2,0.3129,0.924,0.037736,neutral,1.0,1.0
25,48,15,3,68,1,0.3676,0.8467,0.018868,neutral,1.0,1.0
25,57,14,4,147,6,0.3061,0.9432,0.037736,social,1.0,1.0
25,76,10,4,152,0,0.2434,0.9593,0.018868,isolated,1.0,1.0
25,83,9,3,66,1,0.197,0.9184,0.028302,alien,1.0,1.0
25,87,8,5,281,8,0.2669,0.9643,0.04717,social|wide,1.0,1.0
25,112,5,5,285,1,0.2632,0.9638,0.075472,wide,1.0,0.0
25,114,4,5,252,7,0.2976,0.9345,0.056604,social|wide,1.0,0.8571
25,118,3,3,67,1,0.1493,0.8658,0.056604,alien,1.0,1.0
25,121,3,2,25,0,0.28,0.8689,0.018868,isolated|local,1.0,1.0
25,126,2,5,285,3,0.2351,0.9727,0.037736,social|wide,1.0,0.5
25,129,2,2,26,0,0.1154,0.8128,0.028302,isolated|alien|local,1.0,1.0
25,132,1,2,25,0,0.28,0.7584,0.018868,isolated|local,1.0,1.0
25,137,0,4,144,2,0.2569,0.8576,0.037736,neutral,1.0,1.0
25,138,0,2,23,1,0.3043,0.8511,0.037736,local,1.0,1.0
25,139,0,2,25,1,0.16,0.7394,0.028302,alien|local,0.9615,1.0
25,141,0,2,25,0,0.24,0.9109,0.018868,isolated|local,0.9615,1.0
25,144,0,2,22,0,0.2727,0.8031,0.018868,isolated|local,1.0,1.0
25,145,-1,3,68,0,0.5294,0.9386,0.037736,isolated|familiar,,
25,146,-1,2,23,0,0.3043,0.907,0.04717,isolated|local,,
25,147,-1,2,25,0,0.52,0.8294,0.037736,isolated|familiar|local,,
25,148,-1,2,25,0,0.48,0.8632,0.04717,isolated|local,,
26,3,22,5,225,4,0.2533,0.9655,0.04,social|wide,0.9221,1.0
26,5,22,4,152,2,0.4145,0.8854,0.1,neutral,0.9935,1.0
26,16,21,5,260,5,0.2423,0.9523,0.11,social|wide,1.0,0.8
