window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate
174,4733,2912,0,0,3,1.9726,2,33.6,10,2902,4.46,0.9931,2932.3,10,1.0,17,3,3,316,0.014946,0.1031,111.1111
175,4732,2849,0,0,3,1.9817,1,32.5,10,2839,4.44,0.9742,2924.4,10,1.0,13,0,4,287,0.016545,0.1467,140.8451
176,4725,2896,1,4,3,1.979,1,33.8,12,2884,4.41,0.9912,2921.7,12,1.0,15,3,1,287,0.015932,0.1034,127.907
177,4724,2871,1,4,1,1.995,1,32.6,6,2861,4.4,0.9843,2916.9,10,1.0,17,2,0,300,0.015715,0.1099,111.1111
178,4724,2810,0,0,1,1.9764,2,33.7,4,2808,4.35,0.9674,2906.9,2,1.0,15,1,3,310,0.014797,0.1034,12.1951
179,4722,2840,1,3,3,1.9902,1,32.6,1,2834,4.34,0.9791,2900.5,6,1.0,15,5,5,300,0.015808,0.1163,65.7895
180,4720,2909,0,0,3,1.9574,1,33.8,2904,0,4.48,1.0027,2901.3,5,1.0,12,0,3,255,0.017281,0.1358,69.4444
181,4719,2990,0,0,3,1.926,1,32.5,2988,0,4.55,1.0288,2910.1,6,1.0,11,1,2,212,0.021129,0.1515,80.6452
182,4717,2868,1,4,3,1.9701,1,33.2,7,2861,4.36,0.9869,2906.1,7,1.0,11,4,4,232,0.020059,0.1471,114.7541
183,4717,2948,0,0,3,1.9241,1,32.7,2941,0,4.47,1.013,2910.1,7,1.0,9,0,2,203,0.026756,0.1754,137.2549
184,4715,2947,0,0,3,1.9424,1,32.4,2937,0,4.48,1.0115,2913.6,10,1.0,10,3,2,188,0.026291,0.2,183.6735
185,4715,2939,1,3,3,1.9325,1,33.5,2929,0,4.52,1.0079,2916.0,10,1.0,9,2,3,198,0.023548,0.1481,187.5
186,4715,2965,1,5,1,1.9209,1,32.4,2957,0,4.48,1.0152,2920.7,8,1.0,8,1,2,199,0.025019,0.194,129.0323
187,4711,2814,0,0,3,1.9794,2,33.5,2,2812,4.43,0.9668,2910.5,2,1.0,6,0,2,160,0.031205,0.2182,40.0
188,4709,2931,0,0,3,1.9724,1,32.4,2931,0,4.42,1.0064,2912.5,0,1.0,6,0,0,124,0.041679,0.2759,0.0
189,4708,2856,1,3,3,1.9203,1,33.5,2,2854,4.31,0.9824,2907.1,2,1.0,6,1,1,132,0.041864,0.2647,58.8235
190,4708,2881,2,3,3,1.8927,1,32.5,2,2875,4.41,0.9919,2904.6,6,1.0,7,4,3,170,0.027831,0.1778,36.4359
191,4708,2922,0,0,3,1.8744,2,33.0,2922,0,4.51,1.0054,2906.3,0,1.0,6,0,1,141,0.039932,0.2432,0.0
192,4708,2977,1,5,3,1.8262,1,33.2,2974,0,4.51,1.0226,2913.2,5,1.0,5,1,2,143,0.034016,0.3784,147.0588
193,4707,2848,1,5,1,1.9259,1,32.5,2,2836,4.46,0.9797,2907.0,12,1.0,6,3,2,155,0.033219,0.2093,256.4103
194,4707,2859,0,0,3,1.9498,2,33.7,2,2847,4.44,0.985,2902.4,12,1.0,6,2,2,154,0.036502,0.2439,282.0513
195,4706,2816,0,0,3,1.9864,1,32.5,0,2811,4.39,0.973,2894.2,5,1.0,5,0,1,130,0.045912,0.234,113.6364
196,4706,2841,0,0,3,2.0,1,33.4,0,2839,4.36,0.9833,2889.1,2,1.0,5,0,0,120,0.052188,0.2308,76.9231
197,4705,2784,2,4,1,1.9612,1,32.3,4,2775,4.36,0.967,2879.1,9,1.0,8,6,3,190,0.027982,0.1842,157.0857
198,4704,2903,0,0,1,1.9108,1,33.1,2903,0,4.45,1.0075,2881.4,0,1.0,7,0,1,162,0.030152,0.1695,0.0
199,4703,2835,0,0,3,1.8454,1,32.6,0,2835,4.42,0.9854,2877.0,0,1.0,7,0,0,153,0.035259,0.1951,0.0
200,4703,2974,0,0,3,1.8618,1,32.3,2990,0,4.52,1.0367,2888.1,4,1.0,9,4,2,172,0.026609,0.1429,85.1064
