window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
108,4895,3084,1,5,1,1.9238,1,16.2,13,3071,4.52,0.9906,3113.4,13,1.0,64,1,0,1205,0.001015,0.0343,32.7869,107,53.6,0.0175,0.0071,1,0,0,0,0.063325,0.015625,37,0.7533,6.3593,0.4254,24,5,35,828,1192,506
109,4894,3126,2,5,1,1.8701,1,16.2,3127,0,4.64,1.0066,3115.6,9,1.0,65,2,1,1228,0.001038,0.0379,19.3705,108,53.5,0.0168,0.0071,1,1,0,0,0.078199,0.015625,37,0.8002,6.3901,0.4253,24,5,36,838,1243,491
110,4893,3065,1,5,3,1.8905,2,16.2,4,3061,4.52,0.9853,3110.7,4,1.0,64,1,2,1231,0.000909,0.0332,10.6667,109,55.0,0.0172,0.0065,1,0,0,0,0.056122,0.015625,38,0.7216,6.4463,0.4252,24,5,35,782,1244,493
111,4891,3095,4,5,3,1.9568,2,16.1,5,3080,4.61,0.9954,3109.2,15,1.0,67,5,2,1284,0.001081,0.0326,33.5731,110,53.4,0.0156,0.0064,2,0,0,0,0.065116,0.015625,41,0.76,6.4951,0.4247,25,5,37,810,1247,495
112,4891,3123,1,5,3,1.977,2,16.2,3119,0,4.6,1.0057,3111.1,10,1.0,67,1,1,1291,0.001143,0.0378,23.2019,111,54.4,0.0156,0.0062,1,0,0,0,0.082222,0.015625,40,0.81,6.5418,0.4242,25,5,37,774,1324,465
113,4890,3161,0,0,3,1.9675,2,16.2,3178,0,4.62,1.0238,3118.9,15,1.0,69,5,3,1304,0.000997,0.0296,38.2653,112,53.7,0.0158,0.0053,0,1,0,0,0.049261,0.015625,43,0.6828,6.5886,0.4239,25,7,37,760,1290,505
114,4887,3138,0,0,3,1.9377,1,16.2,3151,0,4.61,1.0131,3123.2,13,1.0,69,3,3,1301,0.000981,0.0337,32.8283,113,54.6,0.0156,0.0066,0,0,0,0,0.060241,0.015625,43,0.7406,6.6175,0.4233,24,8,37,780,1280,505
115,4885,3091,1,5,3,1.8755,1,16.1,5,3083,4.59,0.9907,3120.1,8,1.0,70,1,0,1310,0.000993,0.0297,19.2308,114,54.8,0.0155,0.0064,1,0,0,0,0.05492,0.015625,41,0.7155,6.6449,0.4232,25,8,37,797,1240,468
116,4882,3123,0,0,3,1.9385,1,16.1,3123,0,4.56,1.0011,3120.5,1,1.0,67,1,4,1320,0.000931,0.0294,0.0,115,58.2,0.0156,0.0052,0,0,0,0,0.047511,0.015625,42,0.6711,6.6834,0.4229,25,5,37,812,1239,475
117,4878,3098,3,5,3,1.9502,1,16.2,0,3093,4.48,0.9935,3118.4,5,1.0,69,3,1,1321,0.000884,0.0274,12.0192,116,57.5,0.0152,0.006,1,0,0,0,0.047945,0.015625,39,0.6741,6.7245,0.4229,26,5,38,772,1217,507
