seed,window,rate,k,H,drift,type_count,J,term_H,term_drift,term_penalty,k_star
42,22,0.0,4,1.8879,0.2148,4,0.9417,1.8879,0.2148,-1.161,2
42,23,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,23,0.0,1,0.7219,0.298,2,0.2274,0.7219,0.298,-0.7925,2
42,23,0.0,2,1.2419,0.3441,3,0.586,1.2419,0.3441,-1.0,2
42,23,0.0,3,1.2419,0.3441,3,0.586,1.2419,0.3441,-1.0,2
42,23,0.0,4,1.2419,0.3441,3,0.586,1.2419,0.3441,-1.0,2
42,24,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,24,0.0,1,0.5907,0.2476,3,-0.1617,0.5907,0.2476,-1.0,2
42,24,0.0,2,1.0583,0.2536,4,0.1509,1.0583,0.2536,-1.161,2
42,24,0.0,3,1.0583,0.2536,4,0.1509,1.0583,0.2536,-1.161,2
42,24,0.0,4,1.0583,0.2536,4,0.1509,1.0583,0.2536,-1.161,2
42,25,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
42,25,0.0,1,0.5665,0.1988,2,-0.0272,0.5665,0.1988,-0.7925,2
42,25,0.0,2,0.9056,0.2063,3,0.1119,0.9056,0.2063,-1.0,2
42,25,0.0,3,0.9056,0.2063,3,0.1119,0.9056,0.2063,-1.0,2
42,25,0.0,4,0.9056,0.2063,3,0.1119,0.9056,0.2063,-1.0,2
55,1,0.0,0,-0.0,,1,-0.5,-0.0,0,-0.5,2
55,1,0.0,1,0.4645,,3,-0.5355,0.4645,0,-1.0,2
55,1,0.0,2,0.8141,,4,-0.3469,0.8141,0,-1.161,2
55,1,0.0,3,0.8141,,4,-0.3469,0.8141,0,-1.161,2
55,1,0.0,4,0.8141,,4,-0.3469,0.8141,0,-1.161,2
55,2,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,0
55,2,0.0,1,0.2625,0.0843,3,-0.6532,0.2625,0.0843,-1.0,0
55,2,0.0,2,0.489,0.1054,4,-0.5666,0.489,0.1054,-1.161,0
55,2,0.0,3,0.489,0.1054,4,-0.5666,0.489,0.1054,-1.161,0
55,2,0.0,4,0.489,0.1054,4,-0.5666,0.489,0.1054,-1.161,0
55,3,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,3,0.0,1,0.4262,0.1411,2,-0.2252,0.4262,0.1411,-0.7925,2
55,3,0.0,2,0.6784,0.1424,3,-0.1792,0.6784,0.1424,-1.0,2
