window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
51,4943,3114,1,5,3,1.9322,1,14.8,4,3100,4.45,0.9803,3176.5,14,1.0,63,1,0,1098,0.001701,0.0312,45.1613,50,25.4,0.0179,0.0063,1,0,0,0,0.093458,0.015625,42,0.8328,2.7607,0.3832,22,5,36
52,4938,3186,1,3,3,1.9984,1,14.7,3191,0,4.64,1.0064,3178.6,8,1.0,65,7,5,1129,0.001454,0.0332,21.5054,51,25.4,0.0175,0.0065,0,0,0,0,0.074169,0.015625,46,0.7893,2.8348,0.3828,24,5,36
53,4938,3159,2,5,1,1.9952,2,14.7,3,3141,4.63,0.9944,3176.8,18,1.0,62,2,5,1134,0.001626,0.0337,52.1739,52,26.6,0.0176,0.0071,2,0,0,0,0.067416,0.015625,43,0.7682,2.8854,0.3822,21,5,36
54,4934,3073,0,0,3,1.9893,2,14.8,3,3060,4.55,0.9704,3166.9,13,1.0,60,0,2,1106,0.001687,0.043,44.3686,53,28.3,0.0196,0.0089,0,0,0,0,0.059603,0.015625,41,0.7378,2.9384,0.3823,21,4,35
55,4929,3132,1,4,1,1.9853,1,14.8,0,3132,4.6,0.99,3163.6,0,1.0,60,1,1,1111,0.001458,0.0346,0.0,54,29.2,0.0189,0.0074,0,0,0,0,0.066038,0.015625,41,0.7634,2.9824,0.3836,22,4,34
56,4927,3159,2,5,1,1.9726,1,14.7,0,3149,4.64,0.9987,3163.1,10,1.0,59,2,3,1140,0.001634,0.0326,28.169,55,30.5,0.0187,0.0076,2,0,0,0,0.070652,0.015625,42,0.7788,3.053,0.3846,22,4,33
57,4923,3158,0,0,3,1.932,2,14.7,0,3153,4.6,0.9985,3162.6,5,1.0,57,0,2,1087,0.001485,0.0389,15.2439,56,31.2,0.0188,0.0074,0,1,0,0,0.092814,0.015625,40,0.8317,3.1459,0.3863,21,4,32
58,4916,3167,0,0,3,1.9329,1,14.6,3164,0,4.59,1.0018,3163.2,5,1.0,57,0,0,1083,0.001387,0.0414,14.0845,57,32.2,0.0193,0.0061,0,0,0,0,0.071823,0.015625,40,0.7825,3.2177,0.3876,21,4,32
59,4914,3130,2,5,3,1.9428,1,14.7,5,3120,4.45,0.9905,3160.1,10,1.0,59,2,0,1123,0.001574,0.0336,28.9017,58,32.0,0.0183,0.0077,2,0,0,0,0.058824,0.015625,41,0.7344,3.2765,0.388,21,5,33
60,4909,3153,2,5,3,1.9474,1,14.7,13,3130,4.58,0.998,3159.4,23,1.0,63,6,2,1171,0.001508,0.0339,62.1622,59,30.8,0.0184,0.0075,1,1,0,0,0.062663,0.015625,41,0.7507,3.3366,0.3887,21,5,37
