seed,global_k,global_sw,div_ratio,regime,mean_bnd_links,mean_bnd_weight,concept_entropy,merge_count,split_count,corr_div_ent,A_persist,A_max_streak,A_mean_isl,B_persist,B_max_streak,B_mean_isl,r0_concept,r1_concept,r2_concept,r3_concept
45,4,50.0,0.56,long_drift,679.5,18.8697,1.5558,0,0,0.1705,0.08,1,0.08,0.04,1,0.04,A,B,A,B
46,4,29.2,0.2,short_burst,658.7,18.28,1.5601,0,0,-0.3208,0.16,2,0.16,0.04,1,0.04,A,B,A,B
47,4,25.0,0.48,long_drift,670.7,18.9827,1.5475,0,0,-0.2654,0.12,1,0.12,0.0,0,0.0,A,B,A,B
48,4,50.0,0.44,long_drift,667.8,18.4313,1.5531,0,0,0.3205,0.16,2,0.2,0.0,0,0.0,A,B,A,B
49,4,16.7,0.16,short_burst,676.0,18.73,1.541,0,0,0.0742,0.04,1,0.04,0.04,1,0.04,A,B,A,B
5,4,16.7,0.64,long_drift,678.0,18.9329,1.5365,0,0,0.1481,0.08,1,0.08,0.08,1,0.08,A,B,A,B
50,4,29.2,0.2,short_burst,676.9,18.7106,1.5497,0,0,-0.1085,0.0,0,0.0,0.04,1,0.04,A,B,A,B
51,1,54.2,0.84,long_drift,670.6,18.6663,1.5481,0,0,0.1502,0.04,1,0.04,0.08,1,0.08,A,B,A,B
52,4,50.0,0.48,long_drift,661.4,18.4233,1.5389,0,0,-0.0297,0.2,1,0.2,0.04,1,0.04,A,B,A,B
53,4,33.3,0.64,long_drift,677.6,18.6899,1.5371,0,0,-0.1188,0.0,0,0.0,0.04,1,0.04,A,B,A,B
54,4,37.5,0.28,short_burst,666.2,18.6014,1.5407,0,0,0.2546,0.2,1,0.2,0.12,1,0.16,A,B,A,B
55,1,58.3,0.64,long_drift,676.8,18.8429,1.543,0,0,-0.0268,0.28,2,0.28,0.04,1,0.04,A,B,A,B
56,4,29.2,0.56,long_drift,672.5,18.8486,1.5574,0,0,0.1778,0.2,2,0.2,0.08,1,0.08,A,B,A,B
