seed,cid,t,window,pulse_n,trigger,tags,d_social,delta_social,theta_social,R_social,d_stability,delta_stability,theta_stability,R_stability,d_spread,delta_spread,theta_spread,R_spread,d_familiarity,delta_familiarity,theta_familiarity,R_familiarity,v11_b_gen,v11_delta,v11_d_n,v11_d_s,v11_d_r,v11_d_phase,v11_p_capture,v11_captured,v11_n_local,v11_s_avg_local,v11_r_local,v11_theta_avg_local
0,42,192,20,4,MAD_DT_Normal,gain_social|loss_spread|loss_familiarity,0.444444,0.15873,0.148148,1.071421,0.683651,0.012365,0.076963,0.160655,0.928857,-0.007387,0.005907,-1.250345,14.997768,-2.442372,1.570495,-1.55516,32.576722,0.606839,0.523256,0.398963,0.570978,0.934158,0.172322,FALSE,50,0.027623,0.32015,1.505731
0,44,194,20,4,MAD_DT_Normal,loss_spread,0.333333,-0.095238,0.174603,-0.545451,0.701811,-0.025989,0.049044,-0.529906,0.926924,-0.011816,0.00852,-1.386689,17.994018,-1.894439,3.078646,-0.615348,25.912894,0.443115,0.232558,0.317249,0.699064,0.52359,0.269172,FALSE,24,0.031349,0.117869,1.540597
0,0,200,20,5,MAD_DT_Major,major_loss_social|major_loss_stability|major_loss_spread|major_loss_familiarity,0.777778,-0.222222,0.305556,-0.72727,0.668757,-0.079026,0.086176,-0.917016,0.934972,-0.006778,0.023774,-0.285099,12.489815,-0.884656,7.234323,-0.122286,33.104708,0.359307,0.290698,0.309506,0.513785,0.323239,0.338202,TRUE,30,0.03006,0.290287,-1.629553
0,2,202,20,5,both,major_gain_social|major_loss_stability|major_loss_spread|gain_familiarity|major_gain_familiarity,0.777778,-0.079365,0.305556,-0.259739,0.773924,-0.006682,0.014646,-0.456226,0.934179,-0.00889,0.014098,-0.630517,10.287728,3.442608,2.813987,1.223391,32.649914,0.54894,0.709302,0.370858,0.533832,0.581769,0.20176,FALSE,66,0.02339,0.365972,-1.059364
0,52,202,20,5,MAD_DT_Major,major_loss_social|major_loss_stability|major_gain_spread|major_loss_familiarity,0.222222,-0.063492,0.069444,-0.914273,0.715311,0.003398,0.04011,0.084717,0.914235,0.017181,0.041908,0.409953,16.101069,-1.695146,4.62284,-0.366689,19.356805,0.137755,0.127907,0.256676,0.144726,0.02171,0.618409,TRUE,14,0.020403,0.595597,1.237548
0,7,207,20,5,MAD_DT_Major,major_loss_stability|major_loss_spread,0.0,0.0,0.0,0.0,0.763471,-0.013741,0.067064,-0.204892,0.937838,-0.0088,0.030838,-0.285351,0.0,0.0,0.0,0.0,11.171952,0.157405,0.034884,0.321331,0.108615,0.164791,0.586178,TRUE,5,0.021997,0.886465,-0.667241
0,9,209,20,5,both,major_loss_social|major_gain_stability|loss_spread|major_loss_spread|major_gain_familiarity,0.666667,-0.190476,0.261905,-0.72727,0.642413,0.022352,0.073495,0.304121,0.928742,-0.010116,0.006314,-1.601926,5.903946,0.295814,2.023658,0.146178,34.316202,0.698752,1.430233,0.258194,0.344992,0.761588,0.134155,FALSE,128,0.028822,0.129563,-0.681305
0,10,210,20,5,MAD_DT_Major,major_loss_social|major_loss_stability|major_loss_spread|major_loss_familiarity,0.555556,-0.069444,0.173611,-0.399998,0.709276,0.0117,0.042523,0.275129,0.932018,-0.006629,0.010708,-0.619045,15.376695,-1.618883,6.23101,-0.259811,25.243286,0.610891,0.325581,0.44629,0.774774,0.89692,0.17043,TRUE,32,0.027597,0.205066,2.094653
0,64,214,20,5,MAD_DT_Major,major_loss_stability|major_loss_spread,0.0,0.0,0.0,0.0,0.694113,-0.037792,0.05313,-0.7113,0.897261,-0.004062,0.0131,-0.310081,0.0,0.0,0.0,0.0,11.326248,0.160957,0.034884,0.248363,0.163468,0.197113,0.580534,FALSE,5,0.033497,0.709148,0.458284
0,65,215,20,5,both,major_gain_social|major_gain_stability|loss_spread|major_loss_spread|major_loss_familiarity,0.111111,-0.013889,0.097222,-0.142856,0.680096,0.024293,0.08015,0.303089,0.902361,-0.038573,0.030673,-1.257508,20.77493,-2.187218,4.891535,-0.447143,12.747784,0.219744,0.081395,0.015214,0.411173,0.371194,0.494631,FALSE,9,0.02508,0.536986,1.707718
0,66,216,20,5,both,major_gain_social|major_gain_stability|loss_spread|major_loss_spread|major_loss_familiarity,0.111111,-0.013889,0.097222,-0.142856,0.699567,0.01716,0.067858,0.252876,0.883425,-0.053274,0.033785,-1.576801,20.73338,-2.182843,4.631752,-0.471278,12.506674,0.28315,0.023256,0.009355,0.36698,0.73301,0.41617,TRUE,4,0.025958,0.614722,0.621483
0,19,219,20,5,MAD_DT_Major,major_loss_social|major_gain_stability|major_loss_spread|major_loss_familiarity,0.666667,-0.083333,0.233333,-0.357141,0.595514,0.027406,0.039165,0.699736,0.928045,-0.001531,0.012622,-0.121263,10.393859,-1.094282,2.975915,-0.367713,35.367998,0.404794,0.453488,0.317421,0.183174,0.665094,0.298788,FALSE,44,0.027523,0.0357,-1.260332
0,22,222,20,5,MAD_DT_Major,major_loss_social|major_loss_stability|major_gain_spread|major_gain_familiarity,0.777778,-0.097222,0.268056,-0.362693,0.605623,-0.048659,0.070162,-0.693518,0.939924,-0.003368,0.005416,-0.621707,10.200308,0.218984,2.436168,0.089889,33.827521,0.315296,0.127907,0.220545,0.170252,0.742481,0.381278,TRUE,16,0.03625,0.51658,-0.05685
0,26,226,20,5,both,major_loss_social|major_loss_stability|loss_spread|major_loss_spread|major_gain_familiarity,0.444444,-0.055556,0.138889,-0.399997,0.759151,0.015376,0.025196,0.610249,0.909751,-0.021364,0.009138,-2.337558,9.48898,0.006005,3.697353,0.001624,33.641408,0.341279,0.313953,0.297981,0.336537,0.416644,0.355225,TRUE,32,0.033591,0.255552,-1.057068
0,41,241,20,5,both,major_loss_social|major_loss_stability|loss_spread|major_gain_spread|gain_familiarity|major_gain_familiarity,1.0,0.0,0.071429,0.0,0.717882,0.003857,0.035338,0.109129,0.918018,-0.009756,0.009339,-1.044464,14.350751,2.695189,1.10692,2.434853,34.166557,0.396196,0.767442,0.434743,0.087258,0.295342,0.305869,FALSE,71,0.029003,0.240994,2.93959
0,42,242,20,5,both,gain_social|major_gain_social|major_gain_stability|major_gain_spread|gain_familiarity|major_gain_familiarity,0.666667,0.222222,0.166667,1.333325,0.70194,0.018288,0.062295,0.293575,0.926429,-0.002427,0.005037,-0.481764,19.760534,4.762767,2.368563,2.010825,32.576722,0.537227,0.360465,0.397635,0.87324,0.517569,0.208302,FALSE,36,0.02895,0.017888,-3.055005
0,44,244,20,5,both,major_gain_social|major_loss_stability|loss_spread|major_loss_spread|major_loss_familiarity,0.333333,0.0,0.130952,0.0,0.678997,-0.022814,0.042486,-0.536962,0.910736,-0.016189,0.010437,-1.550895,16.280031,-1.713987,2.737482,-0.626118,25.912894,0.474035,0.22093,0.319382,0.364263,0.991564,0.247429,FALSE,23,0.029216,0.45267,3.063786
0,0,250,20,6,MAD_DT_Major,major_loss_spread,0.888889,0.111111,0.266667,0.416665,0.671134,0.002377,0.069416,0.034236,0.925099,-0.009873,0.020994,-0.470264,12.39667,-0.093146,5.806088,-0.016043,33.104708,0.610472,0.732558,0.315123,0.598547,0.79566,0.170625,FALSE,68,0.024443,0.205524,-3.113709
0,2,252,20,6,both,major_gain_social|major_loss_spread|gain_familiarity|major_gain_familiarity,1.0,0.222222,0.288889,0.769228,0.776363,0.002438,0.012204,0.199773,0.923735,-0.010444,0.013367,-0.781274,15.573932,5.286204,3.30843,1.597798,32.649914,0.690727,0.848837,0.365684,0.719544,0.828841,0.13712,FALSE,78,0.028563,0.18026,-1.835562
0,52,252,20,6,both,gain_social|major_gain_social|major_loss_stability|major_loss_familiarity,0.444444,0.222222,0.1,2.2222,0.708832,-0.006479,0.033384,-0.194068,0.924944,0.010709,0.035668,0.300231,14.153959,-1.94711,4.087694,-0.476334,19.356805,0.410884,0.27907,0.24892,0.350393,0.765151,0.293873,FALSE,27,0.02816,0.100478,-1.234449
0,7,257,20,6,MAD_DT_Major,major_loss_stability|major_loss_spread,0.0,0.0,0.0,0.0,0.750233,-0.013238,0.056299,-0.235132,0.919679,-0.018158,0.028302,-0.641568,0.0,0.0,0.0,0.0,11.171952,0.250655,0.104651,0.313622,0.40314,0.181208,0.454687,FALSE,11,0.029705,0.59194,-1.754227
0,9,259,20,6,both,major_gain_social|loss_spread|gain_familiarity|major_gain_familiarity,0.888889,0.222222,0.253968,0.874997,0.634018,-0.008395,0.060475,-0.138815,0.920684,-0.008058,0.006663,-1.209291,9.6836,3.779654,2.374858,1.591528,34.316202,0.216166,0.104651,0.260685,0.015587,0.483743,0.499475,FALSE,14,0.026331,0.490142,1.689556
0,10,260,20,6,MAD_DT_Major,major_gain_stability|major_loss_spread|major_loss_familiarity,0.555556,0.0,0.138889,0.0,0.721503,0.012227,0.036464,0.335308,0.925373,-0.006645,0.009895,-0.671446,13.912016,-1.464679,5.277744,-0.27752,25.243286,0.654791,0.953488,0.448399,0.887332,0.329945,0.151221,FALSE,86,0.025488,0.092508,0.31345
0,64,264,20,6,MAD_DT_Major,major_loss_stability|major_gain_spread,0.0,0.0,0.0,0.0,0.655261,-0.038853,0.050274,-0.772802,0.897916,0.000654,0.010611,0.061676,0.0,0.0,0.0,0.0,11.326248,0.294469,0.023256,0.235359,0.482389,0.436874,0.403534,FALSE,4,0.046501,0.390228,-0.294948
0,65,265,20,6,MAD_DT_Major,major_gain_social|major_loss_familiarity,0.111111,0.0,0.077778,0.0,0.674092,-0.006004,0.065321,-0.09192,0.876074,-0.026286,0.029796,-0.882197,18.796052,-1.978878,4.309004,-0.459243,12.747784,0.210439,0.0,0.009867,0.497229,0.334659,0.507329,TRUE,2,0.0,0.45093,-0.509785
