window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
83,4943,3072,0,0,3,1.8736,1,162.5,3068,0,4.44,1.0062,3053.2,4,1.0,11,4,4,249,0.020891,0.1493,65.5738,38,9.6,0.1075,0.0294,0,1,0,0,0.179104,0.015625,11,0.9128,6.115,0.5107
84,4943,3020,0,0,3,1.8924,1,173.6,0,3020,4.44,0.9902,3050.0,0,1.0,9,0,2,210,0.023331,0.1449,0.0,39,12.0,0.1043,0.0298,0,0,0,0,0.318841,0.015625,9,0.951,6.2165,0.5122
85,4943,2923,1,5,3,1.9015,1,167.6,0,2918,4.43,0.9622,3037.9,5,1.0,8,1,2,199,0.025481,0.2558,125.0,40,14.1,0.1318,0.0581,1,0,0,0,0.255814,0.015625,8,0.9389,6.3095,0.5101
86,4941,2952,0,0,3,1.9593,1,170.1,0,2947,4.44,0.9743,3029.8,5,1.0,10,5,3,203,0.025306,0.1389,74.6269,41,11.5,0.1157,0.0317,0,0,0,0,0.222222,0.015625,10,0.9297,6.4345,0.5106
87,4938,3060,0,0,3,1.966,1,162.5,3053,0,4.45,1.009,3032.6,7,1.0,9,2,3,204,0.024822,0.169,78.125,42,13.8,0.115,0.035,0,0,0,0,0.225352,0.015625,11,0.9307,6.519,0.5093
88,4938,2984,2,5,3,1.8678,1,174.3,6,2973,4.39,0.9855,3028.0,11,1.0,13,5,1,236,0.022589,0.1266,146.6667,43,10.2,0.0814,0.023,1,0,0,0,0.151899,0.015625,11,0.8971,6.595,0.5071
89,4937,2996,2,5,1,1.6915,1,169.6,9,2982,4.42,0.9904,3025.0,14,1.0,12,4,5,295,0.016583,0.1354,144.4444,44,11.2,0.0846,0.0284,2,1,0,0,0.166667,0.015625,15,0.9062,6.6816,0.5057
90,4936,3054,3,5,1,1.8971,2,174.1,3032,0,4.46,1.0087,3027.7,22,1.0,15,10,7,344,0.014503,0.1028,208.3333,45,6.7,0.0771,0.0241,2,2,0,0,0.130841,0.015625,18,0.8806,6.7613,0.5023
91,4935,3054,0,0,3,1.9014,2,167.5,3038,0,4.42,1.0078,3030.2,16,1.0,15,3,3,292,0.016729,0.096,128.2051,46,7.6,0.071,0.022,0,0,0,0,0.152,0.015625,13,0.8972,6.8413,0.4997
92,4935,3062,0,0,3,1.9098,1,168.8,3049,0,4.44,1.0095,3033.3,13,1.0,12,0,3,277,0.018439,0.1316,169.0141,47,9.6,0.0757,0.0324,0,0,0,0,0.157895,0.015625,11,0.901,6.9443,0.4974
93,4934,2885,0,0,3,1.8656,1,177.2,5,2880,4.33,0.9556,3019.1,5,1.0,11,2,3,264,0.018345,0.1429,50.8475,48,11.4,0.0933,0.0327,0,0,0,0,0.142857,0.015625,13,0.8906,7.0713,0.4954
94,4933,3099,0,0,3,1.8218,1,167.0,3101,0,4.49,1.0245,3026.9,0,1.0,10,0,1,234,0.021864,0.1159,0.0,49,13.2,0.096,0.0197,0,0,0,0,0.115942,0.015625,11,0.8652,7.1727,0.4938
95,4931,2978,1,5,3,1.8879,1,177.2,1,2972,4.41,0.9854,3022.3,6,1.0,8,2,4,252,0.021834,0.1695,94.3396,50,15.2,0.1123,0.0359,1,1,0,0,0.169492,0.015625,12,0.9078,7.3422,0.4929
96,4930,3013,2,3,3,1.9132,1,170.9,3,3007,4.48,0.9972,3021.4,6,1.0,10,4,2,233,0.021054,0.129,86.2069,51,10.5,0.0991,0.0233,0,1,0,0,0.129032,0.015625,12,0.8789,7.4096,0.4924
97,4927,3047,2,3,3,1.971,2,173.2,3038,0,4.52,1.0077,3023.8,9,1.0,12,7,5,246,0.01682,0.1159,133.3333,27,5.2,0.0773,0.0228,0,1,0,0,0.115942,0.015625,15,0.8652,7.4965,0.49
98,4922,3064,2,3,3,1.9238,2,168.3,3049,0,4.48,1.012,3027.7,15,1.0,15,8,5,253,0.015633,0.125,208.3333,28,3.9,0.0938,0.0245,0,2,0,0,0.125,0.015625,19,0.875,7.5761,0.4865
99,4920,3091,2,4,3,1.7822,2,168.8,3078,0,4.52,1.0189,3033.7,13,1.0,14,2,3,222,0.019899,0.1209,158.5366,29,5.0,0.0824,0.0274,0,0,0,0,0.120879,0.015625,15,0.8707,7.664,0.4833
100,4919,2975,0,0,3,1.7288,2,172.7,6,2969,4.41,0.9825,3028.1,6,1.0,10,1,5,215,0.023311,0.1692,89.2857,11,4.6,0.1179,0.04,0,1,0,0,0.169231,0.015625,13,0.9077,7.6947,0.4806
101,4919,3038,1,3,1,1.7099,1,168.2,3035,0,4.43,1.003,3029.0,3,1.0,8,2,4,188,0.023905,0.1633,47.619,12,5.9,0.1156,0.0319,0,0,0,0,0.163265,0.015625,11,0.9043,7.6947,0.4773
102,4918,3003,3,4,1,1.8172,1,173.7,5,2990,4.53,0.9922,3026.6,13,1.0,13,9,4,226,0.017964,0.1324,183.3333,13,3.8,0.0735,0.0316,0,0,0,0,0.176471,0.015625,13,0.9115,7.6947,0.4736
