window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
68,4749,2939,1,5,3,1.9783,2,11.6,8,2926,4.51,0.9963,2950.0,13,1.0,49,1,1,913,0.002039,0.05,51.1811,67,31.7,0.0246,0.01,1,0,0,0,0.096154,0.015625,36,0.8375,3.239,0.3798,0.00376
69,4748,2976,0,0,3,1.9928,2,11.7,2971,0,4.55,1.008,2952.5,5,1.0,49,0,0,903,0.001776,0.0426,19.9203,68,32.7,0.0244,0.0107,0,0,0,0,0.081395,0.015625,36,0.808,3.3126,0.382,0.003693
70,4748,2848,2,5,3,1.9942,1,11.6,5,2833,4.38,0.9679,2942.5,15,1.0,51,2,0,939,0.002214,0.0594,53.5714,69,32.3,0.0224,0.0109,2,0,0,0,0.083916,0.015625,37,0.8138,3.3825,0.3814,0.003616
71,4748,2894,1,4,3,1.981,1,11.6,4,2885,4.38,0.9851,2937.9,9,1.0,49,2,4,924,0.001912,0.0455,32.0,70,32.5,0.0243,0.0089,0,0,0,0,0.079545,0.015625,37,0.8036,3.4431,0.3819,0.003529
72,4747,2989,1,4,3,1.9406,2,11.7,2981,0,4.45,1.016,2942.9,9,1.0,52,3,0,932,0.001988,0.0395,30.303,71,31.6,0.0214,0.0083,0,0,0,0,0.085526,0.015625,36,0.8173,3.5287,0.3823,0.003434
73,4747,2863,0,0,3,1.9668,2,11.6,0,2858,4.43,0.9754,2935.3,5,1.0,49,0,3,932,0.001681,0.0401,19.2308,72,34.2,0.0222,0.0093,0,1,0,0,0.076642,0.015625,36,0.7961,3.5871,0.3826,0.003331
74,4745,2823,0,0,3,1.9819,1,11.7,0,2818,4.32,0.9653,2924.6,5,1.0,48,0,1,886,0.001646,0.046,21.7391,73,35.7,0.022,0.0104,0,0,0,0,0.07113,0.015625,34,0.7803,3.6582,0.3835,0.003224
75,4745,3025,0,0,3,1.9988,1,11.6,3033,0,4.52,1.0334,2934.9,0,1.0,46,0,2,886,0.001506,0.04,0.0,74,38.1,0.0242,0.008,0,0,0,0,0.072727,0.015625,34,0.7852,3.7091,0.3849,0.003113
76,4744,2883,0,0,3,1.9784,1,11.7,2,2881,4.44,0.984,2930.0,2,1.0,45,2,3,886,0.001541,0.0425,3.9526,75,39.5,0.0236,0.0091,0,1,0,0,0.084942,0.015625,35,0.8161,3.7863,0.3862,0.003
77,4744,2883,2,5,3,1.9794,1,11.7,0,2873,4.41,0.9855,2925.5,10,1.0,47,2,0,886,0.001564,0.0543,39.0625,76,38.7,0.0234,0.0098,2,0,0,0,0.108527,0.015625,33,0.856,3.8677,0.3871,0.002887
78,4744,2865,3,5,1,1.9846,1,11.7,10,2846,4.44,0.9813,2919.7,19,1.0,49,3,1,943,0.00195,0.0395,63.9731,77,37.7,0.0232,0.0097,3,1,0,0,0.085526,0.015625,35,0.8173,3.9434,0.3868,0.002776
79,4744,2958,0,0,1,1.9486,2,11.7,2954,0,4.44,1.0118,2923.4,4,1.0,48,0,1,926,0.001875,0.0459,14.2857,78,39.5,0.0226,0.01,0,0,0,0,0.095406,0.015625,35,0.8362,4.0388,0.387,0.002669
80,4744,2909,0,0,0,1.9457,1,11.6,0,2909,4.47,0.9956,2922.0,0,1.0,47,0,1,916,0.001506,0.0488,0.0,79,39.6,0.0228,0.0113,0,0,0,0,0.105691,0.015625,34,0.8522,4.1363,0.3884,0.002566
81,4743,2886,0,0,0,1.9535,1,11.6,0,2886,4.46,0.9888,2918.6,0,1.0,44,0,3,887,0.001672,0.0426,0.0,80,41.3,0.0242,0.0085,0,2,0,0,0.069767,0.015625,33,0.776,4.1983,0.3889,0.002471
82,4743,2959,0,0,3,1.9056,1,11.6,2959,0,4.49,1.0125,2922.4,0,1.0,44,0,0,866,0.001413,0.0622,0.0,81,42.3,0.0248,0.0116,0,0,0,0,0.111111,0.015625,33,0.8594,4.3095,0.3906,0.002384
83,4743,2856,0,0,3,1.8568,1,11.6,2,2854,4.49,0.9794,2916.1,2,1.0,44,2,2,873,0.001561,0.0467,4.0323,82,41.4,0.0244,0.0094,0,0,0,0,0.093385,0.015625,32,0.8327,4.3912,0.3914,0.002307
