seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
789,24,4900,5100,2,3,"[3, 3]",0,0,0,1.7415,0.4133,0.25,0.1633,196
789,25,5100,5300,3,5,"[5, 4, 3]",0,0,0,1.611,0.4478,0.3062,0.1416,233
999,1,300,500,0,0,[],0,0,0,1.2812,0.5361,0.4482,0.0879,182
999,2,500,700,3,5,"[5, 3, 3]",0,0,0,1.6012,0.5209,0.3104,0.2105,190
999,3,700,900,1,4,[4],0,0,0,1.1725,0.538,0.495,0.043,186
999,4,900,1100,1,3,[3],0,0,0,1.1961,0.5716,0.4849,0.0867,196
999,5,1100,1300,5,5,"[5, 4, 4, 3, 3]",0,0,0,1.7076,0.469,0.2646,0.2044,181
999,6,1300,1500,4,5,"[5, 4, 3, 3]",0,0,0,1.5784,0.4542,0.3202,0.134,194
999,7,1500,1700,1,6,[6],0,0,0,1.4963,0.5011,0.3556,0.1455,213
999,8,1700,1900,4,5,"[5, 4, 4, 3]",0,0,0,1.5303,0.5355,0.341,0.1946,185
999,9,1900,2100,4,5,"[5, 4, 3, 3]",0,0,0,1.6467,0.5102,0.2908,0.2194,196
999,10,2100,2300,2,5,"[5, 4]",0,0,0,1.0939,0.5726,0.5289,0.0437,206
999,11,2300,2500,1,5,[5],0,0,0,1.3751,0.4748,0.4078,0.067,194
999,12,2500,2700,3,6,"[6, 4, 3]",0,0,0,1.5952,0.4107,0.313,0.0977,215
999,13,2700,2900,1,5,[5],0,0,0,1.3136,0.587,0.4342,0.1528,216
999,14,2900,3100,0,0,[],0,0,0,1.3739,0.4457,0.4083,0.0374,214
999,15,3100,3300,2,5,"[5, 4]",0,0,0,1.6055,0.4529,0.3086,0.1444,187
999,16,3300,3500,3,5,"[5, 3, 3]",0,0,0,1.6666,0.3732,0.2823,0.0909,198
999,17,3500,3700,1,3,[3],0,0,0,1.4532,0.4033,0.3742,0.0291,206
999,18,3700,3900,2,4,"[4, 3]",0,0,0,1.3885,0.5265,0.402,0.1244,225
999,19,3900,4100,2,4,"[4, 3]",0,0,0,1.2562,0.5604,0.459,0.1014,207
999,20,4100,4300,2,5,"[5, 3]",0,0,0,1.6967,0.4219,0.2693,0.1526,190
999,21,4300,4500,4,6,"[6, 4, 3, 3]",0,0,0,1.6562,0.4395,0.2867,0.1528,216
999,22,4500,4700,3,4,"[4, 4, 3]",0,0,0,1.8194,0.4048,0.2164,0.1884,207
999,23,4700,4900,3,4,"[4, 3, 3]",0,0,0,1.6039,0.4228,0.3092,0.1135,185
999,24,4900,5100,3,4,"[4, 4, 3]",0,0,0,1.6607,0.397,0.2848,0.1122,196
999,25,5100,5300,6,5,"[5, 4, 4, 3, 3]",0,0,0,1.7399,0.4232,0.2507,0.1726,226
