rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.002,123,15,3,4,0.15,0.546,-0.0559,0.1579,0.0,0.4985,-0.3448,-0.1108
0.002,123,18,4,3,-0.1275,-0.1275,0.0341,0.0,0.0386,0.0,-0.0872,-0.1258
0.002,123,22,3,4,-0.7255,-0.7255,0.0769,0.0769,0.0,0.145,0.0858,0.2308
0.002,314,1,3,4,-0.4131,-0.2769,0.0779,0.0018,-0.0889,0.1012,,
0.002,314,8,4,3,-1.2917,-1.2917,0.2143,0.0,0.1048,0.0,0.0589,-0.0459
0.002,314,12,3,4,-0.1318,0.3155,0.0765,0.2105,0.0,0.4188,0.0774,0.2099
0.002,314,22,4,3,-0.4165,-0.4165,0.1389,0.0,0.1394,0.0,0.0193,-0.1201
0.002,456,1,3,4,-0.4837,-0.5317,0.086,-0.0198,-0.0632,0.0218,,
0.002,456,2,4,3,0.8974,0.8974,-0.1213,0.0,0.0218,0.0,0.1028,0.081
0.002,456,3,3,4,0.5985,0.7524,-0.2107,0.0769,0.0,0.1158,-0.0056,0.0676
0.002,456,9,4,3,0.0945,0.0945,0.0677,0.0,0.1361,0.0,0.0569,-0.0792
0.002,456,11,3,4,0.886,1.1172,-0.3363,0.1429,0.0,0.1778,0.2556,0.3134
0.002,456,12,4,3,-1.7886,-2.0198,0.4238,-0.1429,0.1778,0.0,0.1665,0.1087
0.002,456,14,3,4,-0.0446,0.1175,0.1397,0.0588,0.0,0.0975,-0.198,-0.1513
0.002,456,15,4,3,-1.736,-1.8981,0.2353,-0.0588,0.0975,0.0,0.2369,0.1902
0.002,456,17,3,4,-0.4162,-0.1042,-0.0764,0.16,0.0,0.3799,-0.2673,-0.0882
0.002,789,2,3,4,0.0077,-0.0511,-0.0608,-0.0135,-0.0361,0.0168,0.0533,0.0538
0.002,789,3,4,3,-0.8469,-0.8469,0.1944,0.0,0.0168,0.0,0.1377,0.1209
0.002,789,5,3,4,-0.1176,0.3822,-0.0588,0.1176,0.0,0.373,0.3343,0.415
0.002,789,12,4,3,-1.4386,-1.6505,0.2452,-0.1538,0.1357,0.0,0.0898,0.0345
0.002,789,13,3,4,0.2063,0.5311,-0.0625,0.0625,0.0,0.2307,-0.4474,-0.334
0.002,789,19,4,3,0.111,0.111,-0.0903,0.0,0.1368,0.0,0.034,-0.1028
0.002,789,20,3,4,-0.803,-0.803,0.1654,0.0294,0.0,0.0846,0.0595,0.1441
0.002,999,2,3,4,-0.0617,-0.1506,-0.0115,-0.0294,-0.0133,0.0482,-0.091,-0.0518
0.002,999,3,4,3,-0.5415,-0.5415,0.1121,0.0,0.0482,0.0,0.1298,0.0816
0.002,999,4,3,4,-0.1955,0.2163,-0.0765,0.0909,0.0,0.2797,-0.0235,0.052
0.002,999,6,4,3,-1.0975,-1.0975,0.1667,-0.0556,0.0631,0.0,0.0176,-0.0455
0.002,999,11,3,4,-1.2372,-0.8653,0.2462,0.0102,0.0,0.1954,-0.0093,0.0217
0.002,999,15,4,3,0.2151,0.2151,0.0088,0.0,0.248,0.0,0.0885,-0.1595
0.002,999,16,3,4,-0.5341,-0.2397,0.0468,0.1111,0.0,0.2835,-0.0133,0.1367
0.002,999,18,4,3,-1.1424,-1.1424,0.25,0.0,0.1144,0.0,-0.0147,-0.1291
0.002,999,19,3,4,0.0464,0.5621,-0.2024,0.1429,0.0,0.3906,0.0722,0.1546
0.002,999,21,4,3,0.9864,0.9864,-0.1111,0.1111,0.1068,0.0,-0.052,-0.1588
0.002,999,24,3,4,0.8813,1.2955,-0.3,0.1,0.0,0.2817,0.4113,0.4863
0.002,1337,2,3,4,-0.7633,-0.8708,0.2377,-0.0286,-0.0166,0.0137,0.0109,0.0172
0.002,1337,5,4,3,0.3534,0.3534,-0.0667,0.0,0.0374,0.0,-0.1676,-0.205
0.002,1337,7,3,4,-0.2401,-0.0105,-0.0208,0.1667,0.0,0.1388,0.0463,0.1165
0.002,1337,12,4,3,1.1032,1.1032,-0.1992,0.0,0.134,0.0,0.2867,0.1527
0.002,1337,13,3,4,-1.263,-0.7799,0.3015,0.1667,0.0,0.4474,-0.1107,0.0145
0.002,1337,21,4,3,-1.6152,-1.6152,0.4444,0.0,0.0287,0.0,0.032,0.0033
0.002,1337,24,3,4,-0.202,0.1001,0.0125,0.1875,0.0,0.2965,-0.4388,-0.2835
0.002,2024,1,3,4,0.9267,0.903,-0.1854,-0.0086,-0.0874,0.0194,,
0.002,2024,4,4,3,-0.2784,-0.2784,0.0494,0.0,0.1006,0.0,0.0575,-0.0431
0.002,2024,6,3,4,0.1852,0.3164,0.0317,0.0952,0.0,0.1337,0.0035,0.1172
0.002,2024,9,4,3,-0.2394,-0.2394,-0.0571,0.0,0.017,0.0,-0.22,-0.237
0.002,2024,11,3,4,0.634,0.554,-0.1015,-0.04,-0.0124,0.058,0.1509,0.1698
0.002,2024,12,4,3,-0.9481,-0.9481,0.2948,0.0,0.058,0.0,0.0363,-0.0217
0.002,2024,13,3,4,0.2714,0.5327,-0.0965,0.1579,0.0,0.2764,0.0066,0.1532
0.002,2024,15,4,3,-0.4395,-0.4395,0.0909,0.0,0.0455,0.0,-0.1437,-0.1892
0.002,2024,17,3,4,0.7161,1.0143,-0.0833,0.1343,0.0,0.2449,-0.0914,-0.0335
0.002,2024,23,4,3,-0.0909,-0.0909,0.2556,0.1333,0.0772,0.0,-0.0222,-0.0994
0.002,2024,24,3,4,-0.3814,0.3822,-0.0667,0.1667,0.0,0.7039,-0.0151,0.1327
0.005,7,1,4,3,0.7344,0.5717,-0.1104,0.0284,0.1255,-0.0082,,
0.005,7,2,3,4,-0.4124,-0.5067,0.0485,-0.0576,-0.0082,0.0206,-0.0999,-0.088
0.005,7,13,4,3,0.2117,0.2117,-0.0462,0.0231,0.1444,0.0,-0.0704,-0.2148
0.005,7,14,3,4,0.8728,1.1023,-0.3,0.2333,0.0,0.2027,0.1824,0.2667
0.005,7,20,4,3,1.6645,1.6645,-0.2857,0.0,0.0814,0.0,0.07,-0.0114
0.005,7,21,3,4,-1.6645,-0.7462,0.2857,0.3333,0.0,0.7383,0.0,0.1125
0.005,7,24,4,3,-1.5303,-1.5303,0.3011,0.0,0.1336,0.0,0.3786,0.245
0.005,42,2,4,3,-0.0243,0.0183,0.006,-0.0008,0.0452,-0.0211,-0.0906,-0.1793
0.005,42,3,3,4,-0.9342,-0.158,0.0895,0.2395,-0.0211,0.828,0.3128,0.4617
0.005,55,16,4,3,-0.597,-0.597,0.1071,-0.0833,0.108,0.0,-0.2685,-0.3765
0.005,55,17,3,4,0.5946,1.203,-0.0446,0.25,0.0,0.6189,0.0817,0.2236
0.005,123,17,4,3,0.0,0.0,0.0,0.0,0.1564,0.0,-0.1989,-0.3553
0.005,123,18,3,4,1.1401,1.4393,-0.1765,0.1176,0.0,0.2152,0.3592,0.4067
0.005,123,24,4,3,-0.1094,-0.1094,0.3333,0.0,0.3955,0.0,0.2617,-0.1338
0.005,314,1,3,4,-0.1251,0.0383,0.0497,0.0288,-0.0007,0.2012,,
