seed,cid,n_core,v14_q0,lifespan,n_cognition,n_consciousness,n_skip,n_ingestions,c_max,C_at_run_end,final_state,n_con_bin
19,0,5,33,25000.0,74,7,39,7,67.0,67,hosted,5-9
19,6,5,34,25000.0,57,5,58,5,52.0,52,hosted,5-9
19,32,5,32,25000.0,75,8,54,8,67.0,67,hosted,5-9
19,50,5,33,25000.0,62,6,32,6,56.0,56,hosted,5-9
19,63,4,26,23500.0,53,6,44,6,47.0,0,reaped,5-9
19,68,5,32,25000.0,60,6,55,6,54.0,54,hosted,5-9
19,70,4,25,25000.0,57,8,36,8,49.0,49,hosted,5-9
19,97,5,34,23500.0,66,9,62,9,57.0,57,hosted,5-9
19,106,4,26,22500.0,44,5,71,5,39.0,39,hosted,5-9
19,113,5,34,22000.0,74,9,40,9,65.0,65,hosted,5-9
19,128,5,33,21000.0,72,8,38,8,64.0,64,hosted,5-9
19,131,7,49,20500.0,83,10,54,10,73.0,73,hosted,10-19
19,151,5,33,18000.0,49,6,53,6,43.0,43,hosted,5-9
19,163,5,33,16500.0,51,5,65,5,46.0,46,hosted,5-9
20,47,5,33,25000.0,54,6,80,6,48.0,48,hosted,5-9
20,74,4,25,16000.0,41,5,31,5,36.0,0,reaped,5-9
20,76,4,26,25000.0,70,9,56,9,61.0,61,hosted,5-9
20,82,5,32,20000.0,84,7,0,7,77.0,0,reaped,5-9
20,100,5,33,24500.0,38,5,97,5,33.0,33,hosted,5-9
20,101,4,26,24500.0,63,7,48,7,56.0,56,hosted,5-9
20,111,5,33,24000.0,46,6,92,6,40.0,40,hosted,5-9
20,122,5,35,23500.0,63,6,66,6,57.0,57,hosted,5-9
20,126,4,25,23000.0,55,7,66,7,48.0,48,hosted,5-9
20,152,5,33,20500.0,62,7,74,7,55.0,55,hosted,5-9
20,159,5,36,6000.0,41,7,0,7,29.0,0,reaped,5-9
20,160,5,33,11500.0,56,5,0,5,47.0,0,reaped,5-9
20,224,5,33,11500.0,61,7,45,7,54.0,54,hosted,5-9
21,24,5,33,25000.0,50,5,65,5,46.0,45,hosted,5-9
21,27,5,32,25000.0,64,6,50,6,58.0,58,hosted,5-9
21,28,5,32,23000.0,72,8,9,8,62.0,0,reaped,5-9
21,36,4,25,20000.0,51,6,21,6,44.0,0,reaped,5-9
21,44,5,33,25000.0,55,5,51,5,50.0,50,hosted,5-9
21,55,5,34,25000.0,68,6,49,6,62.0,62,hosted,5-9
21,79,5,33,22500.0,56,5,38,5,51.0,0,reaped,5-9
21,96,5,33,24500.0,67,8,30,8,59.0,59,hosted,5-9
21,100,5,34,21500.0,43,5,57,5,38.0,0,reaped,5-9
21,105,5,33,23000.0,58,9,49,9,49.0,49,hosted,5-9
21,118,5,34,21500.0,61,8,37,8,53.0,53,hosted,5-9
21,139,5,33,19000.0,50,5,67,5,45.0,45,hosted,5-9
22,30,4,26,25000.0,77,8,54,8,69.0,69,hosted,5-9
22,32,5,34,25000.0,61,7,56,7,54.0,54,hosted,5-9
22,36,5,33,25000.0,70,9,62,9,61.0,61,hosted,5-9
22,49,5,34,25000.0,68,6,60,6,62.0,62,hosted,5-9
22,65,5,34,25000.0,63,7,58,7,56.0,56,hosted,5-9
22,87,4,25,25000.0,43,7,54,7,36.0,36,hosted,5-9
22,112,5,33,22000.0,39,6,104,6,33.0,33,hosted,5-9
22,118,4,26,21500.0,68,8,59,8,60.0,60,hosted,5-9
22,159,5,33,18000.0,40,5,96,5,35.0,35,hosted,5-9
23,12,5,34,25000.0,49,5,69,5,44.0,44,hosted,5-9
23,29,5,34,25000.0,68,6,54,6,62.0,62,hosted,5-9
23,52,5,34,25000.0,96,15,27,15,81.0,81,hosted,10-19
23,80,5,34,25000.0,87,9,36,9,78.0,78,hosted,5-9
23,92,4,27,25000.0,71,9,43,9,62.0,62,hosted,5-9
23,94,5,34,25000.0,58,6,54,6,52.0,52,hosted,5-9
23,96,5,33,18000.0,79,7,0,7,70.0,0,reaped,5-9
23,140,5,33,18500.0,58,6,48,6,52.0,52,hosted,5-9
23,148,4,26,17500.0,65,13,33,13,52.0,52,hosted,10-19
23,167,5,33,15500.0,43,5,75,5,38.0,38,hosted,5-9
23,202,4,27,12500.0,55,6,38,6,49.0,49,hosted,5-9
23,209,5,33,12000.0,48,6,64,6,42.0,42,hosted,5-9
23,238,5,32,9000.0,41,6,55,6,35.0,35,hosted,5-9
