window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
111,4745,2986,0,0,3,1.6817,2,15.1,2983,0,4.47,1.0111,2953.2,3,1.0,40,0,2,780,0.001772,0.0588,12.8755,110,50.8,0.0275,0.0124,0,0,0,0,0.105042,0.015625,30,0.8512,5.9938,0.458,0.003529
112,4744,2862,0,0,3,1.5657,1,15.0,6,2852,4.38,0.972,2944.5,10,1.0,41,7,6,810,0.001787,0.0472,40.724,111,50.1,0.0259,0.0105,0,0,0,0,0.064378,0.015625,35,0.7573,6.0539,0.4576,0.003574
113,4743,2882,0,0,3,1.8453,1,15.1,4,2878,4.42,0.9808,2938.5,4,1.0,41,1,1,787,0.001722,0.05,14.218,112,51.1,0.0253,0.0091,0,0,0,0,0.077273,0.015625,32,0.7978,6.1311,0.4581,0.003616
114,4743,2910,0,0,3,1.9103,1,15.1,3,2907,4.5,0.9912,2935.8,3,1.0,39,0,2,779,0.001552,0.0546,13.1004,113,54.6,0.0289,0.0108,0,1,0,0,0.109244,0.015625,31,0.857,6.2404,0.4586,0.003656
115,4741,2943,0,0,3,1.9495,1,15.2,2940,0,4.45,1.0022,2936.5,3,1.0,38,0,1,756,0.001596,0.0471,16.0428,114,56.8,0.0276,0.0107,0,0,0,0,0.099476,0.015625,29,0.8429,6.3399,0.4593,0.003693
116,4740,2866,3,5,3,1.9347,1,15.2,14,2852,4.37,0.9782,2929.8,14,1.0,40,4,2,793,0.001807,0.0601,57.0175,115,54.8,0.0264,0.0115,2,0,0,0,0.072961,0.015625,29,0.7858,6.4128,0.4597,0.003728
117,4737,2824,1,5,3,1.8956,1,15.1,0,2819,4.45,0.9672,2919.7,5,1.0,41,1,0,799,0.00174,0.0517,21.645,116,54.5,0.0266,0.0115,1,0,0,0,0.094828,0.015625,30,0.8352,6.5076,0.46,0.00376
118,4737,2836,3,5,3,1.9345,2,15.1,0,2822,4.49,0.974,2911.7,14,1.0,43,3,1,861,0.00196,0.0566,53.8462,117,52.7,0.0246,0.0105,3,0,0,0,0.086792,0.015625,31,0.82,6.568,0.4606,0.003789
119,4737,2998,0,0,3,1.9469,2,15.1,2990,0,4.53,1.0277,2920.2,11,1.0,42,1,2,862,0.002038,0.0634,38.4615,118,55.0,0.0259,0.0114,0,0,0,0,0.08209,0.015625,31,0.8097,6.6427,0.4608,0.003814
120,4737,2919,0,0,3,1.8974,1,15.2,0,2909,4.51,0.9996,2920.1,10,1.0,42,0,0,842,0.001944,0.048,40.9836,119,56.0,0.0253,0.0101,0,0,0,0,0.08,0.015625,30,0.8047,6.7227,0.4613,0.003837
