seed,rate,window,n_C,k_star_D1,k_star_D2,J3_D1,J3_D2,J4_D1,J4_D2,H3_D1,H3_D2,H2_D1,dH32_D1,dH32_D2,dJ34_D1,none_ratio,mid_share,strong_share,weak_share,none_D2,weak_D2,mid_D2,strong_D2
123,0.0,24,15,3,3,0.5774,0.5774,0.5774,0.5774,1.5546,1.5546,0.9056,0.649,0.649,0.0,0.6667,0.1333,0.0,0.2,10,3,2,0
123,0.0,25,17,3,3,0.1047,0.1047,0.1047,0.1047,0.6402,0.6402,0.6402,0.0,0.0,0.0,0.9412,0.0,0.0588,0.0,16,0,0,1
314,0.0,1,108,3,3,-0.2196,-0.2196,-0.2196,-0.2196,1.0729,1.0729,0.7757,0.2972,0.2972,0.0,0.8519,0.0741,0.0185,0.0556,92,6,8,2
314,0.0,2,73,3,3,-0.1025,-0.1025,-0.1025,-0.1025,0.8892,0.8892,0.3612,0.528,0.528,0.0,0.8493,0.0274,0.0,0.1233,62,9,2,0
314,0.0,3,21,3,3,-0.1957,-0.1957,-0.1957,-0.1957,0.549,0.549,0.2762,0.2728,0.2728,0.0,0.9048,0.0,0.0476,0.0476,19,1,0,1
314,0.0,4,10,3,3,1.1228,1.1228,1.1228,1.1228,1.961,1.961,1.571,0.39,0.39,0.0,0.7,0.1,0.1,0.1,7,1,1,1
314,0.0,5,8,3,3,0.8214,0.8214,0.8214,0.8214,1.75,1.75,1.75,0.0,0.0,0.0,0.75,0.125,0.125,0.0,6,0,1,1
314,0.0,6,11,3,3,0.8148,0.8148,0.8148,0.8148,0.9457,0.9457,-0.0,0.9457,0.9457,0.0,0.6364,0.0,0.0,0.3636,7,4,0,0
314,0.0,7,8,3,3,-0.0404,-0.0404,-0.0404,-0.0404,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,0,0,0
314,0.0,8,18,0,0,-0.5,-0.5,-0.5,-0.5,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18,0,0,0
314,0.0,9,14,0,0,-0.5,-0.5,-0.5,-0.5,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,0,0,0
314,0.0,10,14,0,0,-0.5,-0.5,-0.5,-0.5,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,0,0,0
314,0.0,11,15,3,3,0.0388,0.0388,0.0388,0.0388,0.5665,0.5665,-0.0,0.5665,0.5665,0.0,0.8667,0.0,0.0,0.1333,13,2,0,0
314,0.0,12,13,3,3,0.2786,0.2786,0.2786,0.2786,0.8905,0.8905,-0.0,0.8905,0.8905,0.0,0.6923,0.0,0.0,0.3077,9,4,0,0
314,0.0,13,13,3,3,0.2375,0.2375,0.2375,0.2375,0.9612,0.9612,-0.0,0.9612,0.9612,0.0,0.6154,0.0,0.0,0.3846,8,5,0,0
314,0.0,14,16,3,3,0.8806,0.8806,0.8806,0.8806,1.6738,1.6738,1.3716,0.3022,0.3022,0.0,0.75,0.0625,0.125,0.0625,12,1,1,2
314,0.0,15,12,3,3,0.3853,0.3853,0.3853,0.3853,1.0409,1.0409,1.0409,0.0,0.0,0.0,0.8333,0.1667,0.0,0.0,10,0,2,0
314,0.0,16,13,3,3,0.4817,0.4817,0.4817,0.4817,0.9913,0.9913,0.3912,0.6001,0.6001,0.0,0.7692,0.0,0.0769,0.1538,10,2,0,1
314,0.0,17,11,3,3,-0.1447,-0.1447,-0.1447,-0.1447,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,0,0,0
314,0.0,18,10,3,3,-0.0957,-0.0957,-0.0957,-0.0957,0.469,0.469,-0.0,0.469,0.469,0.0,0.9,0.0,0.0,0.1,9,1,0,0
314,0.0,19,10,3,3,1.6512,1.6512,1.6512,1.6512,2.2464,2.2464,1.8464,0.4,0.4,0.0,0.5,0.2,0.1,0.2,5,2,2,1
314,0.0,20,18,3,3,1.0624,1.0624,1.0624,1.0624,1.5466,1.5466,1.5466,0.0,0.0,0.0,0.7222,0.0,0.2778,0.0,13,0,0,5
314,0.0,21,14,3,3,0.7971,0.7971,0.7971,0.7971,1.6267,1.6267,1.0892,0.5375,0.5375,0.0,0.7143,0.0714,0.0714,0.1429,10,2,1,1
314,0.0,22,18,3,3,0.1493,0.1493,0.1493,0.1493,0.8031,0.8031,0.8031,0.0,0.0,0.0,0.8889,0.1111,0.0,0.0,16,0,2,0
314,0.0,23,24,3,3,1.1624,1.1624,1.1624,1.1624,1.9,1.9,1.3965,0.5035,0.5035,0.0,0.625,0.2083,0.0,0.1667,15,4,5,0
314,0.0,24,14,3,3,0.5689,0.5689,0.5689,0.5689,0.8631,0.8631,-0.0,0.8631,0.8631,0.0,0.7143,0.0,0.0,0.2857,10,4,0,0
314,0.0,25,4,3,3,1.1376,1.1376,1.1376,1.1376,1.5,1.5,1.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0,3,0,0,1
456,0.0,1,106,3,3,-0.1289,-0.1289,-0.1289,-0.1289,1.1636,1.1636,0.9869,0.1767,0.1767,0.0,0.8679,0.0849,0.0189,0.0283,92,3,9,2
456,0.0,2,70,3,3,0.1124,0.1124,0.1124,0.1124,1.1511,1.1511,0.91,0.2411,0.2411,0.0,0.8286,0.1286,0.0,0.0429,58,3,9,0
456,0.0,3,28,3,3,-0.0933,-0.0933,-0.0933,-0.0933,0.7345,0.7345,0.7345,0.0,0.0,0.0,0.9286,0.0714,0.0,0.0,26,0,2,0
456,0.0,4,12,3,3,0.751,0.751,0.751,0.751,1.614,1.614,1.2516,0.3624,0.3624,0.0,0.75,0.1667,0.0,0.0833,9,1,2,0
456,0.0,5,13,3,3,0.04,0.04,0.04,0.04,0.3912,0.3912,-0.0,0.3912,0.3912,0.0,0.9231,0.0,0.0,0.0769,12,1,0,0
456,0.0,6,9,3,3,-0.3011,-0.3011,-0.3011,-0.3011,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,0,0,0
456,0.0,7,17,3,3,-0.2963,-0.2963,-0.2963,-0.2963,0.3228,0.3228,-0.0,0.3228,0.3228,0.0,0.9412,0.0,0.0,0.0588,16,1,0,0
