seed,rate,window,J3,H3,none_ratio,mid_share,strong_share,weak_share,n_C
1337,0.0,16,0.923,1.7048,0.7143,0.2381,0.0,0.0476,21
1337,0.0,17,1.3491,1.9329,0.4667,0.0,0.2667,0.2667,15
1337,0.0,18,0.5338,1.3784,0.7059,0.0,0.0588,0.2353,17
1337,0.0,19,0.3487,0.8905,0.6923,0.0,0.0,0.3077,13
1337,0.0,20,0.4856,1.2776,0.8182,0.0909,0.0,0.0909,22
1337,0.0,21,0.0969,0.7345,0.9286,0.0,0.0714,0.0,14
1337,0.0,22,1.5467,2.1133,0.4444,0.3333,0.1111,0.1111,9
1337,0.0,23,0.7674,1.2752,0.7778,0.0,0.1111,0.1111,18
1337,0.0,24,0.1661,0.7732,0.9231,0.0769,0.0,0.0,13
2024,0.0,1,-0.0039,1.2885,0.8182,0.0744,0.0331,0.0744,121
2024,0.0,2,-0.1416,1.0781,0.8732,0.0563,0.0141,0.0563,71
2024,0.0,3,0.2449,1.2332,0.7778,0.0556,0.0,0.1667,18
2024,0.0,4,0.1207,0.6723,0.8235,0.0,0.0,0.1765,17
2024,0.0,5,0.8396,1.7689,0.6667,0.0556,0.0556,0.2222,18
2024,0.0,6,0.365,1.2752,0.7778,0.1111,0.0,0.1111,18
2024,0.0,7,-0.0069,0.4855,0.8947,0.0,0.0,0.1053,19
2024,0.0,8,-0.3756,0.3621,0.931,0.0,0.0,0.069,29
2024,0.0,9,1.2008,1.8395,0.6,0.0,0.25,0.15,20
2024,0.0,10,0.6601,1.7056,0.7391,0.0435,0.087,0.1304,23
2024,0.0,11,0.4641,1.1033,0.8667,0.1333,0.0,0.0,15
2024,0.0,12,0.1118,0.469,0.9,0.0,0.0,0.1,20
2024,0.0,13,1.202,1.7783,0.7143,0.1429,0.1429,0.0,14
2024,0.0,15,0.9846,1.8943,0.6471,0.1176,0.0588,0.1765,17
2024,0.0,16,0.3903,1.2772,0.7647,0.0,0.0588,0.1765,17
2024,0.0,17,0.8704,1.7034,0.6471,0.1176,0.0,0.2353,17
2024,0.0,18,0.659,1.4047,0.7222,0.0,0.1667,0.1111,18
2024,0.0,19,0.6388,1.6729,0.6,0.0,0.2,0.2,15
2024,0.0,20,0.1187,1.0092,0.8125,0.0,0.0312,0.1562,32
2024,0.0,21,0.44,1.4473,0.8261,0.0435,0.087,0.0435,23
2024,0.0,22,0.7376,1.614,0.75,0.1667,0.0,0.0833,12
2024,0.0,23,-0.0017,-0.0,1.0,0.0,0.0,0.0,7
2024,0.0,25,0.6959,1.4911,0.7273,0.0,0.0909,0.1818,11
7,0.0005,2,0.0687,1.135,0.8261,0.0145,0.058,0.1014,69
7,0.0005,3,0.9063,1.9369,0.6667,0.0952,0.0952,0.1429,42
7,0.0005,7,0.6227,0.971,0.6,0.0,0.0,0.4,10
7,0.0005,14,0.9894,1.9477,0.65,0.15,0.05,0.15,20
7,0.0005,15,0.2128,0.5436,0.875,0.125,0.0,0.0,16
7,0.0005,17,0.8767,1.8074,0.7143,0.0714,0.0714,0.1429,14
7,0.0005,18,0.0069,-0.0,1.0,0.0,0.0,0.0,14
7,0.0005,19,1.4246,2.1029,0.6316,0.1053,0.1579,0.1053,19
7,0.0005,20,0.3411,0.5917,0.8571,0.0,0.0,0.1429,7
7,0.0005,21,0.9911,1.7272,0.6923,0.1538,0.0,0.1538,13
7,0.0005,22,0.1165,1.0389,0.8667,0.0667,0.0,0.0667,15
7,0.0005,23,-0.0566,0.469,0.9,0.1,0.0,0.0,10
7,0.0005,24,1.4705,2.1887,0.5,0.25,0.0833,0.1667,12
7,0.0005,25,0.6644,1.1488,0.8571,0.0,0.1429,0.0,14
42,0.0005,3,-0.0083,1.0389,0.8667,0.0667,0.0,0.0667,30
42,0.0005,4,0.2931,1.1863,0.8125,0.0,0.0625,0.125,16
42,0.0005,5,0.4597,1.4789,0.75,0.0,0.15,0.1,20
42,0.0005,6,0.2092,0.6292,0.8421,0.0,0.0,0.1579,19
42,0.0005,7,0.1839,0.8524,0.7222,0.0,0.0,0.2778,18
42,0.0005,8,0.0359,0.5907,0.9474,0.0526,0.0,0.0,19
42,0.0005,10,0.669,1.2244,0.6667,0.0,0.1111,0.2222,9
42,0.0005,11,0.5487,1.4466,0.7778,0.0,0.1111,0.1111,9
42,0.0005,12,0.0609,0.5033,0.8889,0.0,0.0,0.1111,9
42,0.0005,13,0.25,0.8659,0.9091,0.0,0.0909,0.0,11
42,0.0005,17,0.472,0.7642,0.7778,0.0,0.0,0.2222,18
42,0.0005,18,0.766,1.668,0.7368,0.1053,0.0526,0.1053,19
42,0.0005,24,0.3995,0.6194,0.8462,0.0,0.0,0.1538,13
42,0.0005,25,0.4212,0.9864,0.8889,0.1111,0.0,0.0,9
55,0.0005,3,0.5742,1.658,0.7667,0.0667,0.0667,0.1,30
55,0.0005,4,-0.0382,-0.0,1.0,0.0,0.0,0.0,12
55,0.0005,6,0.6564,1.1982,0.6923,0.0,0.1538,0.1538,13
55,0.0005,9,0.7178,1.371,0.8,0.2,0.0,0.0,10
55,0.0005,11,0.7319,1.4288,0.6316,0.0526,0.0,0.3158,19
55,0.0005,12,0.8666,1.8323,0.5333,0.1333,0.0,0.3333,15
55,0.0005,13,0.2883,0.8031,0.8889,0.1111,0.0,0.0,18
55,0.0005,15,0.3156,1.2754,0.8065,0.0323,0.0323,0.129,31
55,0.0005,16,0.0737,0.7732,0.9231,0.0769,0.0,0.0,13
