seed,rate,window,k_star,is_switch,J2,J3,J4,dJ34,dJ32,H2,H3,H4,dH32,dH43,none_ratio,mid_strong_ratio,n_C
42,0.0005,5,3,0,0.1955,0.4597,0.4597,0.0,0.2642,1.054,1.4789,1.4789,0.4249,0.0,0.75,0.15,20
42,0.0005,7,3,0,-0.5,0.1839,0.1839,0.0,0.6839,-0.0,0.8524,0.8524,0.8524,0.0,0.7222,0.0,18
42,0.0005,8,3,0,-0.1753,0.0359,0.0359,0.0,0.2112,0.5907,0.5907,0.5907,0.0,0.0,0.9474,0.0526,19
42,0.0005,9,2,1,0.2731,0.2731,0.2731,0.0,0.0,1.2075,1.2075,1.2075,0.0,0.0,0.8333,0.1667,12
42,0.0005,10,3,0,0.0092,0.669,0.669,0.0,0.6598,0.5033,1.2244,1.2244,0.7211,0.0,0.6667,0.1111,9
42,0.0005,11,3,0,0.2277,0.5487,0.5487,0.0,0.321,0.9864,1.4466,1.4466,0.4602,0.0,0.7778,0.1111,9
42,0.0005,8,3,0,-0.1753,0.0359,0.0359,0.0,0.2112,0.5907,0.5907,0.5907,0.0,0.0,0.9474,0.0526,19
42,0.0005,9,2,0,0.2731,0.2731,0.2731,0.0,0.0,1.2075,1.2075,1.2075,0.0,0.0,0.8333,0.1667,12
42,0.0005,10,3,1,0.0092,0.669,0.669,0.0,0.6598,0.5033,1.2244,1.2244,0.7211,0.0,0.6667,0.1111,9
42,0.0005,11,3,0,0.2277,0.5487,0.5487,0.0,0.321,0.9864,1.4466,1.4466,0.4602,0.0,0.7778,0.1111,9
42,0.0005,12,3,0,-0.1519,0.0609,0.0609,0.0,0.2128,-0.0,0.5033,0.5033,0.5033,0.0,0.8889,0.0,9
42,0.0005,12,3,0,-0.1519,0.0609,0.0609,0.0,0.2128,-0.0,0.5033,0.5033,0.5033,0.0,0.8889,0.0,9
42,0.0005,13,3,0,0.1781,0.25,0.25,0.0,0.0719,0.8659,0.8659,0.8659,0.0,0.0,0.9091,0.0909,11
42,0.0005,14,4,1,0.6319,1.1578,1.2825,0.1247,0.5259,1.5466,2.0458,2.0458,0.4992,0.0,0.6154,0.2308,13
42,0.0005,15,4,0,0.1036,0.3372,0.4128,0.0756,0.2336,1.0975,1.3863,1.4974,0.2888,0.1111,0.8333,0.1111,18
42,0.0005,16,4,0,0.643,1.0103,1.0971,0.0868,0.3673,1.6212,2.0649,2.0649,0.4437,0.0,0.6452,0.2258,31
42,0.0005,15,4,0,0.1036,0.3372,0.4128,0.0756,0.2336,1.0975,1.3863,1.4974,0.2888,0.1111,0.8333,0.1111,18
42,0.0005,16,4,0,0.643,1.0103,1.0971,0.0868,0.3673,1.6212,2.0649,2.0649,0.4437,0.0,0.6452,0.2258,31
42,0.0005,17,3,1,0.0003,0.472,0.472,0.0,0.4717,-0.0,0.7642,0.7642,0.7642,0.0,0.7778,0.0,18
42,0.0005,18,3,0,0.4531,0.766,0.766,0.0,0.3129,1.232,1.668,1.668,0.436,0.0,0.7368,0.1579,19
42,0.0005,19,4,0,0.1172,0.5356,0.5865,0.0509,0.4184,0.953,1.523,1.6282,0.57,0.1052,0.7368,0.1053,19
42,0.0005,17,3,0,0.0003,0.472,0.472,0.0,0.4717,-0.0,0.7642,0.7642,0.7642,0.0,0.7778,0.0,18
42,0.0005,18,3,0,0.4531,0.766,0.766,0.0,0.3129,1.232,1.668,1.668,0.436,0.0,0.7368,0.1579,19
42,0.0005,19,4,1,0.1172,0.5356,0.5865,0.0509,0.4184,0.953,1.523,1.6282,0.57,0.1052,0.7368,0.1053,19
42,0.0005,20,4,0,0.1593,0.3933,0.453,0.0597,0.234,1.1033,1.1033,1.1033,0.0,0.0,0.8667,0.1333,15
42,0.0005,21,2,0,0.988,0.988,0.988,0.0,0.0,1.8366,1.8366,1.8366,0.0,0.0,0.6667,0.3333,18
42,0.0005,19,4,0,0.1172,0.5356,0.5865,0.0509,0.4184,0.953,1.523,1.6282,0.57,0.1052,0.7368,0.1053,19
42,0.0005,20,4,0,0.1593,0.3933,0.453,0.0597,0.234,1.1033,1.1033,1.1033,0.0,0.0,0.8667,0.1333,15
42,0.0005,21,2,1,0.988,0.988,0.988,0.0,0.0,1.8366,1.8366,1.8366,0.0,0.0,0.6667,0.3333,18
42,0.0005,22,4,0,0.0974,0.8045,1.0619,0.2574,0.7071,-0.0,0.9183,1.3516,0.9183,0.4333,0.6667,0.0,9
42,0.0005,23,4,0,1.0505,1.156,1.2457,0.0897,0.1055,1.6858,1.6858,1.8676,0.0,0.1818,0.7273,0.2727,11
