window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
306,4625,2796,2,4,1,1.9822,2,14.5,14,2782,4.41,0.9888,2827.6,14,1.0,74,8,7,1376,0.000677,0.0247,32.8638,293,122.9,0.0137,0.0052,0,1,0,0,0.060538,0.015625,46,0.7419,12.9406,0.3499,0.003
307,4623,2881,2,5,3,1.9651,2,14.4,2860,0,4.56,1.017,2832.7,21,1.0,74,8,8,1367,0.000682,0.027,48.0769,294,123.8,0.0142,0.0057,1,0,0,0,0.062921,0.015625,46,0.7517,12.9721,0.3498,0.003
308,4620,2844,1,3,1,1.9566,2,14.3,2829,0,4.46,1.0036,2833.8,15,1.0,72,2,4,1352,0.000697,0.0333,34.7222,295,128.2,0.0138,0.0058,0,0,0,0,0.04878,0.015625,46,0.6797,13.012,0.3496,0.003
309,4620,2851,1,5,1,1.9426,2,14.4,2833,0,4.43,1.0055,2835.4,18,1.0,72,3,3,1346,0.000645,0.0304,44.7761,296,129.1,0.0147,0.0066,1,1,0,0,0.063084,0.015625,47,0.7523,13.0587,0.3494,0.003
310,4618,2861,2,5,1,1.9686,2,14.3,2853,0,4.61,1.0082,2837.9,8,1.0,71,2,3,1350,0.000711,0.043,21.0526,297,131.9,0.0144,0.0072,1,0,0,0,0.078481,0.015625,46,0.8009,13.1372,0.3492,0.003
311,4617,2882,1,5,3,1.9201,2,14.5,2877,0,4.52,1.014,2842.1,5,1.0,72,1,0,1356,0.000761,0.0337,12.3457,298,131.0,0.0145,0.0061,1,0,0,0,0.06747,0.015625,47,0.7684,13.1782,0.3489,0.003
312,4616,2740,0,0,3,1.8232,2,14.2,0,2740,4.34,0.9674,2832.3,0,1.0,70,0,2,1355,0.0005,0.0319,0.0,299,135.7,0.0153,0.007,0,1,0,0,0.058511,0.015625,47,0.733,13.226,0.3488,0.003
313,4615,2782,0,0,3,1.761,1,14.4,2,2775,4.35,0.9839,2827.6,7,1.0,73,7,4,1354,0.000495,0.032,18.0412,300,131.1,0.0143,0.0057,0,0,0,0,0.049261,0.015625,50,0.6828,13.2605,0.3486,0.003
314,4612,2817,0,0,3,1.8078,1,14.3,0,2817,4.48,0.9966,2826.5,0,1.0,72,0,1,1322,0.000608,0.0323,0.0,301,132.7,0.0146,0.0063,0,1,0,0,0.059701,0.015625,49,0.7383,13.3202,0.3483,0.003
315,4612,2759,3,5,3,1.9037,1,14.3,3,2746,4.42,0.9783,2820.1,13,1.0,73,3,2,1362,0.000522,0.0293,32.5,302,131.8,0.0141,0.0062,2,0,0,0,0.060976,0.015625,49,0.7438,13.3519,0.3481,0.003
316,4610,2750,2,5,1,1.8449,1,14.3,0,2745,4.35,0.9775,2813.4,5,1.0,74,2,1,1380,0.000677,0.0264,12.4069,303,131.0,0.0141,0.0052,1,0,0,0,0.069712,0.015625,48,0.7759,13.3832,0.3479,0.003
317,4610,2917,2,5,1,1.8265,2,14.2,2918,0,4.52,1.038,2824.7,14,1.0,76,2,0,1406,0.000659,0.0308,31.8182,304,128.5,0.0137,0.0059,2,0,0,0,0.085903,0.015625,48,0.8181,13.4162,0.3479,0.003
318,4608,2823,0,0,3,1.8878,2,14.4,0,2818,4.49,0.9994,2824.6,5,1.0,74,0,2,1397,0.000707,0.0334,12.5628,305,128.9,0.0137,0.006,0,0,0,0,0.062053,0.015625,47,0.7482,13.4448,0.3477,0.003
319,4608,2710,0,0,3,1.8683,1,14.3,0,2705,4.27,0.9632,2813.7,5,1.0,74,0,0,1388,0.00071,0.027,13.9665,306,129.9,0.0141,0.0057,0,0,0,0,0.078378,0.015625,47,0.8006,13.4908,0.3474,0.003
320,4608,2763,1,4,3,1.9788,1,14.4,4,2759,4.45,0.9837,2808.8,4,1.0,74,1,1,1394,0.000674,0.0259,9.8765,307,128.9,0.0144,0.006,0,1,0,0,0.070588,0.015625,47,0.7786,13.5214,0.3471,0.003
321,4606,2851,2,5,3,1.9439,1,14.2,2847,0,4.5,1.0136,2812.8,4,1.0,76,2,0,1418,0.000667,0.038,9.2593,308,126.4,0.0135,0.0062,1,0,0,0,0.060403,0.015625,47,0.7413,13.546,0.3468,0.003
322,4603,2866,1,5,3,1.9701,2,14.4,2863,0,4.43,1.0174,2818.0,4,1.0,75,1,2,1433,0.000618,0.0267,9.2166,309,129.0,0.0142,0.0056,1,1,0,0,0.051225,0.015625,48,0.695,13.5972,0.3465,0.003
323,4603,2808,2,5,3,1.9553,2,14.3,8,2800,4.48,0.9968,2817.1,8,1.0,77,2,0,1429,0.000689,0.0304,18.0587,310,126.7,0.0131,0.0058,1,0,0,0,0.043384,0.015625,48,0.6398,13.6406,0.346,0.003
324,4600,2782,3,5,1,1.9638,2,14.3,0,2772,4.48,0.9887,2813.7,10,1.0,80,5,2,1476,0.00083,0.0325,22.8311,311,122.7,0.0124,0.0051,1,1,0,0,0.060606,0.015625,49,0.7422,13.6709,0.3456,0.003
325,4599,2924,1,4,3,1.9137,2,14.4,2925,0,4.52,1.0401,2825.6,14,1.0,77,1,4,1470,0.000689,0.0274,30.9735,312,128.1,0.0129,0.0046,0,1,0,0,0.067368,0.015625,49,0.7681,13.713,0.3453,0.003
326,4598,2764,0,0,3,1.9689,2,14.1,4,2750,4.34,0.9802,2819.8,14,1.0,76,1,2,1437,0.000629,0.0276,34.0633,313,130.7,0.013,0.0059,0,1,0,0,0.073733,0.015625,47,0.7881,13.7453,0.3451,0.003
327,4598,2834,0,0,3,1.9904,1,14.7,2826,0,4.47,1.0046,2821.1,8,1.0,72,0,4,1405,0.000576,0.0327,18.2232,314,135.8,0.0139,0.0059,0,1,0,0,0.054466,0.015625,46,0.7131,13.7997,0.3448,0.003
