window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
144,4849,3103,1,5,3,1.9219,2,15.9,3100,0,4.61,1.0084,3085.2,11,1.0,76,7,7,1513,0.00076,0.0298,6.5737,143,65.5,0.014,0.0058,1,0,0,0,0.055556,0.015625,48,0.7188,8.1952,0.4158,27,4,45,750,1270,513,0.0005,0.9995,640.2,4.1,0.0504,0.025794,0.005168,4.9914,1.2,0
145,4848,3127,0,0,0,1.9483,2,16.1,3149,0,4.63,1.0207,3091.9,7,1.0,78,7,5,1475,0.001004,0.0283,16.129,144,63.1,0.0135,0.0054,0,0,0,0,0.050109,0.015625,47,0.6882,8.2236,0.4149,29,4,45,826,1245,520,0.0007,0.9993,648.3,4.0,0.0503,0.013072,0.00592,2.2079,1.1208,0
146,4846,3112,1,4,3,1.9526,1,15.9,3120,0,4.6,1.0094,3095.0,4,1.0,78,1,1,1459,0.000982,0.0244,9.2593,145,64.1,0.0134,0.0052,0,0,0,0,0.051111,0.015625,47,0.6943,8.2502,0.4139,29,4,45,771,1252,493,0.0014,0.9986,664.9,3.8,0.0503,0.004444,0.00578,0.769,0.9769,0
147,4846,2957,0,0,3,1.9767,1,15.7,4,2948,4.5,0.9595,3081.8,9,1.0,76,5,7,1452,0.0008,0.027,21.4797,146,66.1,0.0136,0.0057,0,0,0,0,0.053933,0.015625,47,0.7103,8.2772,0.4132,29,5,42,729,1209,499,0.0007,0.9993,726.2,4.0,0.0503,0.011236,0.006299,1.7836,1.0784,0
148,4846,3133,3,5,0,1.9657,1,15.7,3154,0,4.62,1.0264,3090.4,18,1.0,77,3,2,1452,0.000908,0.0381,39.9113,147,65.2,0.0135,0.0058,1,1,0,0,0.072034,0.015625,48,0.7831,8.3069,0.4123,28,4,45,793,1245,523,0.0009,0.9991,684.0,3.9,0.0509,0.004237,0.006103,0.6943,0.9694,0
149,4846,3027,0,0,3,1.9342,1,15.7,4,3023,4.48,0.9814,3084.4,4,1.0,77,0,0,1451,0.000762,0.0256,8.8692,148,66.2,0.0133,0.0053,0,0,0,0,0.059701,0.015625,48,0.7383,8.3346,0.4116,28,4,45,794,1195,492,0.0007,0.9993,710.3,3.9,0.0509,0,0.005522,0.0,0.9,0
150,4844,3063,5,5,3,1.9918,1,15.9,13,3042,4.54,0.9937,3082.3,21,1.0,82,11,6,1527,0.000729,0.0255,45.045,149,63.0,0.0125,0.0053,1,0,0,0,0.038217,0.015625,51,0.5911,8.3707,0.4107,28,4,50,763,1188,547,0.0011,0.9989,703.2,3.8,0.0506,0.010616,0.006007,1.7672,1.0767,0
151,4842,2990,3,5,1,1.9137,1,16.0,5,2965,4.58,0.9728,3073.5,25,1.0,83,6,5,1558,0.000947,0.0255,52.8541,150,61.9,0.0128,0.0055,2,1,0,0,0.05098,0.015625,52,0.6935,8.3864,0.4094,26,3,54,741,1211,469,0.0012,0.9988,703.8,3.9,0.0505,0.009804,0.006369,1.5394,1.0539,0
152,4841,3080,2,3,3,1.9002,2,15.9,3066,0,4.65,1.0048,3075.1,24,1.0,86,8,5,1586,0.000911,0.0234,46.332,151,60.5,0.0123,0.0046,0,1,0,0,0.039568,0.015625,53,0.6051,8.4025,0.4079,27,3,56,809,1240,466,0.0009,0.9991,791.2,3.8,0.0505,0.008993,0.006618,1.3587,1.0359,0
153,4836,2974,2,5,3,1.9297,2,15.9,6,2952,4.46,0.9702,3065.5,22,1.0,86,3,3,1597,0.000956,0.0288,45.2586,152,61.3,0.0125,0.0051,2,1,0,0,0.037037,0.015625,54,0.5781,8.4231,0.4065,28,2,56,762,1183,442,0.0009,0.9991,784.8,3.7,0.0505,0.00823,0.006772,1.2154,1.0215,0
