seed,window,rate,k_star,J_star,type_count,H,drift
1337,2,0.0,3,-0.0957,4,0.905,0.1603
1337,3,0.0,3,0.1337,4,0.9701,0.3246
1337,4,0.0,3,1.1309,5,1.9595,0.4639
1337,5,0.0,3,0.0816,1,-0.0,0.5816
1337,6,0.0,3,0.0713,4,0.9274,0.3049
1337,7,0.0,3,0.2174,4,1.2087,0.1697
1337,8,0.0,3,-0.1197,1,-0.0,0.3803
1337,9,0.0,2,1.445,4,1.9406,0.6654
1337,10,0.0,3,0.5362,4,1.2366,0.4606
1337,11,0.0,3,-0.115,1,-0.0,0.385
1337,12,0.0,3,0.2066,4,1.0389,0.3287
1337,13,0.0,3,1.164,3,1.5683,0.5957
1337,14,0.0,3,0.8129,4,1.3355,0.6384
1337,15,0.0,3,0.4447,4,1.2075,0.3982
1337,16,0.0,3,0.923,4,1.7048,0.3792
1337,17,0.0,3,1.349,4,1.9329,0.5771
1337,18,0.0,3,0.5337,4,1.3784,0.3163
1337,19,0.0,3,0.3487,2,0.8905,0.2507
1337,20,0.0,3,0.4856,4,1.2776,0.369
1337,21,0.0,3,0.0969,3,0.7345,0.3624
1337,22,0.0,3,1.5467,5,2.1133,0.7259
1337,23,0.0,3,0.7674,4,1.2752,0.6532
1337,24,0.0,3,0.1661,3,0.7732,0.3929
1337,25,0.0,2,1.049,4,1.7899,0.4201
2024,1,0.0,3,-0.004,5,1.2885,
2024,2,0.0,3,-0.1417,5,1.0781,0.0727
2024,3,0.0,3,0.2448,4,1.2332,0.1726
2024,4,0.0,3,0.1207,2,0.6723,0.2409
2024,5,0.0,3,0.8396,5,1.7689,0.3632
2024,6,0.0,3,0.365,4,1.2752,0.2508
2024,7,0.0,3,-0.0069,2,0.4855,0.3001
2024,8,0.0,3,-0.3756,2,0.3621,0.0548
2024,9,0.0,3,1.2008,4,1.8395,0.5223
2024,10,0.0,3,0.6601,5,1.7056,0.247
2024,11,0.0,3,0.4641,3,1.1033,0.3608
2024,12,0.0,3,0.1118,2,0.469,0.4353
2024,13,0.0,3,1.2019,4,1.7783,0.5846
2024,14,0.0,2,0.1759,3,0.8167,0.3592
2024,15,0.0,3,0.9846,5,1.8943,0.3828
2024,16,0.0,3,0.3903,4,1.2772,0.2741
2024,17,0.0,3,0.8704,4,1.7034,0.328
2024,18,0.0,3,0.659,4,1.4047,0.4153
2024,19,0.0,3,0.6388,4,1.6729,0.1269
2024,20,0.0,3,0.1187,4,1.0092,0.2705
2024,21,0.0,3,0.44,5,1.4473,0.2852
2024,22,0.0,3,0.7376,4,1.614,0.2846
2024,23,0.0,3,-0.0017,1,-0.0,0.4983
2024,24,0.0,2,0.1498,4,0.9934,0.3174
2024,25,0.0,3,0.6958,4,1.4911,0.3657
7,1,0.0005,0,-0.5,1,-0.0,
7,2,0.0005,3,0.0686,5,1.135,0.2261
7,3,0.0005,3,0.9063,5,1.9369,0.2619
7,4,0.0005,4,0.6281,4,1.4838,0.3053
7,5,0.0005,2,0.0526,4,1.0583,0.1553
7,6,0.0005,4,0.0334,5,1.0144,0.3115
7,7,0.0005,3,0.6227,2,0.971,0.4442
7,8,0.0005,4,0.6512,4,1.232,0.5802
7,9,0.0005,4,1.2636,4,1.7925,0.6321
7,10,0.0005,4,1.0218,4,1.4183,0.7645
7,11,0.0005,4,0.704,5,1.5059,0.4906
7,12,0.0005,4,1.6693,6,2.4591,0.6139
7,13,0.0005,4,0.5623,4,1.1401,0.5832
7,14,0.0005,3,0.9894,5,1.9477,0.3342
7,15,0.0005,3,0.2128,2,0.5436,0.4617
7,16,0.0005,2,0.029,3,0.8167,0.2123
7,17,0.0005,3,0.8767,5,1.8074,0.3618
7,18,0.0005,3,0.0069,1,-0.0,0.5069
7,19,0.0005,3,1.4245,5,2.1029,0.6141
7,20,0.0005,3,0.3411,2,0.5917,0.5419
7,21,0.0005,3,0.991,4,1.7272,0.4248
7,22,0.0005,3,0.1164,4,1.0389,0.2385
7,23,0.0005,3,-0.0566,2,0.469,0.2669
7,24,0.0005,3,1.4705,5,2.1887,0.5743
7,25,0.0005,3,0.6644,3,1.1488,0.5156
42,1,0.0005,0,-0.5,1,-0.0,
42,2,0.0005,4,0.1973,5,1.1983,0.2915
42,3,0.0005,3,-0.0084,4,1.0389,0.1137
42,4,0.0005,3,0.2931,4,1.1863,0.2678
42,5,0.0005,3,0.4597,4,1.4789,0.1418
42,6,0.0005,3,0.2091,2,0.6292,0.3724
42,7,0.0005,3,0.1839,2,0.8524,0.124
42,8,0.0005,3,0.0359,3,0.5907,0.4452
42,9,0.0005,2,0.273,4,1.2075,0.2265
42,10,0.0005,3,0.669,3,1.2244,0.4446
42,11,0.0005,3,0.5486,4,1.4466,0.263
42,12,0.0005,3,0.0609,2,0.5033,0.3501
42,13,0.0005,3,0.25,3,0.8659,0.3841
42,14,0.0005,4,1.2824,5,2.0458,0.5291
42,15,0.0005,4,0.4128,6,1.4974,0.3191
42,16,0.0005,4,1.0971,5,2.0649,0.3247
