window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
11,5000,3183,2,4,0,1.9758,2,15.8,6,3169,4.62,0.9615,3310.4,14,1.0,115,7,11,1194,0.001765,0.0348,36.3128,10,8.7,0.0166,0.0056,0,0,0,0,0.042781,0.015625,57,0.6348,0.5145,0.3017,47,32,36,794,1295,536,1.0,0.0,0,0,0,0.008021,0.010303,0.7786,1.0,1
12,5000,3270,1,3,3,1.9529,2,15.8,0,3265,4.7,0.9897,3304.2,5,1.0,113,6,8,1143,0.001843,0.0281,13.4771,11,9.3,0.0148,0.0049,0,0,0,0,0.048593,0.015625,58,0.6785,0.5477,0.3,45,33,35,817,1284,552,1.0,0.0,0,0,0,0.002558,0.009111,0.2807,1.0,1
13,5000,3231,0,0,3,1.966,2,15.9,1,3230,4.73,0.981,3293.7,1,1.0,101,1,13,1079,0.001979,0.0409,3.0211,12,10.6,0.0162,0.0064,0,0,0,0,0.055556,0.015625,55,0.7188,0.5916,0.2998,43,27,31,826,1287,545,1.0,0.0,0,0,0,0.005848,0.008645,0.6765,1.0,1
14,5000,3266,3,5,1,1.9481,1,15.9,2,3255,4.62,0.9927,3290.0,11,1.0,100,5,6,1076,0.001891,0.04,33.033,13,11.1,0.018,0.0063,1,0,0,0,0.057143,0.015625,53,0.7266,0.6487,0.3043,43,26,31,747,1356,534,1.0,0.0,0,0,0,0.0,0.007492,0.0,1.0,1
15,5000,3235,3,5,2,1.9289,1,15.9,5,3221,4.53,0.9853,3283.2,14,1.0,98,5,7,1098,0.001923,0.0342,38.2353,14,11.8,0.0205,0.0066,1,0,0,0,0.054131,0.015625,54,0.7113,0.7028,0.3067,43,25,30,828,1317,517,1.0,0.0,0,0,0,0.008547,0.007624,1.1211,1.0,1
16,5000,3092,0,0,1,1.9313,2,15.8,0,3087,4.52,0.9483,3260.7,5,1.0,87,0,11,1000,0.002042,0.0536,16.2866,15,12.7,0.0221,0.0082,0,0,0,0,0.059937,0.015625,50,0.7393,0.7596,0.3106,40,20,27,782,1247,499,1.0,0.0,0,0,0,0.003155,0.007098,0.4444,1.0,1
17,5000,3131,3,5,3,1.8823,1,15.9,2,3124,4.57,0.9645,3246.3,7,1.0,85,3,5,1009,0.002065,0.0391,20.1729,16,13.3,0.0221,0.0067,1,0,0,0,0.061453,0.015625,49,0.7457,0.8155,0.3143,38,18,29,808,1243,514,1.0,0.0,0,0,0,0.0,0.00631,0.0,1.0,1
18,5000,3276,3,4,3,1.8953,1,16.0,3281,0,4.68,1.014,3251.6,16,1.0,81,3,7,1001,0.002181,0.0369,46.6472,17,13.8,0.0206,0.0073,0,0,0,0,0.090909,0.015625,48,0.8281,0.8751,0.3194,37,15,29,839,1274,571,1.0,0.0,0,0,0,0.002841,0.005944,0.4779,1.0,1
19,5000,3103,1,5,3,1.8959,2,16.2,3,3090,4.52,0.9587,3236.7,13,1.0,79,1,3,988,0.002151,0.039,43.9189,18,14.4,0.0182,0.0083,1,0,0,0,0.084416,0.015625,47,0.8149,0.9173,0.3228,36,14,29,762,1272,466,1.0,0.0,0,0,0,0.0,0.00535,0.0,1.0,1
20,5000,3231,1,4,1,1.8903,2,15.9,8,3223,4.61,0.9984,3236.2,8,1.0,78,3,4,980,0.002233,0.0447,28.0702,19,14.7,0.0254,0.0089,0,0,0,0,0.072165,0.015625,47,0.7835,0.962,0.3265,37,13,28,847,1244,540,1.0,0.0,0,0,0,0.0,0.00484,0.0,0.5,0
21,5000,3257,1,4,1,1.877,2,15.8,3266,0,4.6,1.012,3240.3,13,1.0,79,8,7,996,0.001044,0.0369,41.8006,20,14.9,0.0204,0.0078,0,0,0,0,0.064615,0.015625,49,0.7582,1.0174,0.3291,39,13,27,829,1303,545,1.0,0.0,0,0,0,0.003077,0.004673,0.6585,0.8293,0
22,5000,3238,0,0,3,1.9067,2,16.0,3,3225,4.61,0.9994,3240.1,13,1.0,73,0,6,933,0.001804,0.0345,42.2078,21,15.7,0.0181,0.0074,0,0,0,0,0.053292,0.015625,46,0.7068,1.0676,0.332,36,11,26,815,1271,537,1.0,0.0,0,0,0,0.0,0.004228,0.0,0.5,0
23,5000,3113,0,0,3,1.971,1,15.9,7,3097,4.52,0.9644,3228.0,16,1.0,75,4,2,937,0.001017,0.0476,57.554,22,16.2,0.0217,0.0081,0,0,0,0,0.07483,0.015625,46,0.7912,1.122,0.3368,36,14,25,785,1250,529,1.0,0.0,0,0,0,0.0,0.003825,0.0,0.5,0
24,5000,3151,2,5,3,1.9816,1,15.8,9,3138,4.62,0.9784,3220.6,13,1.0,72,4,7,981,0.000924,0.0362,38.3275,23,17.6,0.0176,0.0072,1,0,0,0,0.055921,0.015625,46,0.7206,1.1779,0.3391,34,13,25,812,1270,488,1.0,0.0,0,0,0,0.016447,0.005027,3.2718,1.5,0
