window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
61,4921,3134,2,5,3,1.904,1,16.2,3,3126,4.55,0.9952,3149.0,8,1.0,58,5,1,1011,0.001192,0.0315,26.1438,60,36.2,0.0193,0.0074,1,0,0,0,0.07571,0.015625,40,0.7936,4.7542,0.4234,30,6,22,776,1237,524,0.0011,0.9989,650.0,3.4,0.0514,0.003155,0.005214,0.605,1.1185,0
62,4917,3133,1,3,3,1.9414,1,16.2,3,3124,4.64,0.9954,3147.5,9,1.0,57,4,5,1020,0.001621,0.0346,26.4026,61,36.6,0.0209,0.0078,0,1,0,0,0.084906,0.015625,41,0.816,4.8391,0.4239,30,7,20,801,1219,509,0.0005,0.9995,669.5,3.5,0.053,0.015723,0.006215,2.5298,0.8,0
63,4914,3092,2,5,3,1.8993,2,16.2,9,3078,4.52,0.984,3142.2,14,1.0,56,2,3,1007,0.001176,0.0455,47.7816,62,37.1,0.0205,0.0084,1,0,0,0,0.103896,0.015625,38,0.8496,4.943,0.4248,29,7,20,765,1235,530,0.0011,0.9989,648.9,3.6,0.0522,0.003247,0.005933,0.5473,1.1358,0
64,4912,3148,0,0,3,1.9724,2,16.2,3159,0,4.67,1.006,3144.2,4,1.0,53,0,3,992,0.00177,0.042,12.6183,63,40.0,0.021,0.0088,0,0,0,0,0.069069,0.015625,37,0.7738,5.0031,0.4256,28,5,20,838,1292,459,0.0005,0.9995,636.7,3.8,0.0525,0.009009,0.006226,1.4471,0.8659,0
65,4908,3149,2,5,1,1.9767,1,16.2,3136,0,4.64,1.0017,3144.7,14,1.0,55,2,0,1011,0.001325,0.0393,48.2759,64,39.5,0.0195,0.0081,2,0,0,0,0.068852,0.015625,39,0.7731,5.0719,0.4254,29,5,21,784,1221,544,0.0015,0.9985,616.0,3.7,0.0523,0,0.005633,0.0,1.2,0
66,4905,3174,0,0,3,1.9586,1,16.2,3197,0,4.68,1.0165,3150.2,5,1.0,54,0,1,1010,0.00198,0.0515,15.4799,65,41.1,0.0217,0.0105,0,0,0,0,0.087879,0.015625,39,0.8222,5.1598,0.4254,28,5,21,806,1251,517,0.0012,0.9988,589.5,3.7,0.0525,0.00303,0.005385,0.5628,1.1312,0
67,4899,3129,0,0,3,1.9604,1,16.1,5,3114,4.64,0.9939,3148.2,15,1.0,55,10,9,989,0.001672,0.0425,38.5757,66,39.4,0.021,0.0083,0,2,0,0,0.070822,0.015625,40,0.7794,5.2306,0.4247,28,6,21,776,1229,549,0.0005,0.9995,594.4,3.7,0.0534,0.016997,0.006491,2.6187,0.8,0
68,4895,3142,0,0,3,1.9737,1,16.1,4,3133,4.65,0.9982,3147.6,9,1.0,53,0,2,973,0.001108,0.0397,24.055,67,41.8,0.0208,0.0081,0,0,0,0,0.066225,0.015625,40,0.7641,5.2969,0.424,27,5,21,805,1266,471,0.0008,0.9992,552.8,3.7,0.0539,0.009934,0.006819,1.4569,0.8629,0
69,4890,3082,2,4,1,1.9666,1,16.0,5,3073,4.55,0.9811,3141.3,9,1.0,56,8,5,1020,0.001287,0.0511,26.6667,68,40.5,0.0216,0.0092,0,0,0,0,0.070288,0.015625,41,0.7777,5.3671,0.4234,29,5,22,773,1275,499,0.0008,0.9992,596.2,3.7,0.0527,0.019169,0.007995,2.3977,0.8,0
70,4886,3088,0,0,3,1.9737,1,16.0,2,3086,4.62,0.9846,3136.2,2,1.0,53,2,5,1000,0.001126,0.0417,0.0,69,42.9,0.0204,0.0085,0,0,0,0,0.116071,0.015625,39,0.8654,5.4832,0.4236,26,5,22,790,1261,463,0.0003,0.9997,550.8,3.8,0.0518,0.020833,0.009218,2.2602,0.8,0
