cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,30,0.8824,0.6479,0.8303,16.3522,0.9118,0.6757,0.8601,12.8866,0.0294,0.0279,0.0298,-3.4656,loss_familiarity,1,hosted
2,30,0.9118,0.6308,0.8617,13.0091,0.8824,0.6473,0.8336,9.6408,-0.0294,0.0166,-0.0281,-3.3684,loss_familiarity,1,hosted
9,30,0.8235,0.6364,0.8511,8.0436,0.8235,0.688,0.8219,6.4878,0.0,0.0516,-0.0292,-1.5559,,0,hosted
10,30,0.6471,0.714,0.8089,9.1494,0.7059,0.6323,0.8552,9.063,0.0588,-0.0817,0.0463,-0.0864,,0,hosted
19,30,0.8529,0.6155,0.8233,12.5215,0.9118,0.6377,0.8619,7.4733,0.0588,0.0222,0.0386,-5.0481,loss_familiarity,1,hosted
22,30,0.9412,0.6678,0.8655,12.3412,1.0,0.6084,0.8261,7.191,0.0588,-0.0593,-0.0395,-5.1502,loss_familiarity,1,hosted
26,30,0.7353,0.726,0.8087,8.3975,0.7059,0.6485,0.7993,8.5313,-0.0294,-0.0775,-0.0093,0.1338,,0,hosted
41,30,1.0,0.674,0.8549,9.8545,1.0,0.6262,0.8258,7.6502,0.0,-0.0478,-0.0292,-2.2043,loss_familiarity,1,hosted
42,30,1.0,0.7113,0.8582,13.9471,1.0,0.6857,0.8485,10.8936,0.0,-0.0256,-0.0098,-3.0535,loss_familiarity,1,hosted
44,30,0.6765,0.7056,0.8463,5.8422,0.6765,0.5874,0.788,6.8205,0.0,-0.1182,-0.0583,0.9783,loss_stability,1,hosted
52,30,0.5882,0.6776,0.8477,6.46,0.6176,0.6501,0.8006,4.2685,0.0294,-0.0275,-0.0472,-2.1915,loss_familiarity,1,hosted
82,30,0.7059,0.6849,0.8621,12.8093,0.7647,0.7012,0.8601,15.5083,0.0588,0.0163,-0.002,2.699,gain_familiarity,1,hosted
86,30,0.7059,0.7301,0.8624,17.4705,0.7059,0.656,0.8479,16.1592,0.0,-0.0742,-0.0145,-1.3112,,0,hosted
88,30,0.1176,0.6434,0.8117,7.385,0.1176,0.7145,0.7847,7.8032,0.0,0.0711,-0.027,0.4183,,0,hosted
90,30,0.2941,0.7176,0.8244,8.0921,0.2941,0.6534,0.8252,8.1238,0.0,-0.0642,0.0008,0.0317,,0,hosted
92,30,0.1176,0.6792,0.7777,7.0433,0.2059,0.698,0.7216,6.7665,0.0882,0.0188,-0.0561,-0.2767,,0,hosted
94,30,0.1765,0.6731,0.7443,26.1993,0.2059,0.6572,0.7926,13.3538,0.0294,-0.0159,0.0483,-12.8455,loss_familiarity,1,hosted
