seed,plb,rate,quiet,dom_k,k_dist,switches,switch_rate_per100,first_half_dom,second_half_dom,stable,n_windows,elapsed
2024,0.01,0.001,5000,4,"{'0': 1, '4': 16, '3': 7, '1': 1}",9,9.0,4,4,True,25,28.5
314,0.01,0.001,5000,4,"{'3': 8, '4': 14, '1': 2, '2': 1}",9,9.0,3,4,False,25,28.7
42,0.01,0.001,5000,4,"{'0': 1, '4': 13, '3': 9, '2': 1, '1': 1}",8,8.0,4,3,False,25,28.6
456,0.01,0.001,5000,3,"{'3': 14, '0': 1, '4': 10}",6,6.0,4,3,False,25,29.0
55,0.01,0.001,5000,3,"{'0': 2, '4': 10, '3': 12, '2': 1}",9,9.0,3,4,False,25,29.1
7,0.01,0.001,5000,4,"{'0': 1, '3': 5, '4': 13, '1': 3, '2': 3}",10,10.0,4,4,True,25,29.0
789,0.01,0.001,5000,4,"{'0': 1, '3': 11, '4': 13}",6,6.0,3,4,False,25,29.0
999,0.01,0.001,5000,3,"{'3': 15, '1': 1, '4': 9}",11,11.0,3,3,True,25,29.0
123,0.01,0.002,5000,4,"{'3': 8, '4': 13, '1': 4}",11,11.0,3,4,False,25,29.1
1337,0.01,0.002,5000,4,"{'0': 1, '4': 18, '3': 6}",7,7.0,4,4,True,25,28.7
2024,0.01,0.002,5000,4,"{'0': 1, '4': 18, '1': 2, '3': 3, '2': 1}",10,10.0,4,4,True,25,29.2
314,0.01,0.002,5000,4,"{'4': 18, '3': 4, '0': 1, '1': 1, '2': 1}",7,7.0,4,4,True,25,28.8
42,0.01,0.002,5000,4,"{'4': 20, '1': 1, '3': 4}",6,6.0,4,4,True,25,29.3
456,0.01,0.002,5000,4,"{'4': 19, '0': 1, '3': 4, '2': 1}",10,10.0,4,4,True,25,29.0
55,0.01,0.002,5000,4,"{'0': 1, '4': 17, '3': 7}",10,10.0,4,4,True,25,29.1
7,0.01,0.002,5000,4,"{'0': 1, '4': 17, '3': 5, '1': 2}",8,8.0,4,4,True,25,28.6
789,0.01,0.002,5000,4,"{'1': 2, '4': 20, '2': 1, '3': 2}",8,8.0,4,4,True,25,29.0
999,0.01,0.002,5000,4,"{'3': 6, '4': 18, '0': 1}",11,11.0,4,4,True,25,28.8
123,0.01,0.005,5000,4,"{'4': 23, '0': 1, '3': 1}",3,3.0,4,4,True,25,27.3
1337,0.01,0.005,5000,4,"{'1': 1, '4': 23, '3': 1}",3,3.0,4,4,True,25,27.0
2024,0.01,0.005,5000,4,"{'4': 23, '3': 2}",2,2.0,4,4,True,25,26.9
314,0.01,0.005,5000,4,"{'4': 23, '1': 1, '3': 1}",4,4.0,4,4,True,25,27.3
42,0.01,0.005,5000,4,"{'0': 1, '4': 24}",1,1.0,4,4,True,25,27.3
456,0.01,0.005,5000,4,{'4': 25},0,0.0,4,4,True,25,27.2
55,0.01,0.005,5000,4,{'4': 25},0,0.0,4,4,True,25,27.0
7,0.01,0.005,5000,4,"{'0': 1, '4': 21, '3': 3}",4,4.0,4,4,True,25,27.1
789,0.01,0.005,5000,4,{'4': 25},0,0.0,4,4,True,25,27.5
999,0.01,0.005,5000,4,{'4': 25},0,0.0,4,4,True,25,27.2
