seed,rate,window,k_star,J_star,eta,type_count_kstar,H_kstar,drift_kstar,flags
999,0.0,9,2,0.6167,0.4827,4,1.4838,0.2939,low_eta
999,0.0,10,2,1.0926,0.4827,4,1.871,0.3826,low_eta
999,0.0,11,2,0.4452,0.4827,4,1.1161,0.4901,low_eta
999,0.0,12,2,-0.1663,0.4827,2,0.3373,0.2889,low_eta
999,0.0,13,2,0.8664,0.4827,4,1.574,0.4534,low_eta
999,0.0,14,2,-0.1051,0.4827,3,0.5132,0.3817,low_eta
999,0.0,15,2,-0.1314,0.4827,3,0.6402,0.2284,low_eta
999,0.0,16,2,-0.3092,0.4827,2,0.3095,0.1738,low_eta
999,0.0,17,2,0.1018,0.4827,4,0.9882,0.2746,low_eta
999,0.0,18,2,-0.1799,0.4827,1,-0.0,0.3201,low_eta
999,0.0,19,0,-0.5,0.4827,1,-0.0,0.0,low_eta
999,0.0,20,0,-0.5,0.4827,1,-0.0,0.0,low_eta
999,0.0,21,0,-0.5,0.4827,1,-0.0,0.0,low_eta
999,0.0,22,2,0.6071,0.4827,4,1.3568,0.4113,low_eta
999,0.0,23,2,-0.0887,0.4827,1,-0.0,0.4113,low_eta
999,0.0,24,2,0.6806,0.4827,4,1.4047,0.4369,low_eta
999,0.0,25,2,-0.0631,0.4827,1,-0.0,0.4369,low_eta
1337,0.0,1,2,0.0188,0.4853,4,1.1798,,"drift_missing,low_eta"
1337,0.0,2,2,-0.1737,0.4853,4,0.905,0.0823,low_eta
1337,0.0,3,2,-0.4344,0.4853,3,0.3816,0.184,low_eta
1337,0.0,4,2,1.0754,0.4853,4,1.7828,0.4536,low_eta
1337,0.0,5,2,0.0579,0.4853,1,-0.0,0.5579,low_eta
1337,0.0,6,2,-0.2749,0.4853,3,0.5132,0.2119,low_eta
1337,0.0,7,2,0.1258,0.4853,3,0.9665,0.1593,low_eta
1337,0.0,8,2,-0.1561,0.4853,1,-0.0,0.3439,low_eta
1337,0.0,9,2,1.445,0.4853,4,1.9406,0.6654,low_eta
1337,0.0,10,2,0.3461,0.4853,3,0.9056,0.4405,low_eta
1337,0.0,11,2,-0.1713,0.4853,1,-0.0,0.3287,low_eta
1337,0.0,12,2,-0.0354,0.4853,3,0.6998,0.2648,low_eta
1337,0.0,13,2,1.1491,0.4853,3,1.5683,0.5808,low_eta
1337,0.0,14,2,0.2018,0.4853,3,0.6144,0.5874,low_eta
1337,0.0,15,2,0.27,0.4853,4,1.2075,0.2235,low_eta
1337,0.0,16,2,0.8097,0.4853,3,1.4746,0.3351,low_eta
1337,0.0,17,2,0.8531,0.4853,3,1.3383,0.5148,low_eta
1337,0.0,18,2,-0.0734,0.4853,3,0.6402,0.2864,low_eta
1337,0.0,19,2,-0.2521,0.4853,1,-0.0,0.2479,low_eta
1337,0.0,20,2,0.1781,0.4853,3,0.8659,0.3122,low_eta
1337,0.0,21,2,0.0215,0.4853,3,0.7345,0.287,low_eta
1337,0.0,22,2,1.3465,0.4853,4,1.8911,0.6164,low_eta
1337,0.0,23,2,0.4211,0.4853,3,0.8031,0.618,low_eta
1337,0.0,24,2,0.0819,0.4853,3,0.7732,0.3087,low_eta
1337,0.0,25,2,1.049,0.4853,4,1.7899,0.4201,low_eta
2024,0.0,1,2,-0.2332,0.482,4,0.9278,,"drift_missing,low_eta"
2024,0.0,2,2,-0.3196,0.482,4,0.7781,0.0633,low_eta
2024,0.0,3,2,-0.2969,0.482,3,0.6144,0.0887,low_eta
2024,0.0,4,2,-0.2593,0.482,1,-0.0,0.2407,low_eta
2024,0.0,5,2,0.2846,0.482,4,1.0975,0.3481,low_eta
2024,0.0,6,2,0.0082,0.482,3,0.8031,0.2051,low_eta
2024,0.0,7,2,-0.202,0.482,1,-0.0,0.298,low_eta
2024,0.0,8,0,-0.5,0.482,1,-0.0,0.0,low_eta
2024,0.0,9,2,0.839,0.482,3,1.3527,0.4863,low_eta
2024,0.0,10,2,0.2867,0.482,4,1.2087,0.239,low_eta
2024,0.0,11,2,0.3498,0.482,3,1.1033,0.2465,low_eta
2024,0.0,12,2,-0.115,0.482,1,-0.0,0.385,low_eta
2024,0.0,13,2,1.1752,0.482,4,1.7783,0.5579,low_eta
2024,0.0,14,2,0.1759,0.482,3,0.8167,0.3592,low_eta
2024,0.0,15,2,0.3542,0.482,4,1.3216,0.1936,low_eta
2024,0.0,16,2,-0.0894,0.482,3,0.6402,0.2704,low_eta
2024,0.0,17,2,0.3362,0.482,3,1.0224,0.3138,low_eta
2024,0.0,18,2,0.3323,0.482,3,0.9445,0.3878,low_eta
2024,0.0,19,2,0.0969,0.482,3,1.053,0.0439,low_eta
2024,0.0,20,2,-0.3486,0.482,3,0.3998,0.2516,low_eta
2024,0.0,21,2,0.3,0.482,4,1.2087,0.2523,low_eta
2024,0.0,22,2,0.524,0.482,3,1.2516,0.2724,low_eta
2024,0.0,23,2,-0.0631,0.482,1,-0.0,0.4369,low_eta
2024,0.0,24,2,0.1498,0.482,4,0.9934,0.3174,low_eta
2024,0.0,25,2,0.0532,0.482,3,0.8659,0.1873,low_eta
7,0.0005,1,0,-0.5,0.4827,1,-0.0,,"drift_missing,low_eta"
7,0.0005,2,2,-0.2801,0.4827,4,0.6806,0.2003,low_eta
7,0.0005,3,2,0.518,0.4827,4,1.4372,0.2418,low_eta
7,0.0005,4,4,0.4552,0.4827,4,1.4838,0.1324,low_eta
7,0.0005,5,2,0.0526,0.4827,4,1.0583,0.1553,low_eta
7,0.0005,6,4,-0.1192,0.4827,4,0.7654,0.2764,low_eta
7,0.0005,7,2,-0.2383,0.4827,1,-0.0,0.2617,low_eta
7,0.0005,8,4,0.4531,0.4827,4,1.232,0.3821,low_eta
7,0.0005,9,4,1.2636,0.4827,4,1.7925,0.6321,low_eta
7,0.0005,10,4,0.797,0.4827,3,1.0409,0.7561,low_eta
7,0.0005,11,4,0.4745,0.4827,4,1.1451,0.4904,low_eta
7,0.0005,12,4,1.3846,0.4827,5,2.1258,0.5513,low_eta
7,0.0005,13,4,0.3908,0.4827,4,1.1401,0.4117,low_eta
7,0.0005,14,2,0.4212,0.4827,4,1.4412,0.141,low_eta
7,0.0005,15,2,0.087,0.4827,2,0.5436,0.3359,low_eta
7,0.0005,16,2,0.029,0.4827,3,0.8167,0.2123,low_eta
7,0.0005,17,2,0.343,0.4827,4,1.2917,0.2123,low_eta
7,0.0005,18,2,-0.0999,0.4827,1,-0.0,0.4001,low_eta
7,0.0005,19,2,1.1012,0.4827,4,1.723,0.5392,low_eta
7,0.0005,20,2,0.0392,0.4827,1,-0.0,0.5392,low_eta
7,0.0005,21,2,0.6155,0.4827,3,1.1982,0.4173,low_eta
7,0.0005,22,2,-0.1196,0.4827,3,0.6998,0.1806,low_eta
7,0.0005,23,2,-0.1338,0.4827,2,0.469,0.1897,low_eta
7,0.0005,24,2,1.0054,0.4827,4,1.7296,0.4368,low_eta
7,0.0005,25,2,0.5297,0.4827,3,1.1488,0.3809,low_eta
42,0.0005,1,0,-0.5,0.4702,1,-0.0,,"drift_missing,low_eta"
42,0.0005,2,4,-0.0002,0.4702,4,0.8776,0.2832,low_eta
42,0.0005,3,2,-0.1866,0.4702,3,0.6998,0.1136,low_eta
42,0.0005,4,2,-0.0771,0.4702,3,0.6686,0.2543,low_eta
42,0.0005,5,2,0.1955,0.4702,3,1.054,0.1415,low_eta
42,0.0005,6,2,-0.1286,0.4702,1,-0.0,0.3714,low_eta
42,0.0005,7,0,-0.5,0.4702,1,-0.0,0.0,low_eta
42,0.0005,8,2,-0.1753,0.4702,3,0.5907,0.234,low_eta
42,0.0005,9,2,0.273,0.4702,4,1.2075,0.2265,low_eta
42,0.0005,10,2,0.0092,0.4702,2,0.5033,0.2984,low_eta
42,0.0005,11,2,0.2277,0.4702,3,0.9864,0.2413,low_eta
42,0.0005,12,2,-0.1519,0.4702,1,-0.0,0.3481,low_eta
42,0.0005,13,2,0.1781,0.4702,3,0.8659,0.3122,low_eta
42,0.0005,14,4,0.8065,0.4702,4,1.5466,0.4209,low_eta
42,0.0005,15,4,0.1816,0.4702,5,1.2086,0.2655,low_eta
42,0.0005,16,4,0.747,0.4702,4,1.6212,0.2868,low_eta
42,0.0005,17,2,0.0003,0.4702,1,-0.0,0.5003,low_eta
42,0.0005,18,2,0.4531,0.4702,4,1.232,0.3821,low_eta
42,0.0005,19,4,0.1417,0.4702,4,1.0583,0.2444,low_eta
42,0.0005,20,4,0.3066,0.4702,3,1.1033,0.2033,low_eta
42,0.0005,21,2,0.988,0.4702,4,1.8366,0.3124,low_eta
42,0.0005,22,4,0.3335,0.4702,2,0.5033,0.6227,low_eta
42,0.0005,23,4,1.1344,0.4702,5,1.8676,0.5593,low_eta
42,0.0005,24,2,0.0256,0.4702,1,-0.0,0.5256,low_eta
42,0.0005,25,2,0.3345,0.4702,3,0.9864,0.3481,low_eta
55,0.0005,1,0,-0.5,0.4669,1,-0.0,,"drift_missing,low_eta"
55,0.0005,2,4,-0.3868,0.4669,4,0.6212,0.153,low_eta
55,0.0005,3,2,0.2673,0.4669,4,1.2366,0.1917,low_eta
55,0.0005,4,2,-0.115,0.4669,1,-0.0,0.385,low_eta
55,0.0005,5,1,-0.1362,0.4669,2,0.4395,0.2168,low_eta
55,0.0005,6,1,0.1779,0.4669,2,0.6194,0.351,low_eta
55,0.0005,7,4,0.6672,0.4669,5,1.585,0.3747,low_eta
55,0.0005,8,4,0.1167,0.4669,3,0.8167,0.3,low_eta
55,0.0005,9,2,0.5934,0.4669,3,1.371,0.2224,low_eta
55,0.0005,10,2,0.3869,0.4669,4,1.2917,0.2562,low_eta
55,0.0005,11,2,-0.165,0.4669,3,0.5907,0.2443,low_eta
55,0.0005,12,2,0.2819,0.4669,3,1.1033,0.1786,low_eta
55,0.0005,13,2,-0.0747,0.4669,3,0.8031,0.1222,low_eta
55,0.0005,14,2,0.5685,0.4669,4,1.4838,0.2457,low_eta
55,0.0005,15,2,-0.1759,0.4669,4,0.7483,0.2368,low_eta
55,0.0005,16,2,-0.0737,0.4669,3,0.7732,0.1531,low_eta
