seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
42,0.0,16,3,0.4678,3,1.0613,0.2949,0.3562,low_eta
42,0.0,16,4,0.4678,3,1.0613,0.2949,0.3562,low_eta
42,0.0,17,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,17,1,0.4678,1,-0.0,0.2559,-0.2441,low_eta
42,0.0,17,2,0.4678,1,-0.0,0.3714,-0.1286,low_eta
42,0.0,17,3,0.4678,1,-0.0,0.3714,-0.1286,low_eta
42,0.0,17,4,0.4678,1,-0.0,0.3714,-0.1286,low_eta
42,0.0,18,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,18,1,0.4678,2,0.3228,0.1734,-0.2963,low_eta
42,0.0,18,2,0.4678,2,0.3228,0.1734,-0.2963,low_eta
42,0.0,18,3,0.4678,2,0.3228,0.1734,-0.2963,low_eta
42,0.0,18,4,0.4678,2,0.3228,0.1734,-0.2963,low_eta
42,0.0,19,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,19,1,0.4678,3,1.1981,0.3388,0.5369,low_eta
42,0.0,19,2,0.4678,4,1.8352,0.6372,1.3114,low_eta
42,0.0,19,3,0.4678,4,1.8352,0.6372,1.3114,low_eta
42,0.0,19,4,0.4678,4,1.8352,0.6372,1.3114,low_eta
42,0.0,20,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,20,1,0.4678,1,-0.0,0.4548,-0.0452,low_eta
42,0.0,20,2,0.4678,1,-0.0,0.7133,0.2133,low_eta
42,0.0,20,3,0.4678,1,-0.0,0.7133,0.2133,low_eta
42,0.0,20,4,0.4678,1,-0.0,0.7133,0.2133,low_eta
42,0.0,21,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,21,1,0.4678,3,0.9133,0.338,0.2513,low_eta
42,0.0,21,2,0.4678,4,1.4832,0.4631,0.7853,low_eta
42,0.0,21,3,0.4678,4,1.4832,0.4631,0.7853,low_eta
42,0.0,21,4,0.4678,4,1.4832,0.4631,0.7853,low_eta
42,0.0,22,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,22,1,0.4678,3,1.2516,0.1622,0.4138,low_eta
42,0.0,22,2,0.4678,4,1.8879,0.2148,0.9417,low_eta
42,0.0,22,3,0.4678,4,1.8879,0.2148,0.9417,low_eta
42,0.0,22,4,0.4678,4,1.8879,0.2148,0.9417,low_eta
42,0.0,23,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,23,1,0.4678,2,0.7219,0.298,0.2274,low_eta
42,0.0,23,2,0.4678,3,1.2419,0.3441,0.586,low_eta
42,0.0,23,3,0.4678,3,1.2419,0.3441,0.586,low_eta
42,0.0,23,4,0.4678,3,1.2419,0.3441,0.586,low_eta
42,0.0,24,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,24,1,0.4678,3,0.5907,0.2476,-0.1617,low_eta
42,0.0,24,2,0.4678,4,1.0583,0.2536,0.1509,low_eta
42,0.0,24,3,0.4678,4,1.0583,0.2536,0.1509,low_eta
42,0.0,24,4,0.4678,4,1.0583,0.2536,0.1509,low_eta
42,0.0,25,0,0.4678,1,-0.0,0.0,-0.5,low_eta
42,0.0,25,1,0.4678,2,0.5665,0.1988,-0.0272,low_eta
42,0.0,25,2,0.4678,3,0.9056,0.2063,0.1119,low_eta
42,0.0,25,3,0.4678,3,0.9056,0.2063,0.1119,low_eta
42,0.0,25,4,0.4678,3,0.9056,0.2063,0.1119,low_eta
