seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
1337,16,0.0005,0.0,,0.5015,
1337,17,0.0005,0.0667,,0.4001,
1337,18,0.0005,0.0588,0.0,0.2799,
1337,19,0.0005,0.0,,0.1788,
1337,20,0.0005,0.0,,0.4369,
1337,21,0.0005,0.0,,0.4096,
1337,22,0.0005,0.0,,0.2828,
1337,23,0.0005,0.0,,0.3872,
1337,24,0.0005,0.0,,0.1214,
1337,25,0.0005,0.0,,0.4444,
2024,2,0.0005,0.0,,0.1529,
2024,3,0.0005,0.0,,0.0258,
2024,4,0.0005,0.2,,0.1808,
2024,5,0.0005,0.0,,0.2073,
2024,6,0.0005,0.0,,0.4369,
