window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
58,4972,3042,0,0,3,1.853,1,12.8,8,3034,4.43,0.9948,3058.0,8,1.0,47,0,2,848,0.002225,0.0453,34.632,57,30.2,0.0261,0.0091,0,0,0,0,0.082305,0.015625,36,0.8102,2.9751,0.4164,0.003
59,4971,3089,2,5,3,1.8805,1,12.9,3081,0,4.47,1.0091,3061.0,8,1.0,44,2,5,858,0.002024,0.043,28.2258,58,31.8,0.0241,0.0093,1,0,0,0,0.089844,0.015625,35,0.8261,3.0337,0.4172,0.003
60,4969,3133,3,5,3,1.916,1,12.8,3118,0,4.49,1.0212,3067.9,15,1.0,43,5,6,900,0.00218,0.0458,51.3834,59,32.8,0.0253,0.0094,3,0,0,0,0.099237,0.015625,35,0.8425,3.1329,0.4186,0.003
61,4966,3138,0,0,1,1.9716,2,12.8,3133,0,4.56,1.0206,3074.5,5,1.0,46,4,1,842,0.002017,0.0414,19.6078,60,31.6,0.0248,0.01,0,0,0,0,0.090226,0.015625,34,0.8268,3.2232,0.4194,0.003
62,4965,3085,0,0,3,1.9636,1,12.8,3085,0,4.51,1.0031,3075.5,0,1.0,44,0,2,828,0.001927,0.0433,0.0,61,34.0,0.0244,0.0092,0,0,0,0,0.082677,0.015625,34,0.811,3.298,0.4202,0.003
63,4965,3074,0,0,3,1.9049,1,12.8,0,3074,4.49,0.9996,3075.4,0,1.0,42,0,2,824,0.001794,0.0457,0.0,62,36.6,0.0263,0.0104,0,0,0,0,0.118721,0.015625,32,0.8684,3.4167,0.422,0.003
64,4964,2981,0,0,3,1.9785,1,12.8,0,2981,4.39,0.9722,3066.4,0,1.0,40,0,2,803,0.001931,0.0571,0.0,63,38.8,0.0265,0.0107,0,0,0,0,0.12381,0.015625,30,0.8738,3.5405,0.4235,0.003
65,4963,3139,1,5,3,1.9928,1,12.7,3134,0,4.56,1.0214,3073.3,5,1.0,41,1,0,817,0.00193,0.0425,24.0385,64,38.8,0.0254,0.0079,1,0,0,0,0.084906,0.015625,30,0.816,3.6254,0.4255,0.003
66,4962,3071,0,0,3,1.9749,1,12.7,2,3069,4.47,0.9993,3073.1,2,1.0,41,2,2,835,0.001707,0.0476,0.0,65,39.8,0.0253,0.0098,0,0,0,0,0.082251,0.015625,31,0.81,3.6947,0.4273,0.003
67,4962,2972,2,4,3,1.8473,1,12.7,5,2964,4.45,0.9701,3063.5,8,1.0,44,5,2,867,0.001803,0.0458,31.8725,66,38.0,0.0264,0.0103,0,0,0,0,0.09542,0.015625,33,0.8362,3.7901,0.4291,0.003
68,4961,3063,1,4,1,1.8783,1,12.7,5,3055,4.43,0.9999,3063.4,8,1.0,46,6,4,883,0.001912,0.0512,32.1285,67,36.5,0.021,0.0098,0,0,0,0,0.07874,0.015625,35,0.8016,3.8413,0.4292,0.003
69,4959,3081,1,5,1,1.8788,2,12.8,3074,0,4.45,1.0052,3065.1,7,1.0,47,1,0,887,0.001847,0.0354,28.0,68,36.7,0.0217,0.0086,1,0,0,0,0.082677,0.015625,33,0.811,3.924,0.43,0.003
70,4958,3072,1,3,1,1.8409,2,12.7,3067,0,4.47,1.002,3065.8,5,1.0,46,1,2,894,0.001734,0.0513,18.7266,69,37.0,0.0227,0.01,0,0,0,0,0.084249,0.015625,34,0.8145,4.0082,0.4304,0.003
71,4958,3108,0,0,3,1.8497,2,12.7,3103,0,4.56,1.0125,3069.8,5,1.0,42,2,6,892,0.00175,0.0618,12.0482,70,39.6,0.0273,0.0121,0,1,0,0,0.092664,0.015625,33,0.8314,4.0931,0.4321,0.003
72,4956,3105,0,0,3,1.933,1,12.7,3100,0,4.5,1.0104,3073.1,5,1.0,41,2,3,846,0.001587,0.042,12.987,71,41.5,0.0267,0.0102,0,0,0,0,0.096639,0.015625,32,0.8383,4.1898,0.4335,0.003
73,4955,3010,1,5,3,1.9121,1,12.8,4,3002,4.46,0.9817,3067.2,8,1.0,43,3,1,858,0.001736,0.0502,29.661,72,40.5,0.0257,0.0105,1,0,0,0,0.087866,0.015625,30,0.8222,4.2776,0.4353,0.003
74,4953,3079,2,5,3,1.9372,1,12.7,3065,0,4.45,1.0035,3068.3,14,1.0,44,4,3,887,0.001778,0.0515,53.0303,73,40.1,0.0255,0.01,1,1,0,0,0.117647,0.015625,32,0.8672,4.3401,0.4364,0.003
