seed,from,to,familiarity
0,297,166,5.3185
0,297,424,16.9092
0,297,384,19.4265
0,297,429,29.8272
0,297,383,10.8681
0,325,58,30.2555
0,325,61,2.4958
0,325,26,37.4313
0,325,276,0.5757
0,325,197,31.2536
0,325,297,38.1722
0,325,166,63.7446
0,325,2,34.481
0,325,0,1.8332
0,325,264,59.1404
0,325,15,32.8571
0,325,128,66.8463
0,325,258,50.6357
0,325,188,5.2997
0,325,59,10.2577
0,325,336,25.8265
0,325,344,1.7807
0,325,352,8.7878
0,325,353,23.0583
0,325,354,2.8492
0,325,362,2.1734
0,325,368,11.5975
0,325,358,0.9544
0,325,383,20.3354
0,325,367,19.4922
0,325,372,39.1465
0,325,408,0.5509
0,325,390,0.8858
0,325,386,7.2113
0,325,397,1.2995
0,325,379,23.023
0,325,398,7.4479
0,325,411,0.677
0,325,409,4.2087
0,325,384,21.7253
0,325,407,2.3442
0,325,420,1.6719
0,325,418,19.2216
0,325,413,11.1039
0,325,425,3.0372
0,325,434,6.3417
0,325,424,11.4702
0,325,426,3.1742
0,325,412,4.3987
0,336,297,8.1793
0,336,0,15.7398
0,336,314,2.1452
0,336,188,21.2736
0,336,15,3.0517
0,336,197,12.8328
0,336,59,27.7445
0,336,325,21.5975
0,336,258,35.5847
0,336,26,4.349
0,336,128,6.5448
0,336,276,1.5072
0,336,2,8.3798
0,336,58,7.0175
0,336,344,1.9477
0,336,61,27.4598
0,336,264,1.9368
0,336,354,1.9998
0,336,166,4.1795
0,336,362,2.3764
0,336,353,4.3494
0,336,368,18.6769
0,336,375,0.855
0,336,372,2.6154
0,336,380,0.7043
0,336,367,29.3203
0,336,383,0.8039
0,336,358,6.2321
0,336,408,0.82
0,336,392,0.9316
0,336,403,1.0852
0,336,402,0.6956
0,336,398,3.6816
0,336,411,51.4862
0,336,384,1.2792
0,336,407,20.2855
0,336,423,1.1678
0,336,413,4.702
0,336,425,25.8304
0,336,432,19.2865
0,336,412,7.4413
0,352,61,40.8681
0,352,258,2.1295
0,352,15,23.1804
0,352,128,9.5917
0,352,344,3.9423
0,352,58,6.3476
0,352,0,7.5523
0,352,26,2.8072
0,352,166,1.2466
0,352,188,0.7691
0,352,358,7.1088
0,352,276,3.1035
0,352,362,1.2595
0,352,59,1.5283
0,352,197,5.6251
0,352,297,16.6911
0,352,353,10.0682
0,352,325,5.4141
0,352,2,3.2882
0,352,314,2.7699
0,352,367,18.9273
0,352,354,3.3143
0,352,390,1.3646
0,352,383,1.5958
0,352,384,0.5085
0,352,401,0.5085
0,352,386,0.5392
0,352,368,0.9512
0,352,398,1.553
0,352,412,2.3175
0,352,372,8.7356
0,352,413,1.147
0,352,379,2.005
0,352,375,13.2438
0,352,429,4.9487
0,352,427,11.5592
0,352,425,10.3696
0,352,418,1.5309
0,352,407,7.4562
0,352,420,8.4925
0,353,128,5.2466
0,353,26,36.4536
0,353,352,16.2312
0,353,354,8.4014
0,353,314,3.2567
0,353,362,6.4147
0,353,15,18.4549
0,353,197,2.5111
0,353,258,9.2377
0,353,59,24.5072
0,353,2,24.1056
0,353,166,5.8474
0,353,0,14.6928
0,353,61,36.5365
0,353,276,35.8382
0,353,325,23.0583
0,353,336,16.4339
0,353,58,24.7802
0,353,367,32.9564
0,353,368,20.4322
0,353,264,68.1992
0,353,297,23.4083
0,353,188,28.2693
0,353,358,1.8592
0,353,383,1.5542
0,353,375,4.3958
0,353,372,39.4966
0,353,381,1.1192
0,353,379,9.5698
0,353,344,3.0773
0,353,384,11.8653
0,353,397,1.0396
0,353,396,0.6288
0,353,392,0.7991
0,353,402,1.4836
0,353,403,1.435
0,353,390,5.6655
0,353,410,1.5102
0,353,412,18.1288
0,353,423,0.8656
0,353,409,4.2437
0,353,419,4.6121
0,353,418,16.2356
0,353,413,25.7121
0,353,420,3.6682
0,353,386,1.4803
0,353,434,8.1307
0,353,429,8.1307
0,353,424,53.6069
0,353,425,6.6949
0,353,426,2.0287
0,354,276,1.0549
0,354,336,1.9998
0,354,197,37.7007
0,354,2,34.5984
0,354,258,11.8262
0,354,59,5.4225
0,354,188,8.0159
0,354,61,18.6843
0,354,0,16.7147
0,354,344,1.3019
0,354,367,8.9398
0,354,353,3.0221
0,354,15,12.2144
0,354,368,6.4446
0,354,297,5.099
0,354,26,6.7539
0,354,372,33.3011
0,354,58,20.8432
0,354,166,4.8446
0,354,352,3.3143
0,354,390,0.5138
0,354,407,0.5138
0,354,391,2.1553
0,354,325,1.1017
0,354,358,1.5077
0,354,379,14.2527
0,354,383,0.6696
0,354,403,2.0172
0,354,411,1.0175
0,354,386,3.3718
0,354,384,1.6469
0,354,128,4.2523
0,354,409,2.6817
0,354,423,12.0819
0,354,418,14.8636
0,354,362,13.3437
0,354,398,8.3803
0,354,413,13.8015
0,354,425,1.8486
0,354,412,11.6845
0,354,424,8.7164
0,358,166,22.6891
0,358,58,27.1579
