atom,category,finding_direction,observed_rank1_sim_mean,observed_n_strong_seeds,observed_n_weak_seeds,uniform_baseline_mean,uniform_baseline_std,shuffled_baseline_mean,shuffled_baseline_std,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_both
PER.odorless,PER,above_baseline,0.5776147941748301,24,0,0.4540166991452376,0.02283566984027025,0.46707579990228015,0.0356952592326735,0.12359809502959246,0.11053899427254993,5.412501402154172,3.096741602351736,True,True,True,True
CHG.begin,CHG,above_baseline,0.6603745569785436,24,0,0.5601218665639559,0.01637666727902767,0.633248582482338,0.06302310804599753,0.10025269041458773,0.027125974496205685,6.121678404187499,0.43041315062417645,True,True,False,False
PER.see,PER,above_baseline,0.6080384353796641,24,0,0.46664081265528995,0.02304841803043602,0.5287908564011256,0.03226753707563045,0.14139762272437412,0.07924757897853851,6.1348081476852325,2.455953759123097,True,True,True,True
PER.smell,PER,above_baseline,0.6157543808221817,24,0,0.46647948026657104,0.023120335948880553,0.48273376872142154,0.038499426433804405,0.14927490055561066,0.13302061210076016,6.456433024401546,3.4551323077364464,True,True,True,True
VAL.incorrect,VAL,below_baseline,0.2908780301610629,0,15,0.5343547773857912,0.015390559753289292,0.47692518184582394,0.03058780951199368,-0.24347674722472828,-0.18604715168476105,-15.819876023202607,-6.08239539388431,True,True,True,True
VAL.truth,VAL,below_baseline,0.3846997308234374,0,0,0.6241679141918818,0.015211387654353058,0.5497340559959412,0.030046342511887418,-0.2394681833684444,-0.16503432517250377,-15.742691515715567,-5.4926593846558935,True,True,True,True
EXS.void,EXS,below_baseline,0.3299751641849677,0,2,0.5795985634128252,0.017256837613086308,0.5803450991710027,0.03093906294804206,-0.24962339922785753,-0.25036993498603505,-14.46518793446614,-8.09235675322479,True,True,True,True
COM.conduct,COM,below_baseline,0.5263604943950971,24,0,0.7232603306571642,0.014465047373482195,0.582407442231973,0.028881328114273193,-0.19689983626206709,-0.056046947836875916,-13.612111400549603,-1.9405945465914165,True,True,False,False
FND.language,FND,below_baseline,0.4251464692254861,0,0,0.6186827098329862,0.015194274535550835,0.4856922961771488,0.018676469066724172,-0.19353624060750013,-0.06054582695166272,-12.737445289320876,-3.2418240693867073,True,True,True,True
TIM.past,TIM,below_baseline,0.5155085821946462,18,0,0.7219102531671524,0.01703772971920973,0.6050907224416733,0.03379455098973967,-0.20640167097250617,-0.08958214024702704,-12.114388147605842,-2.6507865210052644,True,True,True,True
TIM.now,TIM,below_baseline,0.43577397366364795,2,0,0.6186469420790672,0.015112631582589107,0.5499936963121096,0.028726660781421755,-0.18287296841541928,-0.11421972264846164,-12.100670053129777,-3.976087701858142,True,True,True,True
COM.conflict,COM,below_baseline,0.28047556802630424,0,24,0.5602306425571442,0.02365664817925873,0.5390585151811441,0.03417751441305637,-0.2797550745308399,-0.25858294715483987,-11.825642940242005,-7.565879251185597,True,True,True,True
STA.danger,STA,below_baseline,0.19610186479985714,0,24,0.5345756014188131,0.029011156858501648,0.5724996998906136,0.028834917884966872,-0.33847373661895597,-0.3763978350907564,-11.667019632130494,-13.053542811959662,True,True,True,True
VAL.falsehood,VAL,below_baseline,0.312823382516702,0,8,0.5878598168492317,0.023680156449087362,0.5610831218461195,0.0416272651676609,-0.2750364343325297,-0.24825973932941753,-11.614637552072832,-5.9638733971474975,True,True,True,True
LOG.unreason,LOG,below_baseline,0.21936955240865544,0,24,0.5005837877591451,0.02478339755075839,0.5794102971752485,0.02946345113720816,-0.2812142353504897,-0.3600407447665931,-11.346879893063104,-12.219910800330947,True,True,True,True
ECO.loss,ECO,below_baseline,0.2354418976853291,0,24,0.5327874148885409,0.02661289952503437,0.5715013444423676,0.02788909717704386,-0.2973455172032118,-0.33605944675703847,-11.172984624373724,-12.049850327663403,True,True,True,True
WLD.nonscience,WLD,below_baseline,0.3437379337847233,0,0,0.6317651644349098,0.025807789742801457,0.5350564370552698,0.029475519222029817,-0.28802723065018654,-0.19131850327054656,-11.16047648871309,-6.490759393563331,True,True,True,True
STA.war,STA,below_baseline,0.22319945817192388,0,24,0.530321042984724,0.027872067921818622,0.5173484310507774,0.02410910360980699,-0.30712158481280016,-0.29414897287885355,-11.018973750863363,-12.200742824764376,True,True,True,True
FND.temporality,FND,below_baseline,0.4467747074862321,2,0,0.6268662288784981,0.01699457449763918,0.6144028926889101,0.03270579023716101,-0.18009152139226597,-0.16762818520267803,-10.597000908571356,-5.125336644892173,True,True,True,True
EXS.death,EXS,below_baseline,0.3500763364136219,0,0,0.5721898054083189,0.02145296161684772,0.6111993690331777,0.045291243892753213,-0.22211346899469697,-0.26112303261955583,-10.353510762833974,-5.765419762766475,True,True,True,True
VAL.profane,VAL,below_baseline,0.3204542634387811,0,5,0.5867364754279455,0.02572529301391754,0.5424135029315948,0.04102460460434455,-0.2662822119891644,-0.22195923949281376,-10.35098849389603,-5.410393144150085,True,True,True,True
EMO.compassion,EMO,below_baseline,0.3168533407151699,0,8,0.5852615808447202,0.026016120233752122,0.5591561955710252,0.04447030878323804,-0.26840824012955034,-0.24230285485585534,-10.31699722010547,-5.448643409176985,True,True,True,True
ACT.destroy,ACT,below_baseline,0.11595735264321165,0,24,0.4170028567314148,0.029862615724135576,0.4465316869318485,0.013962245293107408,-0.30104550408820313,-0.33057433428863686,-10.081015905277582,-23.676301866135237,True,True,True,True
TIM.moment,TIM,below_baseline,0.6119436845183372,24,0,0.7628551895419756,0.014984185178508424,0.6245748375852903,0.040341565647709667,-0.15091150502363837,-0.01263115306695306,-10.07138547914426,-0.31310517735620347,True,True,False,False
ELM.sun,ELM,below_baseline,0.48820067942142487,2,0,0.6480098615090052,0.016248357901058576,0.6480022321144739,0.043722751366243484,-0.15980918208758033,-0.15980155269304908,-9.8354050951308,-3.6548832747159916,True,True,True,True
FND.languageless,FND,below_baseline,0.3961801653107007,0,0,0.6429328744610151,0.025391535204732318,0.5761592661341032,0.035918393014471715,-0.2467527091503144,-0.17997910082340246,-9.71791217666611,-5.010778203548469,True,True,True,True
VAL.evil,VAL,below_baseline,0.17918303484718004,0,24,0.4839295583466689,0.0322844551945815,0.5278618931770325,0.02848170994760628,-0.30474652349948883,-0.34867885832985246,-9.43941973506297,-12.242202415910667,True,True,True,True
EXS.life,EXS,below_baseline,0.3856291137635708,0,0,0.6205268303553263,0.02514817899097275,0.590661846101284,0.03864414454108663,-0.2348977165917555,-0.20503273233771324,-9.340545757848908,-5.3056610457432045,True,True,True,True
FND.time,FND,below_baseline,0.42622200151284534,1,0,0.6229363779226939,0.02135999321819058,0.6273971448342005,0.047088804835075236,-0.1967143764098485,-0.20117514332135517,-9.20947747503603,-4.272249933417401,True,True,True,True
SPC.inside,SPC,below_baseline,0.3620804622769356,0,0,0.602755218744278,0.026284936706632973,0.5572476958235105,0.02887217632516806,-0.24067475646734238,-0.19516723354657495,-9.15637572779882,-6.759699419556621,True,True,True,True
SPC.nowhere,SPC,below_baseline,0.44287024810910225,0,0,0.6414411514997482,0.02170912828711365,0.6156172305345535,0.035020446573819954,-0.19857090339064598,-0.17274698242545128,-9.146885161138227,-4.93274641890463,True,True,True,True
STA.peace,STA,below_baseline,0.4386274168888728,3,0,0.6578528434038162,0.02424951927284888,0.5878450497984886,0.03210082162179462,-0.21922542651494342,-0.14921763290961582,-9.04040298895329,-4.648405410542688,True,True,True,True
EMO.love,EMO,below_baseline,0.28748129432400066,0,21,0.49667220811049145,0.023191078710201856,0.5460908338427544,0.03216849081644757,-0.2091909137864908,-0.2586095395187537,-9.02031839055709,-8.039218905057494,True,True,True,True
EXS.being,EXS,below_baseline,0.4840799371401469,2,0,0.6812007625897726,0.021868850126552472,0.5744875694314638,0.018768202420915547,-0.19712082544962567,-0.09040763229131693,-9.013771840261859,-4.817064003453277,True,True,True,True
WLD.religion,WLD,below_baseline,0.33960852151115734,0,3,0.5884257902701696,0.027729252881638307,0.5063464740912119,0.028395869001071553,-0.24881726875901228,-0.16673795258005458,-8.973096744477148,-5.871908782709292,True,True,True,True
EXS.presence,EXS,below_baseline,0.4061223280926545,0,0,0.6013903841376305,0.02183285698666437,0.5368167472382387,0.02880743391732937,-0.19526805604497594,-0.13069441914558416,-8.943770215883646,-4.536829608657499,True,True,True,True
SOC.criticize,SOC,below_baseline,0.27326170665522415,0,21,0.5250828750431538,0.02818348383680652,0.5717775200804075,0.03451648833883072,-0.2518211683879296,-0.29851581342518335,-8.935061749146183,-8.648498957796814,True,True,True,True
PRP.whole,PRP,below_baseline,0.5161606321732203,24,0,0.6836016277472178,0.01879126968730629,0.5725172497332096,0.02977271454104144,-0.1674409955739975,-0.05635661755998933,-8.910573812215878,-1.892894834372667,True,True,False,False
CHG.retreat,CHG,below_baseline,0.484793105473121,1,0,0.6644687255223592,0.02039286857886408,0.5685978631178538,0.03352494036557281,-0.17967562004923826,-0.08380475764473277,-8.810708476563258,-2.499773503871552,True,True,True,True
SOC.attack,SOC,below_baseline,0.2758295287688573,0,22,0.5404465931157271,0.030198454499612424,0.5657268563906351,0.027839439495099427,-0.26461706434686977,-0.28989732762177783,-8.762602879238933,-10.413188371583717,True,True,True,True
PRP.long,PRP,below_baseline,0.45732883736491203,1,0,0.5814537554979324,0.01463835788060308,0.5690004987021288,0.04368533098732089,-0.1241249181330204,-0.11167166133721673,-8.479429123501292,-2.556273669292514,True,True,True,True
EMO.hate,EMO,below_baseline,0.22191022088130316,0,24,0.43404951815803844,0.02541130608958686,0.5629162415862083,0.022283189411081202,-0.21213929727673528,-0.34100602070490516,-8.34822486214774,-15.303286006954028,True,True,True,True
SPC.reverse,SPC,below_baseline,0.47138966992497444,0,0,0.627549889187018,0.018811454177929315,0.5426317950089773,0.025764873648709476,-0.1561602192620436,-0.07124212508400285,-8.301336929351256,-2.7650873066699964,True,True,True,True
PRP.multiple,PRP,below_baseline,0.5138010879357656,24,0,0.6719419832030932,0.019392100196228508,0.5334629776577154,0.028082876773942802,-0.15814089526732755,-0.01966188972194982,-8.154913272265567,-0.7001380193425716,True,True,False,False
VAL.good,VAL,below_baseline,0.26087165499726933,0,19,0.509402501086394,0.031058589877770992,0.47828679407636326,0.03629447210314717,-0.24853084608912462,-0.21741513907909393,-8.002000318340311,-5.990309997103978,True,True,True,True
EMO.forgiveness,EMO,below_baseline,0.32845378915468854,0,5,0.5341564230620861,0.025805467941322362,0.5434917956590652,0.03928879654737104,-0.20570263390739757,-0.2150380065043767,-7.971280907408209,-5.473265291928768,True,True,True,True
LOG.cause,LOG,below_baseline,0.5160689999659857,23,0,0.6961294338107109,0.02274330073895086,0.6292402694622675,0.03378891837913554,-0.18006043384472525,-0.11317126949628187,-7.91707570996273,-3.34936052780442,True,True,True,True
VAL.correct,VAL,below_baseline,0.48011716455221176,2,0,0.6486313591400782,0.02177712101372428,0.5403688463071982,0.02818901776868407,-0.16851419458786643,-0.06025168175498641,-7.738130053172142,-2.1374168567846166,True,True,True,True
COM.announce,COM,below_baseline,0.4593528186281522,0,0,0.6216952403386434,0.021025202228755497,0.5171198112269243,0.028190455443716494,-0.16234242171049124,-0.057766992598772104,-7.72132510042927,-2.049168475270167,True,True,True,True
PRP.far,PRP,below_baseline,0.3874819688498974,0,0,0.5346414359907309,0.01910203214918188,0.4676977867881457,0.03305399907850337,-0.1471594671408335,-0.08021581793824833,-7.703864488948428,-2.4268112837946014,True,True,True,True
WLD.science,WLD,below_baseline,0.5273828431963921,24,0,0.7011317536234856,0.023285752012072787,0.5413239374756813,0.032699871277218774,-0.1737489104270935,-0.013941094279289246,-7.461597561333266,-0.4263348366451117,True,True,False,False
FND.history,FND,below_baseline,0.327034305781126,0,4,0.502505344649156,0.023610263531753006,0.44266097371776897,0.034274440986284634,-0.17547103886802995,-0.11562666793664295,-7.431981376744999,-3.3735537213550026,True,True,True,True
EMO.respect,EMO,below_baseline,0.41791053116321564,0,0,0.5443059454361597,0.01701317371452481,0.5309299876292547,0.020053237822182317,-0.1263954142729441,-0.11301945646603906,-7.429267248651873,-5.635970483580471,True,True,True,True
PRP.difficult,PRP,below_baseline,0.4735427809258302,3,0,0.690897765258948,0.029514033137400416,0.6555058558781942,0.035214518156238946,-0.21735498433311778,-0.18196307495236402,-7.364462299043902,-5.16727430842684,True,True,True,True
ABS.responsibility,ABS,below_baseline,0.3515009606877963,0,3,0.5483766173322996,0.0268404193479322,0.5278615479667982,0.044013756057572906,-0.1968756566445033,-0.1763605872790019,-7.335043990647288,-4.006942444273799,True,True,True,True
SOC.praise,SOC,below_baseline,0.37120651453733444,0,0,0.5074581255515417,0.01859939818432387,0.48640470827619237,0.026978331410964708,-0.13625161101420724,-0.11519819373885792,-7.325592455407734,-4.270026636711799,True,True,True,True
