window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
109,4926,2996,1,4,3,1.9737,2,167.1,8,2988,4.4,0.9926,3018.4,8,1.0,11,2,4,255,0.019438,0.1099,87.5,67,11.2,0.0923,0.0226,0,0,0,0
110,4926,2971,1,4,3,1.9491,2,172.1,5,2962,4.45,0.9858,3013.9,9,1.0,11,4,4,247,0.017638,0.1774,150.9434,68,9.7,0.0927,0.0398,0,1,0,0
111,4926,3014,2,5,1,1.956,2,170.7,3001,0,4.3,1.0,3013.9,13,1.0,12,4,3,245,0.017942,0.1299,173.913,69,9.7,0.0805,0.0222,1,0,0,0
112,4926,3048,2,5,1,1.956,2,171.6,3040,0,4.49,1.0102,3017.2,8,1.0,12,3,3,270,0.018011,0.1358,90.9091,70,10.2,0.1049,0.0344,1,0,0,0
113,4926,3122,1,3,1,1.9467,2,170.4,3144,0,4.57,1.0385,3029.4,2,1.0,11,1,2,254,0.021048,0.1587,33.3333,71,11.1,0.1143,0.0313,0,1,0,0
114,4923,3104,1,4,1,1.9569,2,164.4,3100,0,4.54,1.0222,3036.5,4,1.0,11,1,1,240,0.021153,0.1429,67.7966,72,11.6,0.0921,0.0298,0,0,0,0
115,4922,3065,2,5,1,1.9748,2,176.7,3055,0,4.49,1.0085,3039.3,10,1.0,10,3,4,279,0.01731,0.2055,132.3529,22,6.0,0.105,0.0458,2,1,0,0
116,4920,3030,1,3,1,1.9646,2,167.6,0,3030,4.49,0.9972,3038.4,0,1.0,10,1,1,235,0.021647,0.1923,0.0,14,4.7,0.1282,0.0445,0,1,0,0
117,4919,3028,0,0,3,1.9483,2,175.9,0,3028,4.47,0.9969,3037.4,0,1.0,9,0,1,210,0.024634,0.2,0.0,15,5.8,0.1033,0.0424,0,0,0,0
118,4919,2967,0,0,3,1.9482,1,167.6,0,2967,4.43,0.979,3030.7,0,1.0,8,0,1,195,0.030186,0.18,0.0,12,5.6,0.124,0.0374,0,0,0,0
119,4917,2996,0,0,3,1.9592,1,177.1,5,2991,4.43,0.9896,3027.4,5,1.0,9,5,4,200,0.025779,0.1754,98.0392,13,5.4,0.1184,0.0309,0,1,0,0
120,4917,3024,1,5,3,1.8961,1,167.8,5,3009,4.47,0.999,3027.1,15,1.0,13,6,2,219,0.022714,0.1446,189.8734,14,4.5,0.0988,0.029,1,0,0,0
121,4915,2997,0,0,3,1.6851,1,167.1,3,2984,4.34,0.991,3024.2,13,1.0,13,3,3,233,0.017732,0.2059,220.339,15,4.6,0.1029,0.0418,0,1,0,0
122,4913,2987,1,4,3,1.745,1,175.3,3,2980,4.44,0.9889,3020.7,7,1.0,12,1,2,212,0.020795,0.1311,129.6296,16,5.0,0.1093,0.026,0,1,0,0
123,4913,3020,0,0,3,1.8163,1,164.5,5,3015,4.43,0.9998,3020.6,5,1.0,10,2,4,188,0.02467,0.1875,87.7193,17,6.2,0.1406,0.0404,0,0,0,0
124,4913,3132,2,5,3,1.9328,1,173.1,3135,0,4.51,1.0377,3032.6,12,1.0,11,4,3,233,0.020203,0.1594,171.875,18,5.5,0.1188,0.0388,2,0,0,0
125,4912,2981,2,5,3,1.9495,1,167.0,0,2967,4.38,0.9846,3027.7,14,1.0,11,3,3,232,0.021418,0.1566,175.0,19,5.7,0.1064,0.0385,1,0,0,0
126,4909,2962,1,4,3,1.849,2,175.2,10,2947,4.39,0.9803,3021.5,15,1.0,15,7,3,283,0.016328,0.1058,142.8571,20,4.9,0.0785,0.0217,0,0,0,0
127,4906,3037,0,0,3,1.7697,2,171.1,3033,0,4.44,1.0047,3022.9,4,1.0,11,0,4,272,0.018849,0.1324,66.6667,21,5.0,0.1066,0.0362,0,2,0,0
128,4905,2974,0,0,3,1.7652,1,164.0,0,2974,4.41,0.9853,3018.3,0,1.0,9,0,2,188,0.026088,0.1569,0.0,22,6.2,0.1242,0.0317,0,1,0,0
129,4905,2972,2,5,3,1.7028,1,173.0,0,2964,4.41,0.9861,3013.9,8,1.0,9,3,3,192,0.026889,0.2083,152.1739,13,4.3,0.1736,0.0533,1,1,0,0
130,4905,3015,0,0,3,1.7849,1,164.3,3012,0,4.44,1.0003,3014.0,3,1.0,11,3,1,179,0.024398,0.1552,54.5455,14,4.4,0.1034,0.0298,0,0,0,0
131,4904,3076,2,5,3,1.9344,1,176.3,3066,0,4.48,1.0186,3019.9,10,1.0,13,4,2,220,0.018644,0.1463,131.5789,15,4.1,0.0915,0.0251,1,0,0,0
132,4903,2962,1,4,3,1.9357,1,168.0,2,2949,4.43,0.9826,3014.4,13,1.0,10,1,4,207,0.02028,0.1714,213.1148,16,5.3,0.1,0.0379,0,0,0,0
133,4902,3006,1,5,1,1.9086,2,178.4,2,2989,4.46,0.9975,3013.6,17,1.0,10,3,3,222,0.021146,0.1429,241.9355,11,4.6,0.1143,0.0321,1,0,0,0
134,4899,3064,0,0,3,1.9347,2,165.1,3050,0,4.49,1.0151,3018.4,14,1.0,9,0,1,187,0.027439,0.1528,202.8986,12,5.9,0.1083,0.031,0,0,0,0
135,4897,3022,0,0,3,1.9299,1,173.1,3017,0,4.48,1.0011,3018.7,5,1.0,6,0,3,182,0.028254,0.24,113.6364,11,7.0,0.148,0.0525,0,0,0,0
136,4894,3044,1,5,3,1.9687,1,170.3,3038,0,4.47,1.0076,3021.1,6,1.0,7,2,1,171,0.032445,0.2143,90.9091,12,6.9,0.128,0.0462,1,0,0,0
137,4892,3071,0,0,3,1.9875,1,166.4,3071,0,4.49,1.0149,3025.9,0,1.0,7,0,0,162,0.032287,0.2549,0.0,13,7.9,0.1405,0.0552,0,0,0,0
138,4892,2990,0,0,3,1.9893,1,175.8,0,2990,4.43,0.9893,3022.5,0,1.0,7,0,0,162,0.032283,0.25,0.0,14,8.9,0.15,0.0546,0,0,0,0
139,4891,2920,2,5,1,1.969,1,168.4,6,2909,4.4,0.9692,3012.7,11,1.0,10,6,3,224,0.023141,0.1556,243.9024,15,5.9,0.1074,0.0398,1,1,0,0
140,4888,2971,3,5,1,1.9878,1,174.9,7,2955,4.48,0.9875,3008.7,16,1.0,13,3,0,258,0.019164,0.1124,188.2353,16,5.3,0.0787,0.026,2,0,0,0
141,4887,2944,1,5,3,1.966,2,168.0,9,2925,4.37,0.9805,3002.6,19,1.0,13,3,3,297,0.01746,0.1132,170.0,17,6.2,0.0797,0.0226,1,0,0,0
142,4886,3004,2,5,3,1.8989,2,176.8,2980,0,4.46,1.0004,3002.7,24,1.0,11,3,5,324,0.01615,0.1359,260.8696,18,4.6,0.0874,0.0263,1,2,0,0
143,4886,3021,0,0,3,1.8743,2,168.8,3013,0,4.5,1.0055,3004.4,8,1.0,10,0,1,245,0.021584,0.1358,63.7229,19,5.9,0.0895,0.0311,0,0,0,0
144,4886,2970,2,3,1,1.8572,1,175.7,10,2960,4.38,0.9896,3001.2,10,1.0,13,5,2,255,0.01968,0.1351,95.2723,20,5.2,0.0912,0.0302,0,0,0,0
145,4883,2962,1,4,1,1.8741,1,169.1,8,2954,4.44,0.9882,2997.4,8,1.0,10,2,5,256,0.018948,0.1408,46.0159,21,5.6,0.0901,0.0363,0,3,0,0
146,4883,2945,4,5,1,1.9749,2,168.9,5,2925,4.5,0.9841,2992.4,20,1.0,14,7,3,292,0.017106,0.1333,235.2941,13,3.0,0.0873,0.0331,3,1,0,0
147,4882,3045,1,5,1,1.9562,2,175.4,3023,0,4.53,1.0159,2997.4,22,1.0,13,3,4,296,0.01765,0.1429,220.0,14,2.8,0.0906,0.0316,1,1,0,0
148,4882,3017,0,0,0,1.9547,2,168.6,3001,0,4.51,1.0062,2999.4,17,1.0,11,2,4,262,0.019332,0.1789,178.5714,15,4.1,0.0992,0.0376,0,0,0,0
149,4882,3065,2,5,3,1.9598,1,174.2,3050,0,4.51,1.0197,3005.7,15,1.0,8,2,5,261,0.021849,0.1548,214.2857,16,4.5,0.1122,0.0276,1,1,0,0
150,4881,2972,0,0,3,1.9621,1,167.6,0,2967,4.43,0.9899,3002.4,5,1.0,8,0,0,194,0.027635,0.2121,76.9231,17,5.5,0.1234,0.0459,0,0,0,0
151,4879,3030,2,4,3,1.997,1,172.2,3019,0,4.39,1.0083,3005.1,11,1.0,10,2,0,229,0.0219,0.1846,169.2308,18,5.2,0.1077,0.0332,0,0,0,0
152,4878,2865,2,4,3,1.9837,1,171.5,10,2855,4.3,0.9576,2991.7,10,1.0,12,2,0,260,0.019818,0.125,113.6364,19,5.2,0.0795,0.0272,0,0,0,0
153,4877,3003,1,5,3,1.9103,2,171.8,2993,0,4.51,1.0034,2992.8,10,1.0,10,3,5,302,0.016171,0.1158,34.75,20,6.9,0.0947,0.025,1,0,0,0
154,4875,3028,0,0,3,1.9713,2,167.4,3021,0,4.53,1.0106,2996.2,7,1.0,12,4,2,253,0.020115,0.1389,57.1787,21,6.6,0.092,0.0234,0,0,0,0
155,4875,2933,1,3,1,1.9787,1,168.8,7,2921,4.41,0.9809,2990.1,12,1.0,13,4,3,275,0.017452,0.0962,90.6064,22,5.8,0.0755,0.0169,0,1,0,0
156,4872,3059,0,0,3,1.9698,1,177.8,3044,0,4.5,1.0208,2996.7,15,1.0,15,3,1,260,0.017682,0.1154,170.8,23,5.9,0.0733,0.0222,0,0,0,0
157,4871,2980,1,5,3,1.9574,1,167.8,4,2966,4.37,0.995,2995.1,14,1.0,12,1,4,277,0.016654,0.1429,159.0909,24,7.2,0.088,0.0275,1,0,0,0
158,4869,3044,1,5,3,1.982,1,174.9,3022,0,4.48,1.0147,2999.8,22,1.0,16,8,4,291,0.016268,0.1132,226.8041,25,5.7,0.0755,0.0226,1,0,0,0
159,4864,3091,3,5,1,1.9899,2,171.5,3077,0,4.56,1.0316,3009.8,28,1.0,19,7,4,363,0.012637,0.0932,225.8333,26,5.6,0.0585,0.0221,1,0,0,0
160,4861,2938,1,3,3,1.971,2,175.7,11,2927,4.37,0.9784,3003.0,11,1.0,17,2,4,351,0.013091,0.0918,108.6957,27,6.9,0.0633,0.0172,0,0,0,0
161,4859,2955,0,0,3,1.9737,2,169.9,3,2952,4.39,0.9855,2998.4,3,1.0,14,0,3,323,0.01587,0.119,38.4615,28,8.1,0.0701,0.0245,0,1,0,0
162,4855,3045,0,0,3,1.9185,1,168.8,3042,0,4.47,1.014,3002.8,3,1.0,12,0,2,280,0.018428,0.1176,46.1538,29,10.2,0.0866,0.0212,0,0,0,0
163,4854,2917,3,5,1,1.8916,1,177.6,14,2898,4.46,0.9741,2994.6,19,1.0,18,7,1,331,0.014215,0.1101,180.9524,30,7.5,0.0615,0.0226,1,0,0,0
164,4850,2889,0,0,3,1.9539,1,168.6,11,2879,4.43,0.9683,2984.7,10,1.0,17,0,1,331,0.014957,0.1111,114.9425,31,8.9,0.0589,0.0248,0,0,0,0
165,4849,2857,0,0,3,1.9086,1,176.6,12,2842,4.37,0.9611,2972.5,15,1.0,15,7,9,368,0.012625,0.0991,134.0206,32,8.1,0.0631,0.021,0,2,0,0
166,4848,2999,3,5,3,1.906,1,163.9,2982,0,4.46,1.0081,2975.0,17,1.0,17,3,1,317,0.015229,0.098,178.9474,33,7.8,0.0632,0.0193,1,0,0,0
167,4848,2988,0,0,3,1.9716,1,175.0,2980,0,4.43,1.0039,2976.3,8,1.0,17,0,0,307,0.014032,0.1,81.6327,34,8.8,0.0644,0.0187,0,0,0,0
168,4848,3065,0,0,3,1.987,1,168.0,3063,0,4.6,1.0284,2985.2,7,1.0,16,2,3,325,0.014965,0.1489,55.5556,35,10.2,0.0745,0.0308,0,0,0,0
