atom_id,category,core_count,dev_count,core_ratio_pct,zero_core,thin_core,pos_n_pct,pos_v_pct,pos_adj_pct,unique_keys,unique_ratio_pct,mean_atoms_per_word,p95_atoms_per_word,generic_at_5pct,generic_at_10pct,generic_at_20pct,top1_overlap_atom,top1_overlap_count,top1_jaccard,sym_pair,sym_core_overlap
STA.danger,STA,51,243,17.3,False,False,64.7,19.6,15.7,26,51.0,1.86,4,0,0,0,LOG.cause,12,0.023,EXS.vitality,0
STA.healing,STA,86,336,20.4,False,False,53.5,33.7,12.8,54,62.8,1.93,6,0,0,0,ACT.obtain,12,0.037,STA.wound,0
STA.health,STA,35,193,15.4,False,False,17.1,5.7,77.1,23,65.7,1.49,3,0,0,0,EMO.hope,2,0.031,STA.illness,2
STA.illness,STA,236,786,23.1,False,False,50.0,13.1,36.9,189,80.1,1.28,3,0,0,0,COM.answer,5,0.013,STA.health,2
STA.pain,STA,198,363,35.3,False,False,62.1,27.8,10.1,82,41.4,2.25,5,1,0,0,STA.wound,87,0.352,STA.comfort,0
STA.peace,STA,41,27,60.3,False,False,48.8,7.3,43.9,27,65.9,1.61,4,0,0,0,SOC.rest,8,0.095,STA.war,0
STA.poverty,STA,67,96,41.1,False,False,44.8,17.9,37.3,41,61.2,1.9,5,0,0,0,EMO.desire,7,0.042,STA.wealth,0
STA.war,STA,95,148,39.1,False,False,61.1,28.4,10.5,67,70.5,1.82,6,0,0,0,SOC.individual,13,0.006,STA.peace,0
STA.wealth,STA,33,44,42.9,False,False,48.5,6.1,45.5,21,63.6,1.52,4,0,0,0,ECO.price,3,0.026,STA.poverty,0
STA.wound,STA,136,193,41.3,False,False,67.6,27.9,4.4,32,23.5,2.37,5,0,0,0,STA.pain,87,0.352,STA.healing,0
TIM.appear,TIM,64,212,23.2,False,False,26.6,68.8,4.7,39,60.9,2.06,6,0,0,0,EXS.being,7,0.007,ACT.leave,1
TIM.come,TIM,66,296,18.2,False,False,39.4,59.1,1.5,6,9.1,3.47,8,1,0,0,ACT.arrive,41,0.414,ACT.go,0
TIM.indefinite,TIM,24,3,88.9,False,False,25.0,0.0,75.0,16,66.7,1.33,2,0,0,0,EMO.doubt,5,0.068,TIM.period,0
TIM.moment,TIM,38,144,20.9,False,False,76.3,13.2,10.5,30,78.9,1.47,5,0,0,0,ACT.stop,4,0.03,FND.time,0
TIM.now,TIM,33,68,32.7,False,False,54.5,21.2,12.1,6,18.2,3.03,6,0,0,0,COM.speak,14,0.029,TIM.past,0
TIM.past,TIM,42,189,18.2,False,False,16.7,0.0,83.3,27,64.3,1.69,4,0,0,0,ELM.morning,6,0.072,TIM.now,0
TIM.period,TIM,273,619,30.6,False,False,73.3,12.1,14.7,179,65.6,1.63,4,0,0,0,FND.time,26,0.079,TIM.indefinite,0
VAL.beauty,VAL,83,181,31.4,False,False,38.6,13.3,48.2,57,68.7,1.51,3,0,0,0,BEI.female,13,0.055,VAL.ugliness,0
VAL.correct,VAL,94,786,10.7,False,False,46.8,27.7,25.5,59,62.8,1.7,5,0,0,0,SOC.individual,7,0.003,VAL.incorrect,1
VAL.evil,VAL,93,59,61.2,False,False,40.9,4.3,54.8,55,59.1,1.59,4,0,0,0,EMO.hate,9,0.058,VAL.good,3
VAL.falsehood,VAL,74,123,37.6,False,False,47.3,27.0,25.7,45,60.8,1.62,4,0,0,0,VAL.incorrect,8,0.092,VAL.truth,1
VAL.good,VAL,48,64,42.9,False,False,47.9,2.1,50.0,26,54.2,1.81,4,0,0,0,EMO.compassion,6,0.061,VAL.evil,3
VAL.incorrect,VAL,21,6,77.8,False,False,19.0,0.0,81.0,10,47.6,1.76,4,0,0,0,VAL.falsehood,8,0.092,VAL.correct,1
VAL.profane,VAL,74,703,9.5,False,False,36.5,29.7,33.8,26,35.1,2.01,4,0,0,0,WLD.secular,25,0.329,VAL.sacred,1
VAL.sacred,VAL,47,39,54.7,False,False,40.4,0.0,59.6,31,66.0,1.51,3,0,0,0,WLD.religion,5,0.031,VAL.profane,1
VAL.truth,VAL,31,263,10.5,False,False,54.8,0.0,45.2,16,51.6,1.68,4,0,0,0,ABS.responsibility,7,0.082,VAL.falsehood,1
VAL.ugliness,VAL,50,69,42.0,False,False,42.0,2.0,56.0,33,66.0,1.56,4,0,0,0,VAL.evil,8,0.059,VAL.beauty,0
WLD.art,WLD,117,142,45.2,False,False,62.4,17.9,19.7,91,77.8,1.51,4,0,0,0,SOC.individual,10,0.005,WLD.artless,0
WLD.artless,WLD,98,3,97.0,False,False,38.8,41.8,19.4,42,42.9,2.04,4,0,0,0,EMO.manifest,13,0.083,WLD.art,0
WLD.culture,WLD,18,98,15.5,False,False,77.8,11.1,11.1,15,83.3,1.17,2,0,0,0,COM.teach,3,0.028,WLD.uncultured,0
WLD.nonscience,WLD,237,505,31.9,False,False,64.6,10.5,24.9,92,38.8,2.01,5,0,0,0,WLD.religion,87,0.321,WLD.science,0
WLD.outer_realm,WLD,20,70,22.2,False,False,45.0,0.0,55.0,3,15.0,2.35,7,0,0,0,SPC.outside,16,0.696,WLD.realm,0
WLD.realm,WLD,26,63,29.2,False,False,92.3,3.8,3.8,11,42.3,2.12,6,0,0,0,SOC.nation,4,0.024,WLD.outer_realm,0
WLD.religion,WLD,121,237,33.8,False,False,70.2,2.5,27.3,27,22.3,1.94,3,0,0,0,WLD.nonscience,87,0.321,WLD.secular,0
WLD.science,WLD,119,303,28.2,False,False,60.5,6.7,32.8,82,68.9,1.52,4,0,0,0,SOC.individual,12,0.006,WLD.nonscience,0
WLD.secular,WLD,27,23,54.0,False,False,29.6,0.0,70.4,2,7.4,2.33,5,0,0,0,VAL.profane,25,0.329,WLD.religion,0
WLD.technique,WLD,86,143,37.6,False,False,79.1,10.5,10.5,60,69.8,1.7,5,0,0,0,SOC.individual,9,0.004,WLD.unskilled,0
WLD.uncultured,WLD,26,0,100.0,False,False,34.6,0.0,65.4,10,38.5,2.15,5,0,0,0,WLD.artless,5,0.042,WLD.culture,0
WLD.unskilled,WLD,99,649,13.2,False,False,41.4,11.1,47.5,31,31.3,2.43,6,0,0,0,CHG.begin,39,0.262,WLD.technique,0
