cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
98,32,0.5652,0.6729,0.8174,15.5495,0.5833,0.5933,0.8552,10.2946,0.0181,-0.0796,0.0378,-5.2549,loss_familiarity,1,hosted
99,32,0.6957,0.6948,0.8608,26.6674,0.75,0.6117,0.8656,24.0153,0.0543,-0.0831,0.0048,-2.6521,loss_familiarity,1,hosted
11,33,0.9167,0.6532,0.8394,29.974,0.88,0.6706,0.8198,30.5785,-0.0367,0.0174,-0.0196,0.6045,,0,hosted
21,33,0.625,0.6665,0.8218,8.6709,0.64,0.703,0.8062,8.7334,0.015,0.0366,-0.0156,0.0625,,0,hosted
22,33,0.9167,0.679,0.8566,15.5146,0.88,0.6007,0.8216,16.5194,-0.0367,-0.0783,-0.0349,1.0048,,0,hosted
25,33,0.9167,0.667,0.8688,14.5202,0.88,0.6374,0.8432,15.0593,-0.0367,-0.0296,-0.0256,0.5391,,0,hosted
35,33,0.9167,0.6625,0.8256,7.0146,0.92,0.7415,0.8377,6.8687,0.0033,0.079,0.0122,-0.1459,,0,hosted
36,33,0.875,0.6391,0.8638,19.2066,0.92,0.6416,0.8682,24.1145,0.045,0.0024,0.0044,4.9079,gain_familiarity,1,hosted
40,33,0.9583,0.6847,0.842,15.3011,0.92,0.6599,0.8608,12.7981,-0.0383,-0.0248,0.0188,-2.503,loss_familiarity,1,hosted
67,33,0.9583,0.7343,0.855,19.8606,0.92,0.6199,0.8479,13.4153,-0.0383,-0.1144,-0.0071,-6.4454,loss_stability|loss_familiarity,2,hosted
76,33,1.0,0.6633,0.861,15.8988,1.0,0.6706,0.8782,15.679,0.0,0.0073,0.0172,-0.2199,,0,hosted
86,33,0.9583,0.716,0.8644,15.9753,0.92,0.6713,0.8262,12.8898,-0.0383,-0.0447,-0.0382,-3.0855,loss_familiarity,1,hosted
88,33,0.9583,0.6635,0.8777,25.6522,0.92,0.6657,0.8175,15.6765,-0.0383,0.0022,-0.0602,-9.9757,loss_familiarity,1,hosted
91,33,0.9167,0.5923,0.8341,10.7102,0.88,0.6849,0.8371,10.1268,-0.0367,0.0925,0.003,-0.5833,,0,hosted
95,33,0.9583,0.6712,0.8642,16.1163,0.96,0.6608,0.851,16.4148,0.0017,-0.0103,-0.0132,0.2985,,0,hosted
98,33,0.5833,0.5933,0.8552,10.2946,0.64,0.7117,0.8439,16.21,0.0567,0.1184,-0.0113,5.9155,gain_stability|gain_familiarity,2,hosted
99,33,0.75,0.6117,0.8656,24.0153,0.76,0.6808,0.8537,24.3536,0.01,0.0691,-0.0119,0.3384,,0,hosted
101,33,0.2917,0.6543,0.8813,10.5507,0.52,0.6441,0.8368,11.6904,0.2283,-0.0102,-0.0445,1.1397,gain_social,1,hosted
102,33,0.4167,0.701,0.8485,15.3369,0.48,0.6847,0.8564,17.4791,0.0633,-0.0162,0.0079,2.1422,gain_familiarity,1,hosted
11,34,0.88,0.6706,0.8198,30.5785,0.8462,0.6793,0.8437,33.3203,-0.0338,0.0087,0.0239,2.7419,gain_familiarity,1,hosted
21,34,0.64,0.703,0.8062,8.7334,0.6154,0.6304,0.7934,8.8767,-0.0246,-0.0726,-0.0128,0.1433,,0,hosted
22,34,0.88,0.6007,0.8216,16.5194,0.9231,0.6236,0.8785,17.5774,0.0431,0.0228,0.0569,1.0579,,0,hosted
25,34,0.88,0.6374,0.8432,15.0593,0.8077,0.6337,0.8713,21.4907,-0.0723,-0.0037,0.0281,6.4314,gain_familiarity,1,hosted
35,34,0.92,0.7415,0.8377,6.8687,0.8462,0.6839,0.8287,8.8091,-0.0738,-0.0576,-0.009,1.9403,,0,hosted
36,34,0.92,0.6416,0.8682,24.1145,0.8846,0.6195,0.8404,15.4642,-0.0354,-0.0221,-0.0278,-8.6503,loss_familiarity,1,hosted
40,34,0.92,0.6599,0.8608,12.7981,0.9231,0.6011,0.8695,17.3674,0.0031,-0.0588,0.0087,4.5693,gain_familiarity,1,hosted
67,34,0.92,0.6199,0.8479,13.4153,0.9615,0.6765,0.8635,14.445,0.0415,0.0566,0.0156,1.0297,,0,hosted
76,34,1.0,0.6706,0.8782,15.679,1.0,0.6633,0.8454,16.7827,0.0,-0.0072,-0.0329,1.1037,,0,hosted
86,34,0.92,0.6713,0.8262,12.8898,0.9231,0.6577,0.8756,21.5741,0.0031,-0.0136,0.0494,8.6843,gain_familiarity,1,hosted
88,34,0.92,0.6657,0.8175,15.6765,0.8846,0.6713,0.8714,18.6818,-0.0354,0.0056,0.0539,3.0052,gain_familiarity,1,hosted
91,34,0.88,0.6849,0.8371,10.1268,0.9231,0.6882,0.8631,14.603,0.0431,0.0033,0.026,4.4762,gain_familiarity,1,hosted
95,34,0.96,0.6608,0.851,16.4148,0.9615,0.7247,0.846,17.0157,0.0015,0.0638,-0.005,0.6009,,0,hosted
98,34,0.64,0.7117,0.8439,16.21,0.6538,0.6841,0.8341,14.4935,0.0138,-0.0277,-0.0098,-1.7165,,0,hosted
99,34,0.76,0.6808,0.8537,24.3536,0.7692,0.7145,0.8639,24.7381,0.0092,0.0336,0.0101,0.3844,,0,hosted
101,34,0.52,0.6441,0.8368,11.6904,0.5769,0.6155,0.8168,8.4853,0.0569,-0.0285,-0.0199,-3.2051,loss_familiarity,1,hosted
102,34,0.48,0.6847,0.8564,17.4791,0.5,0.6661,0.8405,17.5118,0.02,-0.0187,-0.0159,0.0328,,0,hosted
103,34,0.08,0.6609,0.8481,33.352,0.2308,0.5839,0.8313,12.8105,0.1508,-0.077,-0.0168,-20.5415,gain_social|loss_familiarity,2,hosted
11,35,0.8462,0.6793,0.8437,33.3203,0.96,0.7282,0.8539,16.3324,0.1138,0.0489,0.0102,-16.9879,gain_social|loss_familiarity,2,hosted
21,35,0.6154,0.6304,0.7934,8.8767,0.68,0.6228,0.7844,7.745,0.0646,-0.0077,-0.009,-1.1318,,0,hosted
22,35,0.9231,0.6236,0.8785,17.5774,0.96,0.655,0.8435,15.124,0.0369,0.0315,-0.035,-2.4533,loss_familiarity,1,hosted
25,35,0.8077,0.6337,0.8713,21.4907,0.88,0.7241,0.8627,25.0255,0.0723,0.0904,-0.0086,3.5348,gain_familiarity,1,hosted
35,35,0.8462,0.6839,0.8287,8.8091,1.0,0.6646,0.8281,6.1733,0.1538,-0.0192,-0.0007,-2.6358,gain_social|loss_familiarity,2,hosted
36,35,0.8846,0.6195,0.8404,15.4642,0.92,0.711,0.8567,16.2417,0.0354,0.0915,0.0163,0.7774,,0,hosted
40,35,0.9231,0.6011,0.8695,17.3674,1.0,0.6818,0.8643,14.5214,0.0769,0.0808,-0.0052,-2.8459,loss_familiarity,1,hosted
67,35,0.9615,0.6765,0.8635,14.445,0.96,0.6378,0.8263,10.0441,-0.0015,-0.0387,-0.0372,-4.4009,loss_familiarity,1,hosted
76,35,1.0,0.6633,0.8454,16.7827,1.0,0.673,0.8557,20.904,0.0,0.0096,0.0104,4.1213,gain_familiarity,1,hosted
86,35,0.9231,0.6577,0.8756,21.5741,1.0,0.6572,0.8456,14.7839,0.0769,-0.0005,-0.03,-6.7903,loss_familiarity,1,hosted
88,35,0.8846,0.6713,0.8714,18.6818,0.96,0.6967,0.8686,13.0736,0.0754,0.0254,-0.0028,-5.6082,loss_familiarity,1,hosted
91,35,0.9231,0.6882,0.8631,14.603,1.0,0.6278,0.8682,14.0627,0.0769,-0.0603,0.005,-0.5403,,0,hosted
98,35,0.6538,0.6841,0.8341,14.4935,0.76,0.6678,0.8185,9.0194,0.1062,-0.0163,-0.0156,-5.4741,gain_social|loss_familiarity,2,hosted
99,35,0.7692,0.7145,0.8639,24.7381,0.84,0.6845,0.8551,17.9219,0.0708,-0.03,-0.0088,-6.8162,loss_familiarity,1,hosted
101,35,0.5769,0.6155,0.8168,8.4853,0.64,0.6672,0.7897,6.1498,0.0631,0.0516,-0.0272,-2.3355,loss_familiarity,1,hosted
102,35,0.5,0.6661,0.8405,17.5118,0.68,0.6821,0.8345,11.9017,0.18,0.0161,-0.006,-5.6102,gain_social|loss_familiarity,2,hosted
103,35,0.2308,0.5839,0.8313,12.8105,0.4,0.7035,0.8214,11.2711,0.1692,0.1197,-0.0099,-1.5395,gain_social|gain_stability,2,hosted
11,36,0.96,0.7282,0.8539,16.3324,0.963,0.5643,0.8158,11.2683,0.003,-0.1639,-0.0381,-5.0642,loss_stability|loss_familiarity,2,hosted
21,36,0.68,0.6228,0.7844,7.745,0.6296,0.633,0.8267,9.0145,-0.0504,0.0103,0.0423,1.2695,,0,hosted
22,36,0.96,0.655,0.8435,15.124,0.963,0.6614,0.8547,14.0257,0.003,0.0064,0.0112,-1.0983,,0,hosted
25,36,0.88,0.7241,0.8627,25.0255,0.8889,0.6461,0.8692,21.3177,0.0089,-0.078,0.0065,-3.7078,loss_familiarity,1,hosted
35,36,1.0,0.6646,0.8281,6.1733,0.9259,0.6253,0.8275,6.944,-0.0741,-0.0393,-0.0005,0.7707,,0,hosted
36,36,0.92,0.711,0.8567,16.2417,0.8889,0.6894,0.8595,22.8131,-0.0311,-0.0216,0.0028,6.5714,gain_familiarity,1,hosted
40,36,1.0,0.6818,0.8643,14.5214,1.0,0.6805,0.8709,20.1013,0.0,-0.0013,0.0066,5.5799,gain_familiarity,1,hosted
67,36,0.96,0.6378,0.8263,10.0441,0.8889,0.6748,0.8406,13.3382,-0.0711,0.037,0.0143,3.2942,gain_familiarity,1,hosted
76,36,1.0,0.673,0.8557,20.904,0.8889,0.7028,0.8603,21.2065,-0.1111,0.0299,0.0045,0.3026,loss_social,1,hosted
