window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
93,4906,2954,1,5,3,1.987,1,169.9,4,2945,4.39,0.979,3017.3,9,1.0,8,2,2,183,0.031324,0.1864,142.8571,20,8.1,0.1483,0.0479,1,0,0,0,0.288136,0.015625,9,0.9458,8.3254,0.4879
94,4905,3129,0,0,3,1.973,1,174.9,3159,0,4.6,1.0429,3031.0,2,1.0,7,0,1,155,0.031817,0.2,45.4545,21,10.0,0.1833,0.0554,0,0,0,0,0.222222,0.015625,7,0.9297,8.5254,0.4892
95,4905,2970,1,5,1,1.957,1,167.7,0,2965,4.37,0.9818,3025.2,5,1.0,6,1,2,168,0.03331,0.2241,94.3396,22,10.0,0.1621,0.0592,1,0,0,0,0.275862,0.015625,7,0.9434,8.5943,0.4897
96,4904,2998,0,0,1,1.9336,1,171.5,0,2998,4.45,0.9919,3022.6,0,1.0,6,0,0,140,0.039718,0.2453,0.0,23,11.0,0.1811,0.0591,0,0,0,0,0.245283,0.015625,6,0.9363,8.8207,0.4905
97,4903,3025,1,3,3,1.9436,1,169.0,3019,0,4.45,1.0007,3022.8,6,1.0,9,5,2,186,0.021738,0.1944,121.2121,24,8.0,0.1111,0.0388,0,0,0,0,0.194444,0.015625,10,0.9196,9.0152,0.4906
98,4902,3001,1,5,3,1.8887,1,174.4,0,2997,4.5,0.9935,3020.8,4,1.0,7,1,3,191,0.023678,0.1961,88.8889,25,9.6,0.1422,0.0417,1,2,0,0,0.196078,0.015625,9,0.9203,9.1328,0.4926
99,4901,2943,1,5,3,1.8752,2,169.7,0,2938,4.37,0.9767,3013.4,5,1.0,6,1,2,162,0.02867,0.2439,131.5789,26,11.0,0.1951,0.064,1,1,0,0,0.243902,0.015625,8,0.9359,9.206,0.4936
100,4901,3110,2,5,1,1.9231,2,170.5,3111,0,4.52,1.0316,3023.4,8,1.0,7,3,2,179,0.028331,0.2,127.2727,27,9.9,0.1467,0.0372,1,0,0,0,0.2,0.015625,9,0.9219,9.256,0.4924
101,4900,3026,3,5,1,1.8851,2,170.6,3016,0,4.47,1.0008,3023.7,10,1.0,9,3,1,218,0.021205,0.1622,142.8571,28,6.0,0.11,0.0379,2,0,0,0,0.162162,0.015625,10,0.9036,9.3236,0.491
102,4900,2981,1,5,1,1.9013,2,171.8,0,2971,4.4,0.9872,3019.6,10,1.0,10,1,0,223,0.023415,0.1781,136.9863,29,6.3,0.1027,0.0307,1,0,0,0,0.178082,0.015625,10,0.9123,9.4058,0.4897
103,4897,3025,0,0,3,1.9721,2,171.8,3025,0,4.55,1.0016,3020.1,0,1.0,8,0,2,222,0.022245,0.1571,0.0,30,6.0,0.1214,0.0333,0,2,0,0,0.157143,0.015625,10,0.9006,9.5629,0.4891
104,4894,3028,3,5,1,1.9814,1,174.8,3014,0,4.43,1.0024,3020.9,14,1.0,9,3,2,237,0.022846,0.1867,197.1831,31,5.4,0.1086,0.0341,2,1,0,0,0.32,0.015625,9,0.9512,9.6696,0.4867
105,4892,2952,2,3,3,1.9893,1,172.2,11,2931,4.41,0.9793,3014.3,21,1.0,9,4,4,235,0.020801,0.1446,272.7273,32,5.2,0.1145,0.0273,0,1,0,0,0.277108,0.015625,10,0.9436,9.766,0.484
106,4888,2962,1,3,3,1.9803,2,169.2,17,2935,4.46,0.9843,3009.3,27,1.0,9,4,4,234,0.020301,0.1548,337.8378,33,5.0,0.1161,0.0307,0,2,0,0,0.285714,0.015625,10,0.9453,9.7898,0.4818
107,4887,2979,1,5,3,1.996,2,174.0,19,2955,4.41,0.9909,3006.4,24,1.0,9,1,1,187,0.027361,0.1618,369.2308,34,5.9,0.1029,0.0308,1,0,0,0,0.176471,0.015625,8,0.9115,9.7898,0.48
108,4883,3019,1,5,3,1.9647,2,168.1,3000,0,4.46,1.0038,3007.6,19,1.0,10,1,0,202,0.026269,0.1429,246.7532,35,6.2,0.1017,0.024,1,0,0,0,0.168831,0.015625,9,0.9075,9.7898,0.477
109,4880,2938,1,3,3,1.9671,2,177.2,10,2923,4.38,0.979,3001.0,15,1.0,14,8,4,242,0.01829,0.1163,189.8734,36,4.8,0.0814,0.0239,0,0,0,0,0.139535,0.015625,12,0.888,9.7898,0.4729
110,4877,2927,1,5,3,1.933,2,165.4,16,2906,4.44,0.9776,2994.0,21,1.0,14,2,2,257,0.017627,0.16,222.2222,37,5.4,0.0771,0.0309,1,0,0,0,0.16,0.015625,13,0.9023,9.7898,0.468
111,4872,3034,1,3,3,1.916,2,173.7,3023,0,4.45,1.0121,2997.8,11,1.0,14,3,3,256,0.018755,0.1075,129.4118,38,5.6,0.0753,0.0194,0,1,0,0,0.16129,0.015625,13,0.9031,9.7898,0.4648
112,4866,2949,0,0,3,1.9068,2,169.5,0,2949,4.41,0.9853,2993.1,0,1.0,11,0,3,233,0.020865,0.125,0.0,39,7.7,0.0958,0.0301,0,1,0,0,0.229167,0.015625,12,0.9318,9.7898,0.4632
113,4861,2925,1,3,3,1.9242,1,165.5,4,2916,4.42,0.9794,2986.6,9,1.0,14,8,5,224,0.019079,0.1084,120.0,40,6.2,0.0843,0.0235,0,0,0,0,0.156627,0.015625,14,0.9002,9.7898,0.4613
114,4859,3040,1,5,3,1.8064,1,173.5,3026,0,4.44,1.0161,2991.7,14,1.0,12,1,3,232,0.01937,0.1268,222.2222,41,7.1,0.0789,0.0296,1,1,0,0,0.140845,0.015625,12,0.8891,9.7898,0.4583
115,4856,3007,1,5,1,1.9183,2,166.4,2994,0,4.46,1.0046,2993.2,13,1.0,10,1,3,194,0.023975,0.1733,183.0986,42,8.0,0.0987,0.043,1,1,0,0,0.173333,0.015625,10,0.9099,9.7898,0.455
116,4852,3047,1,5,1,1.9457,2,177.1,3042,0,4.48,1.0162,2998.3,5,1.0,9,1,2,196,0.02467,0.2281,94.3396,43,8.4,0.117,0.0532,1,0,0,0,0.22807,0.015625,10,0.9315,9.7898,0.4512
117,4852,2943,2,4,3,1.9884,2,167.5,6,2932,4.47,0.9833,2993.0,11,1.0,10,2,1,216,0.024732,0.2727,203.7037,44,8.1,0.1061,0.0626,0,0,0,0,0.381818,0.015625,9,0.9591,9.7898,0.4487
118,4851,2953,2,5,3,1.9837,2,175.9,6,2937,4.48,0.9879,2989.2,16,1.0,10,4,4,251,0.018281,0.1558,231.8841,45,6.9,0.0909,0.0315,1,1,0,0,0.194805,0.015625,11,0.9198,9.7898,0.4463
119,4851,3025,0,0,3,1.9957,2,166.9,3014,0,4.5,1.0108,2992.6,11,1.0,9,0,1,193,0.027439,0.1818,152.7778,46,7.1,0.1299,0.0423,0,1,0,0,0.181818,0.015625,9,0.9141,9.7898,0.4427
120,4850,2973,0,0,3,1.9367,1,172.9,10,2963,4.49,0.9941,2990.8,10,1.0,10,4,3,187,0.022044,0.1321,204.0816,47,7.1,0.0868,0.023,0,0,0,0,0.188679,0.015625,9,0.9172,9.7898,0.4399
121,4849,3032,2,7,3,1.9446,1,168.7,3010,0,4.54,1.0125,2994.7,22,1.0,13,5,2,235,0.018218,0.1951,293.3333,48,6.0,0.064,0.0427,0,1,0,0,0.195122,0.015625,12,0.9199,9.7898,0.4383
122,4848,3038,0,0,3,1.9766,1,164.4,3020,0,4.4,1.0134,2998.9,19,1.0,10,0,3,212,0.025045,0.2154,310.3448,49,8.4,0.0885,0.0496,0,0,0,0,0.215385,0.015625,11,0.9275,9.7898,0.4377
123,4846,2977,0,0,3,1.9289,1,175.5,6,2966,4.4,0.9934,2996.8,11,1.0,8,2,4,198,0.026311,0.2759,176.4706,50,10.5,0.1034,0.0633,0,0,0,0,0.275862,0.015625,10,0.9434,9.7898,0.4372
124,4844,2842,2,4,3,1.9289,1,166.6,8,2834,4.38,0.953,2982.1,8,1.0,7,2,3,194,0.029897,0.2083,190.4762,10,4.9,0.0972,0.0522,0,1,0,0,0.208333,0.015625,10,0.925,9.7898,0.4364
125,4841,2924,1,4,3,1.9498,1,174.7,4,2915,4.34,0.9823,2976.5,9,1.0,8,3,2,176,0.033832,0.2817,134.3284,10,3.8,0.0845,0.0696,0,1,0,0,0.28169,0.015625,9,0.9445,9.7898,0.4352
126,4839,2903,2,5,1,1.8349,2,164.8,9,2889,4.38,0.9776,2969.5,14,1.0,9,3,2,196,0.021979,0.2237,183.0986,11,3.6,0.1491,0.0453,1,0,0,0,0.223684,0.015625,11,0.9301,9.7898,0.4319
127,4838,2940,0,0,3,1.7842,2,171.6,9,2926,4.37,0.991,2966.7,14,1.0,7,1,3,188,0.027174,0.1964,250.0,12,4.0,0.125,0.0522,0,1,0,0,0.196429,0.015625,10,0.9205,9.7898,0.4288
128,4838,3026,4,5,3,1.9142,1,168.1,3001,0,4.39,1.018,2972.4,25,1.0,11,4,0,214,0.022508,0.1429,324.6753,13,3.2,0.0996,0.0303,1,0,0,0,0.181818,0.015625,10,0.9141,9.7898,0.428
