seed,window,rate,pct_none,pct_small,pct_large,H2,H3,dH,J2,J3
1337,14,0.0,94.4,5.6,0.0,0.6144,0.6144,0.0,0.2018,0.2018
1337,15,0.0,83.3,16.7,0.0,1.2075,1.2075,0.0,0.27,0.27
1337,16,0.0,76.2,23.8,0.0,1.4746,1.4746,0.0,0.8097,0.8097
1337,17,0.0,73.3,26.7,0.0,1.3383,1.3383,0.0,0.8531,0.8531
1337,18,0.0,94.1,5.9,0.0,0.6402,0.6402,0.0,-0.0734,-0.0734
1337,19,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2521,-0.2521
1337,20,0.0,90.9,9.1,0.0,0.8659,0.8659,0.0,0.1781,0.1781
1337,21,0.0,92.9,7.1,0.0,0.7345,0.7345,0.0,0.0215,0.0215
1337,22,0.0,55.6,44.4,11.1,1.8911,1.8911,0.0,1.3465,1.3465
1337,23,0.0,88.9,11.1,0.0,0.8031,0.8031,0.0,0.4211,0.4211
1337,24,0.0,92.3,7.7,0.0,0.7732,0.7732,0.0,0.0819,0.0819
1337,25,0.0,72.7,27.3,0.0,1.7899,1.7899,0.0,1.049,1.049
2024,1,0.0,89.3,10.7,0.0,0.9278,0.9278,0.0,-0.2332,-0.2332
2024,2,0.0,93.0,7.0,0.0,0.7781,0.7781,0.0,-0.3196,-0.3196
2024,3,0.0,94.4,5.6,0.0,0.6144,0.6144,0.0,-0.2969,-0.2969
2024,4,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2593,-0.2593
2024,5,0.0,88.9,11.1,0.0,1.0975,1.0975,0.0,0.2846,0.2846
2024,6,0.0,88.9,11.1,0.0,0.8031,0.8031,0.0,0.0082,0.0082
2024,7,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.202,-0.202
2024,8,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
2024,9,0.0,75.0,25.0,0.0,1.3527,1.3527,0.0,0.839,0.839
2024,10,0.0,87.0,13.0,4.3,1.2087,1.2087,0.0,0.2867,0.2867
2024,11,0.0,86.7,13.3,0.0,1.1033,1.1033,0.0,0.3498,0.3498
2024,12,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.115,-0.115
2024,13,0.0,71.4,28.6,0.0,1.7783,1.7783,0.0,1.1752,1.1752
2024,14,0.0,91.7,8.3,0.0,0.8167,0.8167,0.0,0.1759,0.1759
2024,15,0.0,82.4,17.6,0.0,1.3216,1.3216,0.0,0.3542,0.3542
2024,16,0.0,94.1,5.9,0.0,0.6402,0.6402,0.0,-0.0894,-0.0894
2024,17,0.0,88.2,11.8,11.8,1.0224,1.0224,0.0,0.3362,0.3362
2024,18,0.0,83.3,16.7,0.0,0.9445,0.9445,0.0,0.3323,0.3323
2024,19,0.0,80.0,20.0,0.0,1.053,1.053,0.0,0.0969,0.0969
2024,20,0.0,96.9,3.1,3.1,0.3998,0.3998,0.0,-0.3486,-0.3486
2024,21,0.0,87.0,13.0,0.0,1.2087,1.2087,0.0,0.3,0.3
2024,22,0.0,83.3,16.7,0.0,1.2516,1.2516,0.0,0.524,0.524
2024,23,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0631,-0.0631
2024,24,0.0,87.5,12.5,12.5,0.9934,0.9934,0.0,0.1498,0.1498
2024,25,0.0,90.9,9.1,0.0,0.8659,0.8659,0.0,0.0532,0.0532
7,1,0.0005,99.1,0.9,0.0,0.1493,0.1493,0.0,-0.8507,-0.8507
7,2,0.0005,92.8,7.2,0.0,0.6806,0.6806,0.0,-0.2801,-0.2801
7,3,0.0005,81.0,19.0,0.0,1.4372,1.4372,0.0,0.518,0.518
7,4,0.0005,78.6,21.4,0.0,1.4838,1.4838,0.0,0.3924,0.3924
7,5,0.0005,89.5,10.5,0.0,1.0583,1.0583,0.0,0.0526,0.0526
7,6,0.0005,91.3,8.7,4.3,0.7654,0.7654,0.0,-0.288,-0.288
7,7,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2383,-0.2383
7,8,0.0005,89.5,10.5,0.0,0.7742,0.7742,0.0,0.0637,0.0637
7,9,0.0005,50.0,50.0,0.0,1.4591,1.4591,0.0,1.0601,1.0601
7,10,0.0005,83.3,16.7,16.7,1.0409,1.0409,0.0,0.7731,0.7731
7,11,0.0005,92.3,7.7,0.0,0.7732,0.7732,0.0,0.1253,0.1253
7,12,0.0005,66.7,33.3,8.3,1.8554,1.8554,0.0,1.1655,1.1655
7,13,0.0005,88.2,11.8,0.0,1.1401,1.1401,0.0,0.3652,0.3652
7,14,0.0005,80.0,20.0,10.0,1.4412,1.4412,0.0,0.4212,0.4212
7,15,0.0005,87.5,12.5,12.5,0.5436,0.5436,0.0,0.087,0.087
7,16,0.0005,91.7,8.3,8.3,0.8167,0.8167,0.0,0.029,0.029
7,17,0.0005,85.7,14.3,0.0,1.2917,1.2917,0.0,0.343,0.343
7,18,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0999,-0.0999
7,19,0.0005,73.7,26.3,0.0,1.723,1.723,0.0,1.1012,1.1012
7,20,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0392,0.0392
7,21,0.0005,84.6,15.4,7.7,1.1982,1.1982,0.0,0.6155,0.6155
7,22,0.0005,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.1196,-0.1196
7,23,0.0005,90.0,10.0,0.0,0.469,0.469,0.0,-0.1338,-0.1338
7,24,0.0005,66.7,33.3,25.0,1.7296,1.7296,0.0,1.0054,1.0054
7,25,0.0005,85.7,14.3,0.0,1.1488,1.1488,0.0,0.5297,0.5297
42,1,0.0005,97.4,2.6,0.0,0.2962,0.2962,0.0,-0.7038,-0.7038
42,2,0.0005,91.2,8.8,0.0,0.8776,0.8776,0.0,-0.0636,-0.0636
42,3,0.0005,93.3,6.7,6.7,0.6998,0.6998,0.0,-0.1866,-0.1866
42,4,0.0005,93.8,6.2,0.0,0.6686,0.6686,0.0,-0.0771,-0.0771
42,5,0.0005,85.0,15.0,0.0,1.054,1.054,0.0,0.1955,0.1955
42,6,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1286,-0.1286
42,7,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
42,8,0.0005,94.7,5.3,0.0,0.5907,0.5907,0.0,-0.1753,-0.1753
42,9,0.0005,83.3,16.7,0.0,1.2075,1.2075,0.0,0.273,0.273
42,10,0.0005,88.9,11.1,0.0,0.5033,0.5033,0.0,0.0092,0.0092
42,11,0.0005,88.9,11.1,0.0,0.9864,0.9864,0.0,0.2277,0.2277
42,12,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1519,-0.1519
42,13,0.0005,90.9,9.1,9.1,0.8659,0.8659,0.0,0.1781,0.1781
42,14,0.0005,76.9,23.1,7.7,1.5466,1.5466,0.0,0.6319,0.6319
42,15,0.0005,88.9,11.1,11.1,1.0975,1.0975,0.0,0.1035,0.1035
42,16,0.0005,77.4,22.6,0.0,1.6212,1.6212,0.0,0.643,0.643
42,17,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0003,0.0003
42,18,0.0005,84.2,15.8,0.0,1.232,1.232,0.0,0.4531,0.4531
42,19,0.0005,89.5,10.5,0.0,0.953,0.953,0.0,0.1172,0.1172
42,20,0.0005,86.7,13.3,0.0,1.1033,1.1033,0.0,0.1593,0.1593
42,21,0.0005,66.7,33.3,0.0,1.8366,1.8366,0.0,0.988,0.988
42,22,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0974,0.0974
42,23,0.0005,72.7,27.3,27.3,1.6858,1.6858,0.0,1.0504,1.0504
42,24,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0256,0.0256
42,25,0.0005,88.9,11.1,11.1,0.9864,0.9864,0.0,0.3345,0.3345
55,1,0.0005,94.9,5.1,0.0,0.5132,0.5132,0.0,-0.6478,-0.6478
55,2,0.0005,94.9,5.1,1.3,0.6212,0.6212,0.0,-0.4638,-0.4638
55,3,0.0005,86.7,13.3,0.0,1.2366,1.2366,0.0,0.2673,0.2673
55,4,0.0005,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.115,-0.115
55,5,0.0005,90.9,9.1,0.0,0.4395,0.4395,0.0,-0.1362,-0.1362
55,6,0.0005,84.6,15.4,0.0,0.6194,0.6194,0.0,0.1779,0.1779
55,7,0.0005,83.3,16.7,0.0,1.4183,1.4183,0.0,0.632,0.632
55,8,0.0005,91.7,8.3,0.0,0.8167,0.8167,0.0,0.0587,0.0587
55,9,0.0005,80.0,20.0,0.0,1.371,1.371,0.0,0.5934,0.5934
55,10,0.0005,85.7,14.3,0.0,1.2917,1.2917,0.0,0.3869,0.3869
