seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
4,170,26,27,1,False,2.6479,2,0.098,0.6603,0.8121,30.0067,5,7.9,4.1,79.72,99,isolated|stable|deep_conn|dead
4,171,26,29,3,False,2.0225,2,0.1132,0.663,0.7971,6.0225,6,8.1,4.1,11.57,143,isolated|stable|focused_att|dead
4,172,26,30,4,False,2.9586,2,0.0588,0.6509,0.7463,1.7753,3,7.3,3.9,3.41,132,isolated|stable|focused_att|dead
4,175,26,27,1,False,2.304,2,0.098,0.7052,0.8841,32.3668,5,8.9,3.7,81.31,115,isolated|stable|wide_att|deep_conn|dead
4,177,26,28,2,False,1.1628,2,0.1154,0.6658,0.7463,17.8444,6,7.6,3.8,39.62,157,isolated|stable|focused_att|deep_conn|dead
4,178,26,27,1,False,1.3879,2,0.0392,0.6738,0.8381,15.7194,2,8.6,4.2,15.72,131,isolated|stable|deep_conn|dead
4,179,27,,42,True,-1.3179,4,0.5893,0.6239,0.8382,3.9286,33,16.2,9.7,22.19,427,social|stable
4,181,27,35,8,False,-2.4937,2,0.2917,0.6582,0.7392,1.4658,14,6.7,3.5,5.41,146,stable|focused_att|dead
4,183,27,30,3,False,-1.4497,2,0.1765,0.6774,0.7073,8.8403,9,6.2,3.0,30.56,150,stable|focused_att|dead
4,184,27,28,1,False,-2.1298,2,0.0962,0.6686,0.7771,35.9709,5,7.2,3.6,63.37,84,isolated|stable|focused_att|deep_conn|dead
4,186,28,32,4,False,1.1657,2,0.1569,0.7023,0.7941,4.4588,8,7.9,3.4,19.76,144,stable|focused_att|dead
4,187,28,30,2,False,0.0278,2,0.098,0.7091,0.7885,15.5417,5,7.6,3.1,34.37,148,isolated|stable|focused_att|deep_conn|dead
4,188,28,29,1,False,-1.3688,2,0.1132,0.682,0.8464,33.3361,6,9.7,4.5,39.07,128,isolated|stable|deep_conn|dead
4,189,28,29,1,False,-0.7403,2,0.0943,0.6678,0.8388,27.1038,5,8.1,4.0,34.32,106,isolated|stable|deep_conn|dead
4,191,28,38,10,False,-0.9769,2,0.2553,0.6949,0.7067,8.7308,12,6.5,2.8,30.89,159,stable|focused_att|dead
4,192,28,31,3,False,-0.986,2,0.1321,0.6899,0.7599,14.2883,7,6.8,3.1,37.49,136,isolated|stable|focused_att|deep_conn|dead
4,194,28,34,6,False,-1.0833,2,0.38,0.6782,0.8164,12.7598,19,10.8,5.1,40.91,183,stable|deep_conn|dead
4,196,29,37,8,False,-2.8267,5,0.9,0.6336,0.86,13.5988,45,52.9,30.6,69.7,1827,social|stable|wide_att|deep_conn|dead
4,197,29,35,6,False,2.6067,2,0.4167,0.6643,0.784,11.5902,20,8.6,4.4,44.47,173,stable|focused_att|deep_conn|dead
4,200,30,51,21,False,0.8974,4,0.7083,0.6163,0.8258,6.5317,34,13.9,8.7,43.26,387,social|stable|dead
4,201,30,31,1,False,2.146,2,0.0755,0.6713,0.8285,37.8495,4,8.3,4.1,57.51,95,isolated|stable|deep_conn|dead
4,202,30,31,1,False,1.5936,2,0.0755,0.6522,0.819,38.4563,4,10.8,5.7,59.93,142,isolated|stable|deep_conn|dead
4,203,31,,38,True,0.264,4,0.7143,0.6683,0.8504,10.0833,40,28.7,14.3,47.48,907,social|stable|wide_att|deep_conn
4,204,31,,38,True,-1.3898,5,0.8929,0.669,0.8503,18.0218,50,56.7,28.0,79.02,2013,social|stable|wide_att|deep_conn
