window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,accretion_qualified,accretion_contacts,accretion_boosts,accretion_boosted_nodes,accretion_mean_resonance,accretion_total_boosts_cum
129,4860,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9413,-0.0457,1,37.0,1,0.0,0.0,0.0,0,0,9,4,13,0.0,0,0,0,0,0,0,0,0,0.0,3
130,4857,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9535,0.0122,1,38.1,1,0.0,0.0,0.0,0,0,4,3,7,0.0,0,0,0,0,0,0,0,0,0.0,3
131,4855,2980,1,0,1,5,1.1429,1,0,0,0,0,0,0,0,3,1.9687,0.0151,1,36.9,1,0.0,0.0,0.0,0,0,4,3,7,0.0,0,0,0,0,0,0,0,0,0.0,3
132,4855,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9656,-0.0031,1,38.4,1,0.0,0.0,0.0,0,0,6,8,14,0.0,0,0,0,0,0,0,0,0,0.0,3
133,4853,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9977,0.0321,1,37.3,1,0.0,0.0,0.0,0,0,5,6,11,0.0,0,0,0,0,0,0,0,0,0.0,3
134,4853,2963,3,0,3,5,1.6,1,0,0,0,0,0,0,0,3,1.9612,-0.0365,1,38.5,1,0.0,0.0,0.0,0,0,5,6,11,0.0,0,1,0,0,0,0,0,0,0.0,3
135,4853,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.956,-0.0052,1,37.4,1,0.0,0.0,0.0,0,0,10,11,21,0.0,0,0,0,0,0,0,0,0,0.0,3
136,4852,3061,1,0,1,5,0.0,2,0,0,0,0,0,0,0,3,1.9531,-0.003,1,38.3,2,0.0,0.0,0.0,0,0,10,11,21,0.0,0,0,0,0,0,0,0,0,0.0,3
137,4851,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8998,-0.0533,1,37.3,2,0.0,0.0,0.0,0,0,12,12,24,0.0,0,0,0,0,0,0,0,0,0.0,3
138,4850,2942,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.915,0.0151,1,37.1,2,0.0,0.0,0.0,0,0,12,12,24,0.0,0,0,0,0,0,0,0,0,0.0,3
139,4850,3048,1,0,1,5,0.5333,1,0,0,0,0,0,0,0,1,1.9315,0.0166,1,38.2,2,0.0,0.0,0.0,0,0,12,12,24,0.0,0,0,0,0,0,0,0,0,0.0,3
140,4848,2973,2,0,2,5,1.3333,2,0,0,0,0,0,0,0,1,1.9175,-0.014,1,37.2,2,0.0,0.0,0.0,0,0,13,14,27,0.0,0,0,0,0,1,8,1,1,0.1741,4
141,4848,2945,2,0,2,5,0.32,1,0,0,0,0,0,0,0,0,1.8727,-0.0448,2,38.6,2,0.0,0.0,0.0,0,0,16,21,37,0.0,0,0,0,0,0,0,0,0,0.0,4
142,4847,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8503,-0.0224,2,36.5,2,0.0,0.0,0.0,0,0,20,21,41,0.0,0,0,0,0,0,0,0,0,0.0,4
143,4846,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8217,-0.0287,1,37.4,2,0.0,0.0,0.0,0,0,20,21,41,0.0,0,0,0,0,0,0,0,0,0.0,4
144,4844,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8217,0.0,1,37.9,2,0.0,0.0,0.0,0,0,20,21,41,0.0,0,0,0,0,0,0,0,0,0.0,4
145,4844,3048,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.9003,0.0786,1,37.5,2,0.0,0.0,0.0,0,0,16,18,34,0.0,0,0,0,0,0,0,0,0,0.0,4
146,4844,2959,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8656,-0.0347,1,38.6,2,0.0,0.0,0.0,0,0,19,18,37,0.0,0,0,0,0,0,0,0,0,0.0,4
147,4843,2978,2,0,2,5,0.4,1,0,0,0,0,0,0,0,1,1.8914,0.0258,1,37.1,2,0.0,0.0,0.0,0,0,14,16,30,0.0,0,0,0,0,0,0,0,0,0.0,4
148,4843,2866,3,0,3,4,1.0,1,0,0,0,0,0,0,0,3,1.9476,0.0563,1,38.7,2,0.0,0.0,0.0,0,0,16,22,38,0.0,0,0,0,0,0,0,0,0,0.0,4
149,4843,3021,1,0,1,5,0.4286,1,0,0,0,0,0,0,0,3,1.9733,0.0257,2,36.9,2,0.0,0.0,0.0,0,0,21,29,50,0.0,0,0,0,0,0,0,0,0,0.0,4
150,4842,2887,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9756,0.0022,2,38.2,2,0.0,0.0,0.0,0,0,25,36,61,0.0,0,0,0,0,0,0,0,0,0.0,4
151,4841,2955,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.9457,-0.0298,1,37.4,1,0.0,0.0,0.0,0,0,21,27,48,0.0,0,0,0,0,0,0,0,0,0.0,4
152,4840,2920,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.9643,0.0185,1,37.4,1,0.0,0.0,0.0,0,0,16,24,40,0.0,0,1,0,0,0,0,0,0,0.0,4
153,4839,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9871,0.0228,2,38.0,1,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0,0.0,4
154,4838,2953,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9634,-0.0236,1,37.0,1,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0,0.0,4
155,4835,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9692,0.0058,1,38.4,1,0.0,0.0,0.0,0,0,18,24,42,0.0,0,0,0,0,0,0,0,0,0.0,4
156,4832,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.962,-0.0071,1,37.2,1,0.0,0.0,0.0,0,0,15,24,39,0.0,0,0,0,0,0,0,0,0,0.0,4
157,4830,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9656,0.0036,1,38.2,1,0.0,0.0,0.0,0,0,15,24,39,0.0,0,0,0,0,0,0,0,0,0.0,4
158,4826,2953,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9315,-0.0341,1,37.3,1,0.0,0.0,0.0,0,0,13,18,31,0.0,0,0,0,0,0,0,0,0,0.0,4
159,4822,3122,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9257,-0.0058,1,37.8,1,0.0,0.0,0.0,0,0,8,12,20,0.0,0,0,0,0,0,0,0,0,0.0,4
160,4820,3090,2,0,2,4,1.0,1,0,0,0,0,0,0,0,3,1.9053,-0.0204,1,37.8,1,0.0,0.0,0.0,0,0,3,3,6,0.0,0,0,0,0,0,0,0,0,0.0,4
161,4819,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8962,-0.0091,1,37.4,1,0.0,0.0,0.0,0,0,6,9,15,0.0,0,0,0,0,0,0,0,0,0.0,4
162,4817,2926,1,0,1,3,0.5,1,0,0,0,0,0,0,0,3,1.9257,0.0295,1,38.1,1,0.0,0.0,0.0,0,0,5,7,12,0.0,0,0,0,0,0,0,0,0,0.0,4
163,4816,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9518,0.0261,1,37.1,1,0.0,0.0,0.0,0,0,5,9,14,0.0,0,0,0,0,0,0,0,0,0.0,4
164,4815,2939,1,0,1,5,0.9143,1,0,0,0,0,0,0,0,3,1.9712,0.0194,1,38.0,1,0.0,0.0,0.0,0,0,5,9,14,0.0,0,0,0,0,0,0,0,0,0.0,4
165,4813,3108,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.9439,-0.0273,1,36.9,1,0.0,0.0,0.0,0,0,7,14,21,0.0,0,0,0,0,0,0,0,0,0.0,4
166,4813,2922,1,0,1,4,0.0,1,0,0,0,0,0,0,0,3,1.9469,0.003,2,38.0,1,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,4
167,4811,2956,3,0,3,5,1.3333,1,0,0,0,0,0,0,0,1,1.9628,0.0159,2,37.1,1,0.0,0.0,0.0,0,0,9,17,26,0.0,0,0,0,0,0,0,0,0,0.0,4
168,4811,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9291,-0.0337,2,37.3,1,0.0,0.0,0.0,0,0,13,22,35,0.0,0,0,0,0,0,0,0,0,0.0,4
169,4810,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8631,-0.066,1,37.2,1,0.0,0.0,0.0,0,0,13,21,34,0.0,0,0,0,0,0,0,0,0,0.0,4
170,4809,2924,1,0,1,5,1.1111,1,0,0,0,0,0,0,0,0,1.7842,-0.079,1,36.7,1,0.0,0.0,0.0,0,0,13,21,34,0.0,0,0,0,0,0,0,0,0,0.0,4
171,4808,3014,1,0,1,5,0.1714,1,0,0,0,0,0,0,0,3,1.8375,0.0533,1,38.5,1,0.0,0.0,0.0,0,0,14,20,34,0.0,0,0,0,0,0,0,0,0,0.0,4
172,4807,2986,2,0,2,4,0.4444,2,0,0,0,0,0,0,0,3,1.8623,0.0248,2,37.0,2,0.2857,0.2857,0.1,0,0,18,23,41,0.0,0,0,0,0,0,0,0,0,0.0,4
173,4806,2995,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.9,0.0377,2,37.9,2,0.2857,0.2857,0.0909,0,0,22,26,48,0.0,0,0,0,0,0,0,0,0,0.0,4
174,4803,2944,1,0,1,5,1.0667,2,0,0,0,0,0,0,0,3,1.9339,0.034,2,37.4,2,0.2857,0.2857,0.0909,0,0,28,30,58,0.0,0,0,0,0,1,8,4,4,0.3654,8
175,4801,2974,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.9494,0.0154,2,37.8,2,0.2857,0.2857,0.0909,0,0,27,27,54,0.0,0,0,0,0,0,0,0,0,0.0,8
176,4801,2960,2,0,2,5,0.48,1,0,0,0,0,0,0,0,0,1.9893,0.0399,2,37.3,2,0.2857,0.2857,0.0833,0,0,26,26,52,0.0,0,0,0,0,0,0,0,0,0.0,8
177,4800,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9967,0.0074,2,37.6,2,0.2857,0.2857,0.0909,0,0,30,30,60,0.0,0,0,0,0,0,0,0,0,0.0,8
178,4799,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.985,-0.0116,1,37.3,2,0.2857,0.2857,0.1111,0,0,27,27,54,0.0,0,0,0,0,0,0,0,0,0.0,8
179,4799,2865,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9638,-0.0212,1,36.7,2,0.2857,0.2857,0.1,0,0,27,27,54,0.0,0,0,0,0,0,0,0,0,0.0,8
180,4798,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9275,-0.0364,1,37.7,2,0.2857,0.2857,0.1,0,0,29,27,56,0.0,0,0,0,0,0,0,0,0,0.0,8
181,4794,2935,1,0,1,5,0.96,1,0,0,0,0,0,0,0,3,1.9567,0.0292,1,36.7,2,0.2857,0.2857,0.1,0,0,25,22,47,0.0,0,0,0,0,0,0,0,0,0.0,8
182,4794,2964,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9733,0.0167,1,37.8,2,0.2857,0.2857,0.0833,0,0,27,25,52,0.0,0,1,0,0,0,0,0,0,0.0,8
183,4793,2929,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9764,0.0031,2,37.1,2,0.0,0.0,0.0,0,0,24,20,44,0.0,0,0,0,0,0,0,0,0,0.0,8
184,4793,2839,2,0,2,5,0.8,1,0,0,0,0,0,0,0,1,1.9814,0.005,1,38.4,2,0.0,0.0,0.0,0,0,18,16,34,0.0,0,0,0,0,0,0,0,0,0.0,8
185,4789,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9794,-0.002,1,37.3,1,0.0,0.0,0.0,0,0,19,21,40,0.0,0,0,0,0,0,0,0,0,0.0,8
186,4789,2923,1,0,1,5,0.15,1,0,0,0,0,0,0,0,3,1.9861,0.0066,1,38.0,1,0.0,0.0,0.0,0,0,18,19,37,0.0,0,0,0,0,0,0,0,0,0.0,8
187,4787,2945,1,0,1,6,1.0,2,0,0,0,0,0,0,0,3,1.9977,0.0116,1,37.1,2,0.375,0.375,0.1429,0,0,17,20,37,0.0,0,0,0,0,1,11,2,2,0.2476,10
188,4786,2891,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.987,-0.0107,2,37.0,2,0.375,0.375,0.125,0,0,19,22,41,0.0,0,1,0,0,0,0,0,0,0.0,10
189,4782,2978,3,0,3,5,1.28,2,0,0,0,0,0,0,0,3,1.9785,-0.0085,2,37.8,2,0.375,0.375,0.1,0,0,21,23,44,0.0,0,0,0,0,1,9,1,1,0.0949,11
190,4781,2984,2,0,2,5,1.0667,1,0,0,0,0,0,0,0,3,1.9849,0.0064,2,36.5,2,0.375,0.375,0.0909,0,0,26,33,59,0.0,0,0,0,0,0,0,0,0,0.0,11
191,4781,2920,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9822,-0.0027,2,37.9,2,0.375,0.375,0.0833,0,0,32,37,69,0.0,0,0,0,0,0,0,0,0,0.0,11
192,4781,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9638,-0.0184,2,36.5,2,0.375,0.375,0.0909,0,0,35,38,73,0.0,0,0,0,0,0,0,0,0,0.0,11
193,4780,3028,2,0,2,5,0.5333,3,0,0,0,0,0,0,0,1,1.9767,0.0128,1,37.7,3,0.375,0.375,0.1,0,0,28,35,63,0.0,1,0,0,1,0,0,0,0,0.0,11
194,4778,2977,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.9834,0.0067,1,37.0,3,0.375,0.375,0.0909,0,0,29,44,73,0.0,0,0,0,1,0,0,0,0,0.0,11
195,4777,3024,2,0,2,5,1.2,2,0,0,0,0,0,0,0,0,1.9907,0.0074,2,37.8,3,0.375,0.375,0.0833,0,0,30,47,77,0.0,0,0,0,1,0,0,0,0,0.0,11
196,4777,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.992,0.0013,2,37.2,3,0.375,0.375,0.0833,0,0,37,56,93,0.0,0,0,0,1,0,0,0,0,0.0,11
197,4774,2884,1,0,1,4,1.0,1,0,0,0,0,0,0,0,1,1.9875,-0.0045,1,37.2,3,0.375,0.375,0.0769,0,0,37,56,93,0.0,0,0,0,1,0,0,0,0,0.0,11
198,4774,2966,3,0,3,5,2.0,2,0,0,0,0,0,0,0,3,1.9839,-0.0036,1,38.2,3,0.375,0.375,0.0667,0,0,37,57,94,0.0,0,1,0,1,0,0,0,0,0.0,11
199,4769,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9464,-0.0374,2,37.0,3,0.375,0.375,0.0667,0,0,45,67,112,0.0,0,0,0,1,0,0,0,0,0.0,11
200,4767,2865,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.9647,0.0183,1,38.0,3,0.375,0.375,0.0714,0,0,37,52,89,0.0,0,0,0,1,0,0,0,0,0.0,11
