window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
42,4975,3228,2,5,3,1.972,2,16.7,3248,0,4.59,1.0248,3187.0,18,1.0,66,2,4,1111,0.001704,0.0316,50.5952,41,24.3,0.0187,0.007,1,1,0,0,0.068966,0.015625,42,0.7734,1.9164,0.3754,27,6,33,831,1255,541,1.0,0.0,0,0
43,4972,3247,3,5,3,1.997,2,16.6,3267,0,4.67,1.0283,3196.5,20,1.0,66,4,4,1144,0.001809,0.0372,56.338,42,23.9,0.0188,0.0074,2,0,0,0,0.06383,0.015625,43,0.7552,1.9403,0.3749,24,6,36,836,1297,528,1.0,0.0,0,0
44,4969,3205,1,5,3,1.9634,2,16.6,3199,0,4.62,1.0047,3198.1,14,1.0,69,5,2,1147,0.001768,0.0312,41.543,43,23.4,0.018,0.0072,1,0,0,0,0.053977,0.015625,42,0.7105,1.9829,0.3756,24,6,39,769,1301,502,1.0,0.0,0,0
45,4967,3240,1,5,1,1.9657,2,16.6,3238,0,4.61,1.0164,3203.6,18,1.0,68,4,5,1164,0.001762,0.0402,48.0226,44,24.5,0.018,0.0084,1,0,0,0,0.0563,0.015625,42,0.7225,2.0124,0.3758,24,6,38,794,1258,579,1.0,0.0,0,0
46,4964,3216,0,0,3,1.9837,2,16.5,3217,0,4.63,1.0066,3205.8,10,1.0,66,0,2,1150,0.001707,0.0453,31.25,45,26.2,0.0187,0.0079,0,0,0,0,0.069486,0.015625,41,0.7751,2.0638,0.3772,24,6,36,765,1323,516,1.0,0.0,0,0
47,4961,3051,0,0,3,1.9919,1,16.4,0,3051,4.46,0.9561,3191.1,0,1.0,62,0,4,1122,0.001478,0.035,0.0,46,28.4,0.0199,0.0081,0,0,0,0,0.066879,0.015625,39,0.7664,2.1179,0.3791,22,5,35,775,1215,507,1.0,0.0,0,0
48,4959,3212,0,0,3,1.9431,1,16.4,3224,0,4.64,1.0102,3194.5,3,1.0,61,3,4,1103,0.001531,0.0394,8.7464,47,28.9,0.0188,0.0076,0,0,0,0,0.056338,0.015625,39,0.7227,2.1658,0.3812,22,6,33,791,1273,529,1.0,0.0,0,0
49,4956,3201,2,5,1,1.8674,1,16.4,3201,0,4.64,1.0044,3196.0,9,1.0,63,2,0,1124,0.001574,0.0435,26.4706,48,28.9,0.0168,0.0083,1,0,0,0,0.072464,0.015625,40,0.7844,2.2035,0.3831,22,6,35,803,1271,494,1.0,0.0,0,0
50,4952,3216,1,3,1,1.9593,1,16.4,3228,0,4.62,1.0091,3199.0,0,1.0,62,1,2,1113,0.001532,0.0354,0.0,49,29.7,0.0181,0.0066,0,0,0,0,0.064897,0.015625,40,0.7592,2.2654,0.3849,22,6,34,783,1337,506,0.0008,0.9992,2971.1,1.8
51,4948,3073,0,0,3,1.9824,2,16.4,3,3070,4.49,0.9642,3187.0,3,1.0,62,3,3,1119,0.001536,0.0406,9.5541,50,30.7,0.0191,0.0085,0,0,0,0,0.084375,0.015625,41,0.8148,2.3123,0.3861,22,5,35,723,1228,530,0.0008,0.9992,2999.7,1.6
52,4946,3111,1,5,3,1.9531,1,16.4,4,3102,4.57,0.9784,3179.8,9,1.0,64,5,3,1116,0.001584,0.0342,26.3158,51,29.9,0.0195,0.0081,1,0,0,0,0.076923,0.015625,40,0.7969,2.3579,0.387,25,4,35,818,1211,503,0.0008,0.9992,2835.3,1.6
53,4942,3153,1,5,3,1.9665,1,16.3,4,3144,4.61,0.9924,3177.2,9,1.0,63,1,2,1115,0.001539,0.0421,25.0,52,31.3,0.0185,0.0085,1,0,0,0,0.073684,0.015625,40,0.7879,2.421,0.3884,24,3,36,851,1233,515,0.0009,0.9991,2592.7,1.8
